Axis,Voltage,Angle,Time
T,10.5,0.0,0.0
T,10.5,0.0,0.002
T,10.5,0.0,0.004
T,10.5,0.0,0.006
T,10.5,0.0,0.008
T,10.5,0.0,0.01
T,10.5,0.0,0.012
T,10.5,0.8,0.014
T,10.5,0.8,0.016
T,10.5,0.8,0.018
T,10.5,1.6,0.02
T,10.5,1.6,0.022
T,10.5,1.6,0.024
T,10.5,1.6,0.026
T,10.5,2.4,0.028
T,10.5,2.4,0.03
T,10.5,2.4,0.032
T,10.5,2.4,0.034
T,10.5,2.4,0.036
T,10.5,3.2,0.038
T,10.5,3.2,0.04
T,10.5,3.2,0.042
T,10.5,3.2,0.044
T,10.5,3.2,0.046
T,10.5,4.0,0.048
T,10.5,4.0,0.05
T,10.5,4.0,0.052
T,10.5,4.8,0.054
T,10.5,4.8,0.056
T,10.5,5.6,0.058
T,10.5,5.6,0.06
T,10.5,5.6,0.062
T,10.5,6.4,0.064
T,10.5,6.4,0.066
T,10.5,7.2,0.068
T,10.5,7.2,0.07
T,10.5,8.0,0.072
T,10.5,8.0,0.074
T,10.5,8.8,0.076
T,10.5,8.8,0.078
T,10.5,8.8,0.08
T,10.5,9.6,0.082
T,10.5,9.6,0.084
T,10.5,10.4,0.086
T,10.5,10.4,0.088
T,10.5,11.2,0.09
T,10.5,11.2,0.092
T,10.5,12.0,0.094
T,10.5,12.0,0.096
T,10.5,12.8,0.098
T,10.5,12.8,0.1
T,10.5,13.6,0.102
T,10.5,13.6,0.104
T,10.5,14.4,0.106
T,10.5,14.4,0.108
T,10.5,14.4,0.11
T,10.5,15.2,0.112
T,10.5,16.0,0.114
T,10.5,16.0,0.116
T,10.5,16.8,0.118
T,10.5,16.8,0.12
T,10.5,17.6,0.122
T,10.5,17.6,0.124
T,10.5,18.4,0.126
T,10.5,18.4,0.128
T,10.5,19.2,0.13
T,10.5,19.2,0.132
T,10.5,20.0,0.134
T,10.5,20.0,0.136
T,10.5,20.8,0.138
T,10.5,20.8,0.14
T,10.5,21.6,0.142
T,10.5,21.6,0.144
T,10.5,22.4,0.146
T,10.5,23.2,0.148
T,10.5,23.2,0.15
T,10.5,24.0,0.152
T,10.5,24.0,0.154
T,10.5,24.8,0.156
T,10.5,24.8,0.158
T,10.5,25.6,0.16
T,10.5,25.6,0.162
T,10.5,26.4,0.164
T,10.5,26.4,0.166
T,10.5,27.2,0.168
T,10.5,27.2,0.17
T,10.5,28.0,0.172
T,10.5,28.0,0.174
T,10.5,28.8,0.176
T,10.5,28.8,0.178
T,10.5,29.6,0.18
T,10.5,29.6,0.182
T,10.5,30.4,0.184
T,10.5,31.2,0.186
T,10.5,31.2,0.188
T,10.5,32.0,0.19
T,10.5,32.0,0.192
T,10.5,32.8,0.194
T,10.5,32.8,0.196
T,10.5,33.6,0.198
T,10.5,33.6,0.2
T,10.5,34.4,0.202
T,10.5,34.4,0.204
T,10.5,35.2,0.206
T,10.5,35.2,0.208
T,10.5,36.0,0.21
T,10.5,36.0,0.212
T,10.5,36.8,0.214
T,10.5,37.6,0.216
T,10.5,37.6,0.218
T,10.5,38.4,0.22
T,10.5,38.4,0.222
T,10.5,39.2,0.224
T,10.5,39.2,0.226
T,10.5,40.0,0.228
T,10.5,40.0,0.23
T,10.5,40.8,0.232
T,10.5,40.8,0.234
T,10.5,41.6,0.236
T,10.5,42.4,0.238
T,10.5,42.4,0.24
T,10.5,43.2,0.242
T,10.5,43.2,0.244
T,10.5,44.0,0.246
T,10.5,44.0,0.248
T,10.5,44.8,0.25
T,10.5,44.8,0.252
T,10.5,45.6,0.254
T,10.5,45.6,0.256
T,10.5,46.4,0.258
T,10.5,46.4,0.26
T,10.5,47.2,0.262
T,10.5,48.0,0.264
T,10.5,48.0,0.266
T,10.5,48.8,0.268
T,10.5,48.8,0.27
T,10.5,49.6,0.272
T,10.5,49.6,0.274
T,10.5,50.4,0.276
T,10.5,50.4,0.278
T,10.5,51.2,0.28
T,10.5,51.2,0.282
T,10.5,52.0,0.284
T,10.5,52.0,0.286
T,10.5,52.8,0.288
T,10.5,53.6,0.29
T,10.5,53.6,0.292
T,10.5,54.4,0.294
