Axis,Voltage,Angle,Time
T,12,0.0,0.0
T,12,0.0,0.002
T,12,0.0,0.004
T,12,0.0,0.006
T,12,0.0,0.008
T,12,0.0,0.01
T,12,0.8,0.012
T,12,0.8,0.014
T,12,0.8,0.016
T,12,1.6,0.018
T,12,1.6,0.02
T,12,2.4,0.022
T,12,2.4,0.024
T,12,2.4,0.026
T,12,2.4,0.028
T,12,3.2,0.03
T,12,3.2,0.032
T,12,3.2,0.034
T,12,3.2,0.036
T,12,4.0,0.038
T,12,4.0,0.04
T,12,4.0,0.042
T,12,4.0,0.044
T,12,4.8,0.046
T,12,4.8,0.048
T,12,4.8,0.05
T,12,5.6,0.052
T,12,5.6,0.054
T,12,6.4,0.056
T,12,6.4,0.058
T,12,7.2,0.06
T,12,7.2,0.062
T,12,8.0,0.064
T,12,8.0,0.066
T,12,8.8,0.068
T,12,8.8,0.07
T,12,9.6,0.072
T,12,9.6,0.074
T,12,10.4,0.076
T,12,11.2,0.078
T,12,11.2,0.08
T,12,12.0,0.082
T,12,12.0,0.084
T,12,12.8,0.086
T,12,12.8,0.088
T,12,13.6,0.09
T,12,13.6,0.092
T,12,14.4,0.094
T,12,14.4,0.096
T,12,15.2,0.098
T,12,16.0,0.1
T,12,16.0,0.102
T,12,16.8,0.104
T,12,16.8,0.106
T,12,17.6,0.108
T,12,18.4,0.11
T,12,18.4,0.112
T,12,19.2,0.114
T,12,19.2,0.116
T,12,20.0,0.118
T,12,20.8,0.12
T,12,20.8,0.122
T,12,21.6,0.124
T,12,22.4,0.126
T,12,22.4,0.128
T,12,23.2,0.13
T,12,23.2,0.132
T,12,24.0,0.134
T,12,24.8,0.136
T,12,24.8,0.138
T,12,25.6,0.14
T,12,26.4,0.142
T,12,26.4,0.144
T,12,27.2,0.146
T,12,28.0,0.148
T,12,28.0,0.15
T,12,28.8,0.152
T,12,28.8,0.154
T,12,29.6,0.156
T,12,30.4,0.158
T,12,30.4,0.16
T,12,31.2,0.162
T,12,32.0,0.164
T,12,32.0,0.166
T,12,32.8,0.168
T,12,32.8,0.17
T,12,33.6,0.172
T,12,34.4,0.174
T,12,34.4,0.176
T,12,35.2,0.178
T,12,36.0,0.18
T,12,36.0,0.182
T,12,36.8,0.184
T,12,36.8,0.186
T,12,37.6,0.188
T,12,38.4,0.19
T,12,38.4,0.192
T,12,39.2,0.194
T,12,40.0,0.196
T,12,40.0,0.198
T,12,40.8,0.2
T,12,40.8,0.202
T,12,41.6,0.204
T,12,42.4,0.206
T,12,42.4,0.208
T,12,43.2,0.21
T,12,44.0,0.212
T,12,44.0,0.214
T,12,44.8,0.216
T,12,45.6,0.218
T,12,45.6,0.22
T,12,46.4,0.222
T,12,47.2,0.224
T,12,47.2,0.226
T,12,48.0,0.228
T,12,48.0,0.23
T,12,48.8,0.232
T,12,49.6,0.234
T,12,49.6,0.236
T,12,50.4,0.238
T,12,51.2,0.24
T,12,51.2,0.242
T,12,52.0,0.244
T,12,52.8,0.246
T,12,52.8,0.248
T,12,53.6,0.25
T,12,54.4,0.252
T,12,54.4,0.254
T,12,55.2,0.256
T,12,55.2,0.258
T,12,56.0,0.26
T,12,56.8,0.262
T,12,56.8,0.264
T,12,57.6,0.266
T,12,58.4,0.268
T,12,58.4,0.27
T,12,59.2,0.272
T,12,60.0,0.274
T,12,60.0,0.276
T,12,60.8,0.278
T,12,60.8,0.28
T,12,61.6,0.282
T,12,62.4,0.284
T,12,62.4,0.286
T,12,63.2,0.288
T,12,64.0,0.29
T,12,64.0,0.292
T,12,64.8,0.294
T,12,65.6,0.296
T,12,65.6,0.298
T,12,66.4,0.3
T,12,66.4,0.302
T,12,67.2,0.304
T,12,68.0,0.306
T,12,68.0,0.308
T,12,68.8,0.31
T,12,69.6,0.312
T,12,69.6,0.314
T,12,70.4,0.316
T,12,71.2,0.318
T,12,71.2,0.32
T,12,72.0,0.322
T,12,72.0,0.324
T,12,72.8,0.326
T,12,73.6,0.328
T,12,73.6,0.33
T,12,74.4,0.332
T,12,75.2,0.334
T,12,75.2,0.336
T,12,76.0,0.338
T,12,76.8,0.34
T,12,76.8,0.342
T,12,77.6,0.344
T,12,77.6,0.346
T,12,78.4,0.348
T,12,79.2,0.35
T,12,79.2,0.352
T,12,80.0,0.354
T,12,80.8,0.356
T,12,80.8,0.358
T,12,81.6,0.36
T,12,82.4,0.362
T,12,82.4,0.364
T,12,83.2,0.366
T,12,84.0,0.368
T,12,84.0,0.37
T,12,84.8,0.372
T,12,84.8,0.374
T,12,85.6,0.376
T,12,86.4,0.378
T,12,86.4,0.38
T,12,87.2,0.382
T,12,88.0,0.384
T,12,88.0,0.386
T,12,88.8,0.388
T,12,88.8,0.39
T,12,89.6,0.392
T,12,90.4,0.394
T,12,90.4,0.396
T,12,91.2,0.398
T,12,92.0,0.4
T,12,92.0,0.402
T,12,92.8,0.404
T,12,93.6,0.406
T,12,93.6,0.408
T,12,94.4,0.41
T,12,94.4,0.412
T,12,95.2,0.414
T,12,96.0,0.416
T,12,96.0,0.418
T,12,96.8,0.42
T,12,97.6,0.422
T,12,97.6,0.424
T,12,98.4,0.426
T,12,99.2,0.428
T,12,99.2,0.43
T,12,100.0,0.432
T,12,100.0,0.434
T,12,100.8,0.436
T,12,101.6,0.438
T,12,101.6,0.44
T,12,102.4,0.442
T,12,103.2,0.444
T,12,103.2,0.446
T,12,104.0,0.448
T,12,104.8,0.45
T,12,104.8,0.452
T,12,105.6,0.454
T,12,105.6,0.456
T,12,106.4,0.458
T,12,107.2,0.46
T,12,107.2,0.462
T,12,108.0,0.464
T,12,108.8,0.466
T,12,108.8,0.468
T,12,109.6,0.47
T,12,110.4,0.472
T,12,110.4,0.474
T,12,111.2,0.476
T,12,111.2,0.478
T,12,112.0,0.48
T,12,112.8,0.482
T,12,112.8,0.484
T,12,113.6,0.486
T,12,114.4,0.488
T,12,114.4,0.49
T,12,115.2,0.492
T,12,116.0,0.494
T,12,116.0,0.496
T,12,116.8,0.498
T,12,117.6,0.5
T,12,117.6,0.502
T,12,118.4,0.504
T,12,118.4,0.506
T,12,119.2,0.508
T,12,120.0,0.51
T,12,120.0,0.512
T,12,120.8,0.514
T,12,121.6,0.516
T,12,121.6,0.518
T,12,122.4,0.52
T,12,123.2,0.522
T,12,123.2,0.524
T,12,124.0,0.526
T,12,124.0,0.528
T,12,124.8,0.53
T,12,125.6,0.532
T,12,125.6,0.534
T,12,126.4,0.536
T,12,127.2,0.538
T,12,127.2,0.54
T,12,128.0,0.542
T,12,128.8,0.544
T,12,128.8,0.546
T,12,129.6,0.548
T,12,129.6,0.55
T,12,130.4,0.552
T,12,131.2,0.554
T,12,131.2,0.556
T,12,132.0,0.558
T,12,132.8,0.56
T,12,132.8,0.562
T,12,133.6,0.564
T,12,134.4,0.566
T,12,134.4,0.568
T,12,135.2,0.57
T,12,136.0,0.572
T,12,136.0,0.574
T,12,136.8,0.576
T,12,136.8,0.578
T,12,137.6,0.58
T,12,138.4,0.582
T,12,138.4,0.584
T,12,139.2,0.586
T,12,140.0,0.588
T,12,140.0,0.59
T,12,140.8,0.592
T,12,141.6,0.594
T,12,141.6,0.596
T,12,142.4,0.598
T,12,142.4,0.6
T,12,143.2,0.602
T,12,144.0,0.604
T,12,144.0,0.606
T,12,144.8,0.608
T,12,145.6,0.61
T,12,145.6,0.612
T,12,146.4,0.614
T,12,147.2,0.616
