Axis,Voltage,Angle,Time
T-7,32768,0,
T-7,32768,2,
T-7,32768,4,
T-7,32768,6,
T-7,32768,8,
T-7,32768,10,
T-7,32768,12,
T-7,32767,14,
T-7,32767,16,
T-7,32767,18,
T-7,32767,20,
T-7,32767,22,
T-7,32767,24,
T-7,32767,26,
T-7,32767,28,
T-7,32767,30,
T-7,32766,32,
T-7,32766,34,
T-7,32766,36,
T-7,32766,38,
T-7,32766,40,
T-7,32766,42,
T-7,32766,44,
T-7,32766,46,
T-7,32766,48,
T-7,32766,50,
T-7,32766,52,
T-7,32766,54,
T-7,32766,56,
T-7,32765,58,
T-7,32765,60,
T-7,32765,62,
T-7,32765,64,
T-7,32765,66,
T-7,32765,68,
T-7,32765,70,
T-7,32765,72,
T-7,32765,74,
T-7,32764,76,
T-7,32764,78,
T-7,32764,80,
T-7,32764,82,
T-7,32764,84,
T-7,32764,86,
T-7,32764,88,
T-7,32763,90,
T-7,32763,92,
T-7,32763,94,
T-7,32763,96,
T-7,32763,98,
T-7,32763,100,
T-7,32763,102,
T-7,32762,104,
T-7,32762,106,
T-7,32762,108,
T-7,32762,110,
T-7,32762,112,
T-7,32762,114,
T-7,32761,116,
T-7,32761,118,
T-7,32761,120,
T-7,32761,122,
T-7,32761,124,
T-7,32761,126,
T-7,32760,128,
T-7,32760,130,
T-7,32760,132,
T-7,32760,134,
T-7,32760,136,
T-7,32760,138,
T-7,32759,140,
T-7,32759,142,
T-7,32759,144,
T-7,32759,146,
T-7,32759,148,
T-7,32758,150,
T-7,32758,152,
T-7,32758,154,
T-7,32758,156,
T-7,32758,158,
T-7,32758,160,
T-7,32757,162,
T-7,32757,164,
T-7,32757,166,
T-7,32757,168,
T-7,32757,170,
T-7,32756,172,
T-7,32756,174,
T-7,32756,176,
T-7,32756,178,
T-7,32756,180,
T-7,32756,182,
T-7,32755,184,
T-7,32755,186,
T-7,32755,188,
T-7,32755,190,
T-7,32755,192,
T-7,32754,194,
T-7,32754,196,
T-7,32754,198,
T-7,32754,200,
T-7,32754,202,
T-7,32753,204,
T-7,32753,206,
T-7,32753,208,
T-7,32753,210,
T-7,32753,212,
T-7,32753,214,
T-7,32752,216,
T-7,32752,218,
T-7,32752,220,
T-7,32752,222,
T-7,32752,224,
T-7,32751,226,
T-7,32751,228,
T-7,32751,230,
T-7,32751,232,
T-7,32751,234,
T-7,32750,236,
T-7,32750,238,
T-7,32750,240,
T-7,32750,242,
T-7,32750,244,
T-7,32749,246,
T-7,32749,248,
T-7,32749,250,
T-7,32749,252,
T-7,32749,254,
T-7,32748,256,
T-7,32748,258,
T-7,32748,260,
T-7,32748,262,
T-7,32748,264,
T-7,32747,266,
T-7,32747,268,
T-7,32747,270,
T-7,32747,272,
T-7,32747,274,
T-7,32746,276,
T-7,32746,278,
T-7,32746,280,
T-7,32746,282,
T-7,32746,284,
T-7,32745,286,
T-7,32745,288,
T-7,32745,290,
T-7,32745,292,
T-7,32744,294,
T-7,32744,296,
T-7,32744,298,
T-7,32744,300,
T-7,32744,302,
T-7,32743,304,
T-7,32743,306,
T-7,32743,308,
T-7,32743,310,
T-7,32743,312,
T-7,32742,314,
T-7,32742,316,
T-7,32742,318,
T-7,32742,320,
T-7,32742,322,
T-7,32741,324,
T-7,32741,326,
T-7,32741,328,
T-7,32741,330,
T-7,32741,332,
T-7,32740,334,
T-7,32740,336,
T-7,32740,338,
T-7,32740,340,
T-7,32740,342,
T-7,32739,344,
T-7,32739,346,
T-7,32739,348,
T-7,32739,350,
T-7,32738,352,
T-7,32738,354,
T-7,32738,356,
T-7,32738,358,
T-7,32738,360,
T-7,32737,362,
T-7,32737,364,
T-7,32737,366,
T-7,32737,368,
T-7,32737,370,
T-7,32736,372,
T-7,32736,374,
T-7,32736,376,
T-7,32736,378,
T-7,32736,380,
T-7,32735,382,
T-7,32735,384,
T-7,32735,386,
T-7,32735,388,
T-7,32735,390,
T-7,32734,392,
T-7,32734,394,
T-7,32734,396,
T-7,32734,398,
T-7,32733,400,
T-7,32733,402,
T-7,32733,404,
T-7,32733,406,
T-7,32733,408,
T-7,32732,410,
T-7,32732,412,
T-7,32732,414,
T-7,32732,416,
T-7,32732,418,
T-7,32731,420,
T-7,32731,422,
T-7,32731,424,
T-7,32731,426,
T-7,32730,428,
T-7,32730,430,
T-7,32730,432,
T-7,32730,434,
T-7,32730,436,
T-7,32729,438,
T-7,32729,440,
T-7,32729,442,
T-7,32729,444,
T-7,32729,446,
T-7,32728,448,
T-7,32728,450,
T-7,32728,452,
T-7,32728,454,
T-7,32727,456,
T-7,32727,458,
T-7,32727,460,
T-7,32727,462,
T-7,32727,464,
T-7,32726,466,
T-7,32726,468,
T-7,32726,470,
T-7,32726,472,
T-7,32726,474,
T-7,32725,476,
T-7,32725,478,
T-7,32725,480,
T-7,32725,482,
T-7,32724,484,
T-7,32724,486,
T-7,32724,488,
T-7,32724,490,
T-7,32724,492,
T-7,32723,494,
T-7,32723,496,
T-7,32723,498,
T-7,32723,500,
T-7,32722,502,
T-7,32722,504,
T-7,32722,506,
T-7,32722,508,
T-7,32722,510,
T-7,32721,512,
T-7,32721,514,
T-7,32721,516,
T-7,32721,518,
T-7,32721,520,
T-7,32720,522,
T-7,32720,524,
T-7,32720,526,
T-7,32720,528,
T-7,32719,530,
T-7,32719,532,
T-7,32719,534,
T-7,32719,536,
T-7,32719,538,
T-7,32718,540,
T-7,32718,542,
T-7,32718,544,
T-7,32718,546,
T-7,32718,548,
T-7,32717,550,
T-7,32717,552,
T-7,32717,554,
T-7,32717,556,
T-7,32716,558,
T-7,32716,560,
T-7,32716,562,
T-7,32716,564,
T-7,32716,566,
T-7,32715,568,
T-7,32715,570,
T-7,32715,572,
T-7,32715,574,
T-7,32714,576,
T-7,32714,578,
T-7,32714,580,
T-7,32714,582,
T-7,32714,584,
T-7,32713,586,
T-7,32713,588,
T-7,32713,590,
T-7,32713,592,
T-7,32713,594,
T-7,32712,596,
T-7,32712,598,
T-7,32712,600,
T-7,32712,602,
T-7,32711,604,
T-7,32711,606,
T-7,32711,608,
T-7,32711,610,
T-7,32711,612,
T-7,32710,614,
T-7,32710,616,
T-7,32710,618,
T-7,32710,620,
T-7,32710,622,
T-7,32709,624,
T-7,32709,626,
T-7,32709,628,
T-7,32709,630,
T-7,32708,632,
T-7,32708,634,
T-7,32708,636,
T-7,32708,638,
T-7,32708,640,
T-7,32707,642,
T-7,32707,644,
T-7,32707,646,
T-7,32707,648,
T-7,32707,650,
T-7,32706,652,
T-7,32706,654,
T-7,32706,656,
T-7,32706,658,
T-7,32705,660,
T-7,32705,662,
T-7,32705,664,
T-7,32705,666,
T-7,32705,668,
T-7,32704,670,
T-7,32704,672,
T-7,32704,674,
T-7,32704,676,
