Axis,Voltage,Angle,Time
T,4.005,0.0,0.0
T,4.01,0.0,0.004
T,4.015,0.0,0.008
T,4.02,0.0,0.012
T,4.025,0.0,0.016
T,4.03,0.0,0.02
T,4.035,0.0,0.024
T,4.04,-0.8,0.028
T,4.045,-0.8,0.032
T,4.05,-0.8,0.036
T,4.055,-0.8,0.04
T,4.06,-0.8,0.044
T,4.065,-0.8,0.048
T,4.07,-0.8,0.052
T,4.075,-0.8,0.056
T,4.08,-0.8,0.06
T,4.085,-0.8,0.064
T,4.09,-0.8,0.068
T,4.095,-0.8,0.072
T,4.1,-1.6,0.076
T,4.105,-1.6,0.08
T,4.11,-1.6,0.084
T,4.115,-1.6,0.088
T,4.12,-1.6,0.092
T,4.125,-1.6,0.096
T,4.13,-1.6,0.1
T,4.135,-1.6,0.104
T,4.14,-2.4,0.108
T,4.145,-2.4,0.112
T,4.15,-2.4,0.116
T,4.155,-2.4,0.12
T,4.16,-2.4,0.124
T,4.165,-2.4,0.128
T,4.17,-3.2,0.132
T,4.175,-3.2,0.136
T,4.18,-3.2,0.14
T,4.185,-3.2,0.144
T,4.19,-3.2,0.148
T,4.195,-3.2,0.152
T,4.2,-4.0,0.156
T,4.205,-4.0,0.16
T,4.21,-4.0,0.164
T,4.215,-4.0,0.168
T,4.22,-4.0,0.172
T,4.225,-4.8,0.176
T,4.23,-4.8,0.18
T,4.235,-4.8,0.184
T,4.24,-4.8,0.188
T,4.245,-4.8,0.192
T,4.25,-5.6,0.196
T,4.255,-5.6,0.2
T,4.26,-5.6,0.204
T,4.265,-5.6,0.208
T,4.27,-6.4,0.212
T,4.275,-6.4,0.216
T,4.28,-6.4,0.22
T,4.285,-6.4,0.224
T,4.29,-7.2,0.228
T,4.295,-7.2,0.232
T,4.3,-7.2,0.236
T,4.305,-7.2,0.24
T,4.31,-8.0,0.244
T,4.315,-8.0,0.248
T,4.32,-8.0,0.252
T,4.325,-8.0,0.256
T,4.33,-8.8,0.26
T,4.335,-8.8,0.264
T,4.34,-8.8,0.268
T,4.345,-8.8,0.272
T,4.35,-9.6,0.276
T,4.355,-9.6,0.28
T,4.36,-9.6,0.284
T,4.365,-10.4,0.288
