Axis,Voltage,Angle,Time
T,8.0,0.0,0.0
T,8.0,0.0,0.004
T,8.0,0.0,0.008
T,8.0,0.0,0.012
T,8.0,0.0,0.016
T,8.0,0.0,0.02
T,8.0,-0.8,0.024
T,8.0,-0.8,0.028
T,8.0,-0.8,0.032
T,8.0,-0.8,0.036
T,8.0,-0.8,0.04
T,8.0,-0.8,0.044
T,8.0,-1.6,0.048
T,8.0,-1.6,0.052
T,8.0,-1.6,0.056
T,8.0,-1.6,0.06
T,8.0,-1.6,0.064
T,8.0,-1.6,0.068
T,8.0,-1.6,0.072
T,8.0,-1.6,0.076
T,8.0,-1.6,0.08
T,8.0,-1.6,0.084
T,8.0,-1.6,0.088
T,8.0,-1.6,0.092
T,8.0,-1.6,0.096
T,8.0,-1.6,0.1
T,8.0,-1.6,0.104
T,8.0,-1.6,0.108
T,8.0,-1.6,0.112
T,8.0,-2.4,0.116
T,8.0,-2.4,0.12
T,8.0,-2.4,0.124
T,8.0,-2.4,0.128
T,8.0,-2.4,0.132
T,8.0,-2.4,0.136
T,8.0,-2.4,0.14
T,8.0,-2.4,0.144
T,8.0,-2.4,0.148
T,8.0,-3.2,0.152
T,8.0,-3.2,0.156
T,8.0,-3.2,0.16
T,8.0,-3.2,0.164
T,8.0,-3.2,0.168
T,8.0,-3.2,0.172
T,8.0,-3.2,0.176
T,8.0,-4.0,0.18
T,8.0,-4.0,0.184
T,8.0,-4.0,0.188
T,8.0,-4.0,0.192
T,8.0,-4.0,0.196
T,8.0,-4.0,0.2
T,8.0,-4.8,0.204
T,8.0,-4.8,0.208
T,8.0,-4.8,0.212
T,8.0,-4.8,0.216
T,8.0,-4.8,0.22
T,8.0,-4.8,0.224
T,8.0,-5.6,0.228
T,8.0,-5.6,0.232
T,8.0,-5.6,0.236
T,8.0,-5.6,0.24
T,8.0,-5.6,0.244
T,8.0,-6.4,0.248
T,8.0,-6.4,0.252
T,8.0,-6.4,0.256
T,8.0,-6.4,0.26
T,8.0,-6.4,0.264
T,8.0,-7.2,0.268
T,8.0,-7.2,0.272
T,8.0,-7.2,0.276
T,8.0,-7.2,0.28
T,8.0,-8.0,0.284
T,8.0,-8.0,0.288
T,8.0,-8.0,0.292
T,8.0,-8.0,0.296
T,8.0,-8.0,0.3
T,8.0,-8.8,0.304
T,8.0,-8.8,0.308
T,8.0,-8.8,0.312
T,8.0,-8.8,0.316
T,8.0,-9.6,0.32
T,8.0,-9.6,0.324
T,8.0,-9.6,0.328
T,8.0,-9.6,0.332
T,8.0,-10.4,0.336
T,8.0,-10.4,0.34
T,8.0,-10.4,0.344
T,8.0,-10.4,0.348
T,8.0,-11.2,0.352
T,8.0,-11.2,0.356
T,8.0,-11.2,0.36
T,8.0,-11.2,0.364
T,8.0,-12.0,0.368
T,8.0,-12.0,0.372
T,8.0,-12.0,0.376
T,8.0,-12.8,0.38
T,8.0,-12.8,0.384
T,8.0,-12.8,0.388
T,8.0,-12.8,0.392
T,8.0,-13.6,0.396
T,8.0,-13.6,0.4
T,8.0,-13.6,0.404
T,8.0,-14.4,0.408
T,8.0,-14.4,0.412
T,8.0,-14.4,0.416
T,8.0,-14.4,0.42
T,8.0,-15.2,0.424
T,8.0,-15.2,0.428
T,8.0,-15.2,0.432
T,8.0,-16.0,0.436
T,8.0,-16.0,0.44
T,8.0,-16.0,0.444
T,8.0,-16.8,0.448
T,8.0,-16.8,0.452
T,8.0,-16.8,0.456
T,8.0,-17.6,0.46
T,8.0,-17.6,0.464
T,8.0,-17.6,0.468
T,8.0,-18.4,0.472
T,8.0,-18.4,0.476
T,8.0,-18.4,0.48
T,8.0,-19.2,0.484
T,8.0,-19.2,0.488
T,8.0,-19.2,0.492
T,8.0,-19.2,0.496
T,8.0,-20.0,0.5
T,8.0,-20.0,0.504
T,8.0,-20.0,0.508
T,8.0,-20.8,0.512
T,8.0,-20.8,0.516
T,8.0,-21.6,0.52
T,8.0,-21.6,0.524
T,8.0,-21.6,0.528
T,8.0,-22.4,0.532
T,8.0,-22.4,0.536
T,8.0,-22.4,0.54
T,8.0,-23.2,0.544
T,8.0,-23.2,0.548
T,8.0,-23.2,0.552
T,8.0,-24.0,0.556
T,8.0,-24.0,0.56
T,8.0,-24.0,0.564
T,8.0,-24.8,0.568
T,8.0,-24.8,0.572
T,8.0,-24.8,0.576
T,8.0,-25.6,0.58
T,8.0,-25.6,0.584
T,8.0,-26.4,0.588
T,8.0,-26.4,0.592
T,8.0,-26.4,0.596
T,8.0,-27.2,0.6
T,8.0,-27.2,0.604
T,8.0,-27.2,0.608
T,8.0,-28.0,0.612
T,8.0,-28.0,0.616
T,8.0,-28.8,0.62
T,8.0,-28.8,0.624
T,8.0,-28.8,0.628
T,8.0,-29.6,0.632
T,8.0,-29.6,0.636
T,8.0,-29.6,0.64
T,8.0,-30.4,0.644
T,8.0,-30.4,0.648
T,8.0,-31.2,0.652
T,8.0,-31.2,0.656
T,8.0,-31.2,0.66
T,8.0,-32.0,0.664
T,8.0,-32.0,0.668
T,8.0,-32.8,0.672
T,8.0,-32.8,0.676
T,8.0,-32.8,0.68
T,8.0,-33.6,0.684
T,8.0,-33.6,0.688
T,8.0,-34.4,0.692
T,8.0,-34.4,0.696
T,8.0,-34.4,0.7
T,8.0,-35.2,0.704
T,8.0,-35.2,0.708
T,8.0,-36.0,0.712
T,8.0,-36.0,0.716
T,8.0,-36.0,0.72
T,8.0,-36.8,0.724
T,8.0,-36.8,0.728
T,8.0,-37.6,0.732
T,8.0,-37.6,0.736
T,8.0,-38.4,0.74
T,8.0,-38.4,0.744
T,8.0,-38.4,0.748
T,8.0,-39.2,0.752
T,8.0,-39.2,0.756
T,8.0,-40.0,0.76
T,8.0,-40.0,0.764
T,8.0,-40.0,0.768
T,8.0,-40.8,0.772
T,8.0,-40.8,0.776
T,8.0,-41.6,0.78
T,8.0,-41.6,0.784
T,8.0,-42.4,0.788
T,8.0,-42.4,0.792
T,8.0,-42.4,0.796
T,8.0,-43.2,0.8
T,8.0,-43.2,0.804
T,8.0,-44.0,0.808
T,8.0,-44.0,0.812
T,8.0,-44.8,0.816
T,8.0,-44.8,0.82
T,8.0,-44.8,0.824
T,8.0,-45.6,0.828
T,8.0,-45.6,0.832
T,8.0,-46.4,0.836
T,8.0,-46.4,0.84
T,8.0,-47.2,0.844
T,8.0,-47.2,0.848
T,8.0,-47.2,0.852
T,8.0,-48.0,0.856
T,8.0,-48.0,0.86
T,8.0,-48.8,0.864
T,8.0,-48.8,0.868
T,8.0,-49.6,0.872
T,8.0,-49.6,0.876
T,8.0,-50.4,0.88
T,8.0,-50.4,0.884
T,8.0,-50.4,0.888
T,8.0,-51.2,0.892
T,8.0,-51.2,0.896
T,8.0,-52.0,0.9
T,8.0,-52.0,0.904
T,8.0,-52.8,0.908
T,8.0,-52.8,0.912
T,8.0,-53.6,0.916
T,8.0,-53.6,0.92
T,8.0,-53.6,0.924
T,8.0,-54.4,0.928
T,8.0,-54.4,0.932
T,8.0,-55.2,0.936
T,8.0,-55.2,0.94
T,8.0,-56.0,0.944
T,8.0,-56.0,0.948
T,8.0,-56.8,0.952
T,8.0,-56.8,0.956
T,8.0,-57.6,0.96
T,8.0,-57.6,0.964
T,8.0,-58.4,0.968
T,8.0,-58.4,0.972
T,8.0,-58.4,0.976
T,8.0,-59.2,0.98
T,8.0,-59.2,0.984
T,8.0,-60.0,0.988
T,8.0,-60.0,0.992
T,8.0,-60.8,0.996
T,8.0,-60.8,1.0
T,-8.0,-61.6,1.004
T,-8.0,-61.6,1.008
T,-8.0,-62.4,1.012
T,-8.0,-62.4,1.016
T,-8.0,-62.4,1.02
T,-8.0,-62.4,1.024
T,-8.0,-62.4,1.028
T,-8.0,-62.4,1.032
T,-8.0,-62.4,1.036
T,-8.0,-62.4,1.04
T,-8.0,-62.4,1.044
T,-8.0,-62.4,1.048
T,-8.0,-62.4,1.052
T,-8.0,-62.4,1.056
T,-8.0,-63.2,1.06
T,-8.0,-63.2,1.064
T,-8.0,-63.2,1.068
T,-8.0,-63.2,1.072
T,-8.0,-63.2,1.076
T,-8.0,-63.2,1.08
T,-8.0,-63.2,1.084
T,-8.0,-64.0,1.088
T,-8.0,-64.0,1.092
T,-8.0,-64.0,1.096
T,-8.0,-64.0,1.1
T,-8.0,-64.0,1.104
T,-8.0,-64.0,1.108
T,-8.0,-64.0,1.112
T,-8.0,-64.0,1.116
T,-8.0,-64.0,1.12
T,-8.0,-64.0,1.124
T,-8.0,-64.0,1.128
T,-8.0,-64.0,1.132
T,-8.0,-64.0,1.136
T,-8.0,-64.0,1.14
T,-8.0,-64.0,1.144
T,-8.0,-64.0,1.148
T,-8.0,-64.0,1.152
T,-8.0,-64.0,1.156
T,-8.0,-64.0,1.16
T,-8.0,-64.0,1.164
T,-8.0,-64.0,1.168
T,-8.0,-64.0,1.172
T,-8.0,-64.0,1.176
T,-8.0,-64.0,1.18
T,-8.0,-64.0,1.184
T,-8.0,-64.0,1.188
T,-8.0,-64.0,1.192
T,-8.0,-64.0,1.196
T,-8.0,-64.0,1.2
T,-8.0,-64.0,1.204
T,-8.0,-64.0,1.208
T,-8.0,-64.0,1.212
T,-8.0,-64.0,1.216
T,-8.0,-64.8,1.22
T,-8.0,-64.8,1.224
T,-8.0,-64.8,1.228
T,-8.0,-65.6,1.232
T,-8.0,-65.6,1.236
T,-8.0,-65.6,1.24
T,-8.0,-65.6,1.244
T,-8.0,-66.4,1.248
T,-8.0,-66.4,1.252
T,-8.0,-66.4,1.256
T,-8.0,-66.4,1.26
T,-8.0,-66.4,1.264
T,-8.0,-67.2,1.268
T,-8.0,-67.2,1.272
T,-8.0,-67.2,1.276
T,-8.0,-67.2,1.28
T,-8.0,-68.0,1.284
T,-8.0,-68.0,1.288
T,-8.0,-68.0,1.292
T,-8.0,-68.0,1.296
T,-8.0,-68.8,1.3
T,-8.0,-68.8,1.304
T,-8.0,-68.8,1.308
T,-8.0,-68.8,1.312
T,-8.0,-69.6,1.316
T,-8.0,-69.6,1.32
T,-8.0,-69.6,1.324
T,-8.0,-69.6,1.328
T,-8.0,-70.4,1.332
T,-8.0,-70.4,1.336
T,-8.0,-70.4,1.34
T,-8.0,-70.4,1.344
T,-8.0,-71.2,1.348
T,-8.0,-71.2,1.352
T,-8.0,-71.2,1.356
T,-8.0,-72.0,1.36
T,-8.0,-72.0,1.364
T,-8.0,-72.0,1.368
T,-8.0,-72.8,1.372
T,-8.0,-72.8,1.376
T,-8.0,-72.8,1.38
T,-8.0,-72.8,1.384
T,-8.0,-73.6,1.388
T,-8.0,-73.6,1.392
T,-8.0,-73.6,1.396
T,-8.0,-74.4,1.4
T,-8.0,-74.4,1.404
T,-8.0,-74.4,1.408
T,-8.0,-75.2,1.412
T,-8.0,-75.2,1.416
T,-8.0,-75.2,1.42
T,-8.0,-76.0,1.424
T,-8.0,-76.0,1.428
T,-8.0,-76.0,1.432
T,-8.0,-76.8,1.436
T,-8.0,-76.8,1.44
T,-8.0,-76.8,1.444
T,-8.0,-76.8,1.448
T,-8.0,-77.6,1.452
T,-8.0,-77.6,1.456
T,-8.0,-77.6,1.46
T,-8.0,-78.4,1.464
T,-8.0,-78.4,1.468
T,-8.0,-78.4,1.472
T,-8.0,-79.2,1.476
T,-8.0,-79.2,1.48
T,-8.0,-80.0,1.484
T,-8.0,-80.0,1.488
T,-8.0,-80.0,1.492
T,-8.0,-80.8,1.496
T,-8.0,-80.8,1.5
T,-8.0,-80.8,1.504
T,-8.0,-81.6,1.508
T,-8.0,-81.6,1.512
T,-8.0,-81.6,1.516
T,-8.0,-82.4,1.52
T,-8.0,-82.4,1.524
T,-8.0,-83.2,1.528
T,-8.0,-83.2,1.532
T,-8.0,-83.2,1.536
T,-8.0,-84.0,1.54
T,-8.0,-84.0,1.544
T,-8.0,-84.0,1.548
T,-8.0,-84.8,1.552
T,-8.0,-84.8,1.556
T,-8.0,-85.6,1.56
T,-8.0,-85.6,1.564
T,-8.0,-85.6,1.568
T,-8.0,-86.4,1.572
T,-8.0,-86.4,1.576
T,-8.0,-87.2,1.58
T,-8.0,-87.2,1.584
T,-8.0,-87.2,1.588
T,-8.0,-88.0,1.592
T,-8.0,-88.0,1.596
T,-8.0,-88.8,1.6
T,-8.0,-88.8,1.604
T,-8.0,-88.8,1.608
T,-8.0,-89.6,1.612
T,-8.0,-89.6,1.616
T,-8.0,-90.4,1.62
T,-8.0,-90.4,1.624
T,-8.0,-90.4,1.628
T,-8.0,-91.2,1.632
T,-8.0,-91.2,1.636
T,-8.0,-92.0,1.64
T,-8.0,-92.0,1.644
T,-8.0,-92.8,1.648
T,-8.0,-92.8,1.652
T,-8.0,-93.6,1.656
T,-8.0,-93.6,1.66
T,-8.0,-93.6,1.664
T,-8.0,-94.4,1.668
T,-8.0,-94.4,1.672
T,-8.0,-95.2,1.676
T,-8.0,-95.2,1.68
T,-8.0,-96.0,1.684
T,-8.0,-96.0,1.688
T,-8.0,-96.0,1.692
T,-8.0,-96.8,1.696
T,-8.0,-96.8,1.7
T,-8.0,-97.6,1.704
T,-8.0,-97.6,1.708
T,-8.0,-98.4,1.712
T,-8.0,-98.4,1.716
T,-8.0,-99.2,1.72
T,-8.0,-99.2,1.724
T,-8.0,-100.0,1.728
T,-8.0,-100.0,1.732
T,-8.0,-100.8,1.736
T,-8.0,-100.8,1.74
T,-8.0,-100.8,1.744
T,-8.0,-101.6,1.748
T,-8.0,-101.6,1.752
T,-8.0,-102.4,1.756
T,-8.0,-102.4,1.76
T,-8.0,-103.2,1.764
T,-8.0,-103.2,1.768
T,-8.0,-104.0,1.772
T,-8.0,-104.0,1.776
T,-8.0,-104.8,1.78
T,-8.0,-104.8,1.784
T,-8.0,-105.6,1.788
T,-8.0,-105.6,1.792
T,-8.0,-106.4,1.796
T,-8.0,-106.4,1.8
T,-8.0,-107.2,1.804
T,-8.0,-107.2,1.808
T,-8.0,-108.0,1.812
T,-8.0,-108.0,1.816
T,-8.0,-108.8,1.82
T,-8.0,-108.8,1.824
T,-8.0,-108.8,1.828
T,-8.0,-109.6,1.832
T,-8.0,-109.6,1.836
T,-8.0,-110.4,1.84
T,-8.0,-110.4,1.844
T,-8.0,-111.2,1.848
T,-8.0,-111.2,1.852
T,-8.0,-112.0,1.856
T,-8.0,-112.0,1.86
T,-8.0,-112.8,1.864
T,-8.0,-112.8,1.868
T,-8.0,-113.6,1.872
T,-8.0,-113.6,1.876
T,-8.0,-114.4,1.88
T,-8.0,-114.4,1.884
T,-8.0,-115.2,1.888
T,-8.0,-115.2,1.892
T,-8.0,-116.0,1.896
T,-8.0,-116.0,1.9
T,-8.0,-116.8,1.904
T,-8.0,-117.6,1.908
T,-8.0,-117.6,1.912
T,-8.0,-118.4,1.916
T,-8.0,-118.4,1.92
T,-8.0,-119.2,1.924
T,-8.0,-119.2,1.928
T,-8.0,-120.0,1.932
T,-8.0,-120.0,1.936
T,-8.0,-120.8,1.94
T,-8.0,-120.8,1.944
T,-8.0,-121.6,1.948
T,-8.0,-121.6,1.952
T,-8.0,-122.4,1.956
T,-8.0,-122.4,1.96
T,-8.0,-123.2,1.964
T,-8.0,-123.2,1.968
T,-8.0,-124.0,1.972
T,-8.0,-124.0,1.976
T,-8.0,-124.8,1.98
T,-8.0,-124.8,1.984
T,-8.0,-125.6,1.988
T,-8.0,-125.6,1.992
T,-8.0,-126.4,1.996
T,-8.0,-126.4,2.0
T,-8.0,-127.2,2.004
T,8.0,-128.0,2.008
T,8.0,-128.0,2.012
T,8.0,-128.0,2.016
T,8.0,-128.8,2.02
T,8.0,-128.8,2.024
T,8.0,-128.8,2.028
T,8.0,-128.8,2.032
T,8.0,-128.8,2.036
T,8.0,-128.8,2.04
T,8.0,-128.8,2.044
T,8.0,-129.6,2.048
T,8.0,-129.6,2.052
T,8.0,-129.6,2.056
T,8.0,-129.6,2.06
T,8.0,-129.6,2.064
T,8.0,-129.6,2.068
T,8.0,-129.6,2.072
T,8.0,-129.6,2.076
T,8.0,-130.4,2.08
T,8.0,-130.4,2.084
T,8.0,-130.4,2.088
T,8.0,-130.4,2.092
T,8.0,-130.4,2.096
T,8.0,-130.4,2.1
T,8.0,-131.2,2.104
T,8.0,-131.2,2.108
T,8.0,-131.2,2.112
T,8.0,-131.2,2.116
T,8.0,-131.2,2.12
T,8.0,-131.2,2.124
T,8.0,-131.2,2.128
T,8.0,-131.2,2.132
T,8.0,-131.2,2.136
T,8.0,-131.2,2.14
T,8.0,-131.2,2.144
T,8.0,-131.2,2.148
T,8.0,-131.2,2.152
T,8.0,-131.2,2.156
T,8.0,-131.2,2.16
T,8.0,-131.2,2.164
T,8.0,-131.2,2.168
T,8.0,-131.2,2.172
T,8.0,-131.2,2.176
T,8.0,-131.2,2.18
T,8.0,-131.2,2.184
T,8.0,-131.2,2.188
T,8.0,-131.2,2.192
T,8.0,-131.2,2.196
T,8.0,-131.2,2.2
T,8.0,-131.2,2.204
T,8.0,-131.2,2.208
T,8.0,-131.2,2.212
T,8.0,-131.2,2.216
T,8.0,-132.0,2.22
T,8.0,-132.0,2.224
T,8.0,-132.0,2.228
T,8.0,-132.0,2.232
T,8.0,-132.0,2.236
T,8.0,-132.0,2.24
T,8.0,-132.0,2.244
T,8.0,-132.8,2.248
T,8.0,-132.8,2.252
T,8.0,-132.8,2.256
T,8.0,-133.6,2.26
T,8.0,-133.6,2.264
T,8.0,-133.6,2.268
T,8.0,-133.6,2.272
T,8.0,-134.4,2.276
T,8.0,-134.4,2.28
T,8.0,-134.4,2.284
T,8.0,-134.4,2.288
T,8.0,-134.4,2.292
T,8.0,-135.2,2.296
T,8.0,-135.2,2.3
T,8.0,-135.2,2.304
T,8.0,-135.2,2.308
T,8.0,-136.0,2.312
T,8.0,-136.0,2.316
T,8.0,-136.0,2.32
T,8.0,-136.8,2.324
T,8.0,-136.8,2.328
T,8.0,-136.8,2.332
T,8.0,-136.8,2.336
T,8.0,-137.6,2.34
T,8.0,-137.6,2.344
T,8.0,-137.6,2.348
T,8.0,-137.6,2.352
T,8.0,-138.4,2.356
T,8.0,-138.4,2.36
T,8.0,-138.4,2.364
T,8.0,-139.2,2.368
T,8.0,-139.2,2.372
T,8.0,-139.2,2.376
T,8.0,-139.2,2.38
T,8.0,-140.0,2.384
T,8.0,-140.0,2.388
T,8.0,-140.0,2.392
T,8.0,-140.8,2.396
T,8.0,-140.8,2.4
T,8.0,-140.8,2.404
T,8.0,-140.8,2.408
T,8.0,-141.6,2.412
T,8.0,-141.6,2.416
T,8.0,-141.6,2.42
T,8.0,-142.4,2.424
T,8.0,-142.4,2.428
T,8.0,-142.4,2.432
T,8.0,-143.2,2.436
T,8.0,-143.2,2.44
T,8.0,-143.2,2.444
T,8.0,-144.0,2.448
T,8.0,-144.0,2.452
T,8.0,-144.0,2.456
T,8.0,-144.8,2.46
T,8.0,-144.8,2.464
T,8.0,-144.8,2.468
T,8.0,-145.6,2.472
T,8.0,-145.6,2.476
T,8.0,-145.6,2.48
T,8.0,-146.4,2.484
T,8.0,-146.4,2.488
T,8.0,-146.4,2.492
T,8.0,-147.2,2.496
T,8.0,-147.2,2.5
T,8.0,-147.2,2.504
T,8.0,-148.0,2.508
T,8.0,-148.0,2.512
T,8.0,-148.0,2.516
T,8.0,-148.8,2.52
T,8.0,-148.8,2.524
T,8.0,-148.8,2.528
T,8.0,-149.6,2.532
T,8.0,-149.6,2.536
T,8.0,-149.6,2.54
T,8.0,-150.4,2.544
T,8.0,-150.4,2.548
T,8.0,-150.4,2.552
T,8.0,-151.2,2.556
T,8.0,-151.2,2.56
T,8.0,-152.0,2.564
T,8.0,-152.0,2.568
T,8.0,-152.0,2.572
T,8.0,-152.8,2.576
T,8.0,-152.8,2.58
T,8.0,-152.8,2.584
T,8.0,-153.6,2.588
T,8.0,-153.6,2.592
T,8.0,-154.4,2.596
T,8.0,-154.4,2.6
T,8.0,-154.4,2.604
T,8.0,-155.2,2.608
T,8.0,-155.2,2.612
T,8.0,-155.2,2.616
T,8.0,-156.0,2.62
T,8.0,-156.0,2.624
T,8.0,-156.8,2.628
T,8.0,-156.8,2.632
T,8.0,-156.8,2.636
T,8.0,-157.6,2.64
T,8.0,-157.6,2.644
T,8.0,-158.4,2.648
T,8.0,-158.4,2.652
T,8.0,-158.4,2.656
T,8.0,-159.2,2.66
T,8.0,-159.2,2.664
T,8.0,-160.0,2.668
T,8.0,-160.0,2.672
T,8.0,-160.0,2.676
T,8.0,-160.8,2.68
T,8.0,-160.8,2.684
