Axis,Voltage,Angle,Time
T,7,0.0,0.0
T,7,0.0,0.002
T,7,0.0,0.004
T,7,0.0,0.006
T,7,0.0,0.008
T,7,0.8,0.01
T,7,0.8,0.012
T,7,0.8,0.014
T,7,0.8,0.016
T,7,0.8,0.018
T,7,0.8,0.02
T,7,0.8,0.022
T,7,0.8,0.024
T,7,0.8,0.026
T,7,0.8,0.028
T,7,0.8,0.03
T,7,0.8,0.032
T,7,1.6,0.034
T,7,1.6,0.036
T,7,1.6,0.038
T,7,1.6,0.04
T,7,1.6,0.042
T,7,1.6,0.044
T,7,1.6,0.046
T,7,1.6,0.048
T,7,1.6,0.05
T,7,1.6,0.052
T,7,1.6,0.054
T,7,1.6,0.056
T,7,1.6,0.058
T,7,1.6,0.06
T,7,1.6,0.062
T,7,2.4,0.064
T,7,2.4,0.066
T,7,2.4,0.068
T,7,2.4,0.07
T,7,2.4,0.072
T,7,2.4,0.074
T,7,2.4,0.076
T,7,2.4,0.078
T,7,2.4,0.08
T,7,2.4,0.082
T,7,3.2,0.084
T,7,3.2,0.086
T,7,3.2,0.088
T,7,3.2,0.09
T,7,3.2,0.092
T,7,3.2,0.094
T,7,3.2,0.096
T,7,3.2,0.098
T,7,3.2,0.1
T,7,4.0,0.102
T,7,4.0,0.104
T,7,4.0,0.106
T,7,4.0,0.108
T,7,4.0,0.11
T,7,4.0,0.112
T,7,4.0,0.114
T,7,4.0,0.116
T,7,4.8,0.118
T,7,4.8,0.12
T,7,4.8,0.122
T,7,4.8,0.124
T,7,4.8,0.126
T,7,4.8,0.128
T,7,4.8,0.13
T,7,4.8,0.132
T,7,5.6,0.134
T,7,5.6,0.136
T,7,5.6,0.138
T,7,5.6,0.14
T,7,5.6,0.142
T,7,5.6,0.144
T,7,5.6,0.146
T,7,6.4,0.148
T,7,6.4,0.15
T,7,6.4,0.152
T,7,6.4,0.154
T,7,6.4,0.156
T,7,6.4,0.158
T,7,6.4,0.16
T,7,6.4,0.162
T,7,7.2,0.164
T,7,7.2,0.166
T,7,7.2,0.168
T,7,7.2,0.17
T,7,7.2,0.172
T,7,7.2,0.174
T,7,7.2,0.176
T,7,8.0,0.178
T,7,8.0,0.18
T,7,8.0,0.182
T,7,8.0,0.184
T,7,8.0,0.186
T,7,8.0,0.188
T,7,8.0,0.19
T,7,8.8,0.192
T,7,8.8,0.194
T,7,8.8,0.196
T,7,8.8,0.198
T,7,8.8,0.2
T,7,8.8,0.202
T,7,8.8,0.204
T,7,9.6,0.206
T,7,9.6,0.208
T,7,9.6,0.21
T,7,9.6,0.212
T,7,9.6,0.214
T,7,9.6,0.216
T,7,9.6,0.218
T,7,10.4,0.22
T,7,10.4,0.222
T,7,10.4,0.224
T,7,10.4,0.226
T,7,10.4,0.228
T,7,10.4,0.23
T,7,10.4,0.232
T,7,11.2,0.234
T,7,11.2,0.236
T,7,11.2,0.238
T,7,11.2,0.24
