Axis,Voltage,Angle,Time
T,-10.5,-1624.8,7.43
T,-10.5,-1624.8,7.432
T,-10.5,-1625.6,7.434
T,-10.5,-1625.6,7.436
T,-10.5,-1626.4,7.438
T,-10.5,-1627.2,7.44
T,-10.5,-1627.2,7.442
T,-10.5,-1628.0,7.444
T,-10.5,-1628.0,7.446
T,-10.5,-1628.8,7.448
T,-10.5,-1628.8,7.45
T,-10.5,-1629.6,7.452
T,-10.5,-1629.6,7.454
T,-10.5,-1630.4,7.456
T,-10.5,-1630.4,7.458
T,-10.5,-1631.2,7.46
T,-10.5,-1631.2,7.462
T,-10.5,-1632.0,7.464
T,-10.5,-1632.8,7.466
T,-10.5,-1632.8,7.468
T,-10.5,-1633.6,7.47
T,-10.5,-1633.6,7.472
T,-10.5,-1634.4,7.474
T,-10.5,-1634.4,7.476
T,-10.5,-1635.2,7.478
T,-10.5,-1635.2,7.48
T,-10.5,-1636.0,7.482
T,-10.5,-1636.0,7.484
T,-10.5,-1636.8,7.486
T,-10.5,-1637.6,7.488
T,-10.5,-1637.6,7.49
T,-10.5,-1638.4,7.492
T,-10.5,-1638.4,7.494
T,-10.5,-1639.2,7.496
T,-10.5,-1639.2,7.498
T,-10.5,-1640.0,7.5
T,-10.5,-1640.0,7.502
T,-10.5,-1640.8,7.504
T,-10.5,-1640.8,7.506
T,-10.5,-1641.6,7.508
T,-10.5,-1641.6,7.51
T,-10.5,-1642.4,7.512
T,-10.5,-1643.2,7.514
T,-10.5,-1643.2,7.516
T,-10.5,-1644.0,7.518
T,-10.5,-1644.0,7.52
T,-10.5,-1644.8,7.522
T,-10.5,-1644.8,7.524
T,-10.5,-1645.6,7.526
T,-10.5,-1645.6,7.528
T,-10.5,-1646.4,7.53
T,-10.5,-1646.4,7.532
T,-10.5,-1647.2,7.534
T,-10.5,-1647.2,7.536
T,-10.5,-1648.0,7.538
T,-10.5,-1648.8,7.54
T,-10.5,-1648.8,7.542
T,-10.5,-1649.6,7.544
T,-10.5,-1649.6,7.546
T,-10.5,-1650.4,7.548
T,-10.5,-1650.4,7.55
T,-10.5,-1651.2,7.552
T,-10.5,-1651.2,7.554
T,-10.5,-1652.0,7.556
T,-10.5,-1652.0,7.558
T,-10.5,-1652.8,7.56
T,-10.5,-1652.8,7.562
T,-10.5,-1653.6,7.564
T,-10.5,-1654.4,7.566
T,-10.5,-1654.4,7.568
T,-10.5,-1655.2,7.57
T,-10.5,-1655.2,7.572
T,-10.5,-1656.0,7.574
T,-10.5,-1656.0,7.576
T,-10.5,-1656.8,7.578
T,-10.5,-1656.8,7.58
T,-10.5,-1657.6,7.582
T,-10.5,-1657.6,7.584
T,-10.5,-1658.4,7.586
T,-10.5,-1658.4,7.588
T,-10.5,-1659.2,7.59
T,-10.5,-1660.0,7.592
T,-10.5,-1660.0,7.594
T,-10.5,-1660.8,7.596
T,-10.5,-1660.8,7.598
T,-10.5,-1661.6,7.6
T,-10.5,-1661.6,7.602
T,-10.5,-1662.4,7.604
T,-10.5,-1662.4,7.606
T,-10.5,-1663.2,7.608
T,-10.5,-1663.2,7.61
T,-10.5,-1664.0,7.612
T,-10.5,-1664.0,7.614
T,-10.5,-1664.8,7.616
T,-10.5,-1664.8,7.618
T,-10.5,-1665.6,7.62
T,-10.5,-1666.4,7.622
T,-10.5,-1666.4,7.624
T,-10.5,-1667.2,7.626
T,-10.5,-1667.2,7.628
T,-10.5,-1668.0,7.63
T,-10.5,-1668.0,7.632
T,-10.5,-1668.8,7.634
T,-10.5,-1668.8,7.636
T,-10.5,-1669.6,7.638
T,-10.5,-1669.6,7.64
T,-10.5,-1670.4,7.642
T,-10.5,-1671.2,7.644
T,-10.5,-1671.2,7.646
T,-10.5,-1672.0,7.648
T,-10.5,-1672.0,7.65
T,-10.5,-1672.8,7.652
T,-10.5,-1672.8,7.654
T,-10.5,-1673.6,7.656
T,-10.5,-1673.6,7.658
T,-10.5,-1674.4,7.66
T,-10.5,-1674.4,7.662
T,-10.5,-1675.2,7.664
T,-10.5,-1675.2,7.666
T,-10.5,-1676.0,7.668
T,-10.5,-1676.8,7.67
T,-10.5,-1676.8,7.672
T,-10.5,-1677.6,7.674
T,-10.5,-1677.6,7.676
T,-10.5,-1678.4,7.678
T,-10.5,-1678.4,7.68
T,-10.5,-1679.2,7.682
T,-10.5,-1679.2,7.684
T,-10.5,-1680.0,7.686
T,-10.5,-1680.0,7.688
T,-10.5,-1680.8,7.69
