Axis,Voltage,Count,Time
T,10.5,32768,00000
T,10.5,32768,00002
T,10.5,32768,00004
T,10.5,32768,00006
T,10.5,32768,00008
T,10.5,32768,00010
T,10.5,32768,00012
T,10.5,32769,00014
T,10.5,32769,00016
T,10.5,32769,00018
T,10.5,32770,00020
T,10.5,32770,00022
T,10.5,32770,00024
T,10.5,32770,00026
T,10.5,32771,00028
T,10.5,32771,00030
T,10.5,32771,00032
T,10.5,32771,00034
T,10.5,32771,00036
T,10.5,32772,00038
T,10.5,32772,00040
T,10.5,32772,00042
T,10.5,32772,00044
T,10.5,32772,00046
T,10.5,32773,00048
T,10.5,32773,00050
T,10.5,32773,00052
T,10.5,32774,00054
T,10.5,32774,00056
T,10.5,32775,00058
T,10.5,32775,00060
T,10.5,32775,00062
T,10.5,32776,00064
T,10.5,32776,00066
T,10.5,32777,00068
T,10.5,32777,00070
T,10.5,32778,00072
T,10.5,32778,00074
T,10.5,32779,00076
T,10.5,32779,00078
T,10.5,32779,00080
T,10.5,32780,00082
T,10.5,32780,00084
T,10.5,32781,00086
T,10.5,32781,00088
T,10.5,32782,00090
T,10.5,32782,00092
T,10.5,32783,00094
T,10.5,32783,00096
T,10.5,32784,00098
T,10.5,32784,00100
T,10.5,32785,00102
T,10.5,32785,00104
T,10.5,32786,00106
T,10.5,32786,00108
T,10.5,32786,00110
T,10.5,32787,00112
T,10.5,32788,00114
T,10.5,32788,00116
T,10.5,32789,00118
T,10.5,32789,00120
T,10.5,32790,00122
T,10.5,32790,00124
T,10.5,32791,00126
T,10.5,32791,00128
T,10.5,32792,00130
T,10.5,32792,00132
T,10.5,32793,00134
T,10.5,32793,00136
T,10.5,32794,00138
T,10.5,32794,00140
T,10.5,32795,00142
T,10.5,32795,00144
T,10.5,32796,00146
T,10.5,32797,00148
T,10.5,32797,00150
T,10.5,32798,00152
T,10.5,32798,00154
T,10.5,32799,00156
T,10.5,32799,00158
T,10.5,32800,00160
T,10.5,32800,00162
T,10.5,32801,00164
T,10.5,32801,00166
T,10.5,32802,00168
T,10.5,32802,00170
T,10.5,32803,00172
T,10.5,32803,00174
T,10.5,32804,00176
T,10.5,32804,00178
T,10.5,32805,00180
T,10.5,32805,00182
T,10.5,32806,00184
T,10.5,32807,00186
T,10.5,32807,00188
T,10.5,32808,00190
T,10.5,32808,00192
T,10.5,32809,00194
T,10.5,32809,00196
T,10.5,32810,00198
T,10.5,32810,00200
T,10.5,32811,00202
T,10.5,32811,00204
T,10.5,32812,00206
T,10.5,32812,00208
T,10.5,32813,00210
T,10.5,32813,00212
T,10.5,32814,00214
T,10.5,32815,00216
T,10.5,32815,00218
T,10.5,32816,00220
T,10.5,32816,00222
T,10.5,32817,00224
T,10.5,32817,00226
T,10.5,32818,00228
T,10.5,32818,00230
T,10.5,32819,00232
T,10.5,32819,00234
T,10.5,32820,00236
T,10.5,32821,00238
T,10.5,32821,00240
T,10.5,32822,00242
T,10.5,32822,00244
T,10.5,32823,00246
T,10.5,32823,00248
T,10.5,32824,00250
T,10.5,32824,00252
T,10.5,32825,00254
T,10.5,32825,00256
T,10.5,32826,00258
T,10.5,32826,00260
T,10.5,32827,00262
T,10.5,32828,00264
T,10.5,32828,00266
T,10.5,32829,00268
T,10.5,32829,00270
T,10.5,32830,00272
T,10.5,32830,00274
T,10.5,32831,00276
T,10.5,32831,00278
T,10.5,32832,00280
T,10.5,32832,00282
T,10.5,32833,00284
T,10.5,32833,00286
T,10.5,32834,00288
T,10.5,32835,00290
T,10.5,32835,00292
T,10.5,32836,00294
T,10.5,32836,00296
T,10.5,32837,00298
T,10.5,32837,00300
T,10.5,32838,00302
T,10.5,32838,00304
T,10.5,32839,00306
T,10.5,32839,00308
T,10.5,32840,00310
T,10.5,32840,00312
T,10.5,32841,00314
T,10.5,32842,00316
T,10.5,32842,00318
T,10.5,32843,00320
T,10.5,32843,00322
T,10.5,32844,00324
T,10.5,32844,00326
T,10.5,32845,00328
T,10.5,32845,00330
T,10.5,32846,00332
T,10.5,32846,00334
T,10.5,32847,00336
T,10.5,32848,00338
T,10.5,32848,00340
T,10.5,32849,00342
T,10.5,32849,00344
T,10.5,32850,00346
T,10.5,32850,00348
T,10.5,32851,00350
T,10.5,32851,00352
T,10.5,32852,00354
T,10.5,32852,00356
T,10.5,32853,00358
T,10.5,32853,00360
T,10.5,32854,00362
T,10.5,32854,00364
T,10.5,32855,00366
T,10.5,32856,00368
T,10.5,32856,00370
T,10.5,32857,00372
T,10.5,32857,00374
T,10.5,32858,00376
T,10.5,32858,00378
T,10.5,32859,00380
T,10.5,32859,00382
T,10.5,32860,00384
T,10.5,32860,00386
T,10.5,32861,00388
T,10.5,32861,00390
T,10.5,32862,00392
T,10.5,32862,00394
T,10.5,32863,00396
T,10.5,32864,00398
T,10.5,32864,00400
T,10.5,32865,00402
T,10.5,32865,00404
T,10.5,32866,00406
T,10.5,32866,00408
T,10.5,32867,00410
T,10.5,32867,00412
T,10.5,32868,00414
T,10.5,32868,00416
T,10.5,32869,00418
T,10.5,32869,00420
T,10.5,32870,00422
T,10.5,32871,00424
T,10.5,32871,00426
T,10.5,32872,00428
T,10.5,32872,00430
T,10.5,32873,00432
T,10.5,32873,00434
T,10.5,32874,00436
T,10.5,32874,00438
T,10.5,32875,00440
T,10.5,32875,00442
T,10.5,32876,00444
T,10.5,32876,00446
T,10.5,32877,00448
T,10.5,32877,00450
T,10.5,32878,00452
T,10.5,32879,00454
T,10.5,32879,00456
T,10.5,32880,00458
T,10.5,32880,00460
T,10.5,32881,00462
T,10.5,32881,00464
T,10.5,32882,00466
T,10.5,32882,00468
T,10.5,32883,00470
T,10.5,32883,00472
T,10.5,32884,00474
T,10.5,32884,00476
T,10.5,32885,00478
