Axis,Voltage,Count,Time
T,7,32768,00000
T,7,32768,00002
T,7,32768,00004
T,7,32768,00006
T,7,32768,00008
T,7,32769,00010
T,7,32769,00012
T,7,32769,00014
T,7,32769,00016
T,7,32769,00018
T,7,32769,00020
T,7,32769,00022
T,7,32769,00024
T,7,32769,00026
T,7,32769,00028
T,7,32769,00030
T,7,32769,00032
T,7,32770,00034
T,7,32770,00036
T,7,32770,00038
T,7,32770,00040
T,7,32770,00042
T,7,32770,00044
T,7,32770,00046
T,7,32770,00048
T,7,32770,00050
T,7,32770,00052
T,7,32770,00054
T,7,32770,00056
T,7,32770,00058
T,7,32770,00060
T,7,32770,00062
T,7,32771,00064
T,7,32771,00066
T,7,32771,00068
T,7,32771,00070
T,7,32771,00072
T,7,32771,00074
T,7,32771,00076
T,7,32771,00078
T,7,32771,00080
T,7,32771,00082
T,7,32772,00084
T,7,32772,00086
T,7,32772,00088
T,7,32772,00090
T,7,32772,00092
T,7,32772,00094
T,7,32772,00096
T,7,32772,00098
T,7,32772,00100
T,7,32773,00102
T,7,32773,00104
T,7,32773,00106
T,7,32773,00108
T,7,32773,00110
T,7,32773,00112
T,7,32773,00114
T,7,32773,00116
T,7,32774,00118
T,7,32774,00120
T,7,32774,00122
T,7,32774,00124
T,7,32774,00126
T,7,32774,00128
T,7,32774,00130
T,7,32774,00132
T,7,32775,00134
T,7,32775,00136
T,7,32775,00138
T,7,32775,00140
T,7,32775,00142
T,7,32775,00144
T,7,32775,00146
T,7,32776,00148
T,7,32776,00150
T,7,32776,00152
T,7,32776,00154
T,7,32776,00156
T,7,32776,00158
T,7,32776,00160
T,7,32776,00162
T,7,32777,00164
T,7,32777,00166
T,7,32777,00168
T,7,32777,00170
T,7,32777,00172
T,7,32777,00174
T,7,32777,00176
T,7,32778,00178
T,7,32778,00180
T,7,32778,00182
T,7,32778,00184
T,7,32778,00186
T,7,32778,00188
T,7,32778,00190
T,7,32779,00192
T,7,32779,00194
T,7,32779,00196
T,7,32779,00198
T,7,32779,00200
T,7,32779,00202
T,7,32779,00204
T,7,32780,00206
T,7,32780,00208
T,7,32780,00210
T,7,32780,00212
T,7,32780,00214
T,7,32780,00216
T,7,32780,00218
T,7,32781,00220
T,7,32781,00222
T,7,32781,00224
T,7,32781,00226
T,7,32781,00228
T,7,32781,00230
T,7,32781,00232
T,7,32782,00234
T,7,32782,00236
T,7,32782,00238
T,7,32782,00240
T,7,32782,00242
T,7,32782,00244
T,7,32783,00246
T,7,32783,00248
T,7,32783,00250
T,7,32783,00252
T,7,32783,00254
T,7,32783,00256
T,7,32783,00258
T,7,32784,00260
T,7,32784,00262
T,7,32784,00264
T,7,32784,00266
T,7,32784,00268
T,7,32784,00270
T,7,32784,00272
T,7,32785,00274
T,7,32785,00276
T,7,32785,00278
T,7,32785,00280
T,7,32785,00282
T,7,32785,00284
T,7,32785,00286
T,7,32786,00288
T,7,32786,00290
T,7,32786,00292
T,7,32786,00294
T,7,32786,00296
T,7,32786,00298
T,7,32787,00300
T,7,32787,00302
T,7,32787,00304
T,7,32787,00306
T,7,32787,00308
T,7,32787,00310
T,7,32787,00312
T,7,32788,00314
T,7,32788,00316
T,7,32788,00318
T,7,32788,00320
T,7,32788,00322
