Axis,Voltage,Count,Time
T,-12,32768,00000
T,-12,32768,00002
T,-12,32768,00004
T,-12,32768,00006
T,-12,32768,00008
T,-12,32767,00010
T,-12,32767,00012
T,-12,32767,00014
T,-12,32766,00016
T,-12,32766,00018
T,-12,32766,00020
T,-12,32765,00022
T,-12,32765,00024
T,-12,32765,00026
T,-12,32764,00028
T,-12,32764,00030
T,-12,32764,00032
T,-12,32764,00034
T,-12,32763,00036
T,-12,32763,00038
T,-12,32763,00040
T,-12,32762,00042
T,-12,32762,00044
T,-12,32762,00046
T,-12,32761,00048
T,-12,32761,00050
T,-12,32761,00052
T,-12,32760,00054
T,-12,32760,00056
T,-12,32759,00058
T,-12,32759,00060
T,-12,32758,00062
T,-12,32758,00064
T,-12,32757,00066
T,-12,32757,00068
T,-12,32756,00070
T,-12,32756,00072
T,-12,32755,00074
T,-12,32754,00076
T,-12,32754,00078
T,-12,32753,00080
T,-12,32753,00082
T,-12,32752,00084
T,-12,32751,00086
T,-12,32751,00088
T,-12,32750,00090
T,-12,32750,00092
T,-12,32749,00094
T,-12,32749,00096
T,-12,32748,00098
T,-12,32747,00100
T,-12,32747,00102
T,-12,32746,00104
T,-12,32746,00106
T,-12,32745,00108
T,-12,32744,00110
T,-12,32744,00112
T,-12,32743,00114
T,-12,32742,00116
T,-12,32742,00118
T,-12,32741,00120
T,-12,32741,00122
T,-12,32740,00124
T,-12,32739,00126
T,-12,32739,00128
T,-12,32738,00130
T,-12,32737,00132
T,-12,32737,00134
T,-12,32736,00136
T,-12,32735,00138
T,-12,32735,00140
T,-12,32734,00142
T,-12,32733,00144
T,-12,32733,00146
T,-12,32732,00148
T,-12,32731,00150
T,-12,32731,00152
T,-12,32730,00154
T,-12,32729,00156
T,-12,32729,00158
T,-12,32728,00160
T,-12,32727,00162
T,-12,32727,00164
T,-12,32726,00166
T,-12,32725,00168
T,-12,32725,00170
T,-12,32724,00172
T,-12,32723,00174
T,-12,32723,00176
T,-12,32722,00178
T,-12,32721,00180
T,-12,32721,00182
T,-12,32720,00184
T,-12,32719,00186
T,-12,32719,00188
T,-12,32718,00190
T,-12,32717,00192
T,-12,32717,00194
T,-12,32716,00196
T,-12,32715,00198
T,-12,32715,00200
T,-12,32714,00202
T,-12,32714,00204
T,-12,32713,00206
T,-12,32712,00208
T,-12,32712,00210
T,-12,32711,00212
T,-12,32710,00214
T,-12,32710,00216
T,-12,32709,00218
T,-12,32708,00220
T,-12,32708,00222
T,-12,32707,00224
T,-12,32706,00226
T,-12,32706,00228
T,-12,32705,00230
T,-12,32704,00232
T,-12,32704,00234
T,-12,32703,00236
T,-12,32702,00238
T,-12,32702,00240
T,-12,32701,00242
T,-12,32700,00244
T,-12,32700,00246
T,-12,32699,00248
T,-12,32698,00250
T,-12,32698,00252
T,-12,32697,00254
T,-12,32696,00256
T,-12,32696,00258
T,-12,32695,00260
T,-12,32694,00262
T,-12,32694,00264
T,-12,32693,00266
T,-12,32692,00268
T,-12,32692,00270
T,-12,32691,00272
T,-12,32690,00274
T,-12,32690,00276
T,-12,32689,00278
T,-12,32688,00280
T,-12,32688,00282
T,-12,32687,00284
T,-12,32686,00286
T,-12,32686,00288
T,-12,32685,00290
T,-12,32684,00292
T,-12,32684,00294
T,-12,32683,00296
T,-12,32682,00298
T,-12,32682,00300
T,-12,32681,00302
T,-12,32680,00304
T,-12,32680,00306
T,-12,32679,00308
T,-12,32679,00310
T,-12,32678,00312
T,-12,32677,00314
T,-12,32677,00316
T,-12,32676,00318
T,-12,32675,00320
T,-12,32675,00322
T,-12,32674,00324
T,-12,32673,00326
T,-12,32673,00328
T,-12,32672,00330
T,-12,32671,00332
T,-12,32671,00334
T,-12,32670,00336
T,-12,32669,00338
T,-12,32669,00340
T,-12,32668,00342
T,-12,32667,00344
T,-12,32667,00346
T,-12,32666,00348
T,-12,32665,00350
T,-12,32665,00352
T,-12,32664,00354
T,-12,32663,00356
T,-12,32663,00358
T,-12,32662,00360
T,-12,32661,00362
T,-12,32661,00364
T,-12,32660,00366
T,-12,32659,00368
T,-12,32659,00370
T,-12,32658,00372
T,-12,32657,00374
T,-12,32657,00376
T,-12,32656,00378
T,-12,32655,00380
T,-12,32655,00382
T,-12,32654,00384
T,-12,32653,00386
T,-12,32653,00388
T,-12,32652,00390
T,-12,32651,00392
T,-12,32651,00394
T,-12,32650,00396
T,-12,32649,00398
T,-12,32649,00400
T,-12,32648,00402
T,-12,32647,00404
T,-12,32647,00406
T,-12,32646,00408
T,-12,32645,00410
T,-12,32645,00412
T,-12,32644,00414
T,-12,32644,00416
T,-12,32643,00418
T,-12,32642,00420
T,-12,32642,00422
T,-12,32641,00424
T,-12,32640,00426
T,-12,32640,00428
T,-12,32639,00430
T,-12,32638,00432
T,-12,32638,00434
T,-12,32637,00436
T,-12,32636,00438
T,-12,32636,00440
T,-12,32635,00442
T,-12,32634,00444
T,-12,32634,00446
T,-12,32633,00448
T,-12,32632,00450
T,-12,32632,00452
T,-12,32631,00454
T,-12,32630,00456
T,-12,32630,00458
T,-12,32629,00460
T,-12,32628,00462
T,-12,32628,00464
T,-12,32627,00466
T,-12,32626,00468
T,-12,32626,00470
T,-12,32625,00472
T,-12,32624,00474
T,-12,32624,00476
T,-12,32623,00478
T,-12,32622,00480
T,-12,32622,00482
T,-12,32621,00484
T,-12,32621,00486
T,-12,32620,00488
T,-12,32619,00490
T,-12,32619,00492
T,-12,32618,00494
T,-12,32617,00496
T,-12,32617,00498
T,-12,32616,00500
T,-12,32615,00502
T,-12,32615,00504
T,-12,32614,00506
T,-12,32613,00508
T,-12,32613,00510
T,-12,32612,00512
T,-12,32611,00514
T,-12,32611,00516
T,-12,32610,00518
T,-12,32610,00520
T,-12,32609,00522
T,-12,32608,00524
T,-12,32608,00526
T,-12,32607,00528
T,-12,32606,00530
T,-12,32606,00532
T,-12,32605,00534
T,-12,32604,00536
T,-12,32604,00538
T,-12,32603,00540
T,-12,32602,00542
T,-12,32602,00544
T,-12,32601,00546
T,-12,32600,00548
T,-12,32600,00550
T,-12,32599,00552
T,-12,32599,00554
T,-12,32598,00556
T,-12,32597,00558
T,-12,32597,00560
T,-12,32596,00562
T,-12,32595,00564
T,-12,32595,00566
T,-12,32594,00568
T,-12,32593,00570
T,-12,32593,00572
T,-12,32592,00574
T,-12,32591,00576
T,-12,32591,00578
T,-12,32590,00580
T,-12,32589,00582
T,-12,32589,00584
T,-12,32588,00586
T,-12,32588,00588
T,-12,32587,00590
T,-12,32586,00592
T,-12,32586,00594
T,-12,32585,00596
T,-12,32584,00598
T,-12,32584,00600
T,-12,32583,00602
T,-12,32582,00604
T,-12,32582,00606
T,-12,32581,00608
T,-12,32580,00610
T,-12,32580,00612
T,-12,32579,00614
T,-12,32578,00616
T,-12,32578,00618
T,-12,32577,00620
T,-12,32577,00622
T,-12,32576,00624
T,-12,32575,00626
T,-12,32575,00628
T,-12,32574,00630
T,-12,32573,00632
T,-12,32573,00634
T,-12,32572,00636
T,-12,32571,00638
T,-12,32571,00640
T,-12,32570,00642
T,-12,32569,00644
T,-12,32569,00646
T,-12,32568,00648
T,-12,32567,00650
T,-12,32567,00652
T,-12,32566,00654
T,-12,32565,00656
T,-12,32565,00658
T,-12,32564,00660
T,-12,32563,00662
T,-12,32563,00664
T,-12,32562,00666
T,-12,32562,00668
T,-12,32561,00670
T,-12,32560,00672
T,-12,32560,00674
T,-12,32559,00676
T,-12,32558,00678
T,-12,32558,00680
T,-12,32557,00682
T,-12,32556,00684
T,-12,32556,00686
