Axis,Voltage,Count,Time
T,04005,32768,00000
T,04010,32768,00004
T,04015,32768,00008
T,04020,32768,00012
T,04025,32768,00016
T,04030,32768,00020
T,04035,32768,00024
T,04040,32767,00028
T,04045,32767,00032
T,04050,32767,00036
T,04055,32767,00040
T,04060,32767,00044
T,04065,32767,00048
T,04070,32767,00052
T,04075,32767,00056
T,04080,32767,00060
T,04085,32767,00064
T,04090,32767,00068
T,04095,32767,00072
T,04100,32766,00076
T,04105,32766,00080
T,04110,32766,00084
T,04115,32766,00088
T,04120,32766,00092
T,04125,32766,00096
T,04130,32766,00100
T,04135,32766,00104
T,04140,32765,00108
T,04145,32765,00112
T,04150,32765,00116
T,04155,32765,00120
T,04160,32765,00124
T,04165,32765,00128
T,04170,32764,00132
T,04175,32764,00136
T,04180,32764,00140
T,04185,32764,00144
T,04190,32764,00148
T,04195,32764,00152
T,04200,32763,00156
T,04205,32763,00160
T,04210,32763,00164
T,04215,32763,00168
T,04220,32763,00172
T,04225,32762,00176
T,04230,32762,00180
T,04235,32762,00184
T,04240,32762,00188
T,04245,32762,00192
T,04250,32761,00196
T,04255,32761,00200
T,04260,32761,00204
T,04265,32761,00208
T,04270,32760,00212
T,04275,32760,00216
T,04280,32760,00220
T,04285,32760,00224
T,04290,32759,00228
T,04295,32759,00232
T,04300,32759,00236
T,04305,32759,00240
T,04310,32758,00244
T,04315,32758,00248
T,04320,32758,00252
T,04325,32758,00256
T,04330,32757,00260
T,04335,32757,00264
T,04340,32757,00268
T,04345,32757,00272
T,04350,32756,00276
T,04355,32756,00280
T,04360,32756,00284
T,04365,32755,00288
T,04370,32755,00292
T,04375,32755,00296
T,04380,32755,00300
T,04385,32754,00304
T,04390,32754,00308
T,04395,32754,00312
T,04400,32753,00316
T,04405,32753,00320
T,04410,32753,00324
T,04415,32752,00328
T,04420,32752,00332
T,04425,32752,00336
T,04430,32751,00340
T,04435,32751,00344
T,04440,32751,00348
T,04445,32750,00352
T,04450,32750,00356
T,04455,32750,00360
T,04460,32750,00364
T,04465,32749,00368
T,04470,32749,00372
T,04475,32749,00376
T,04480,32748,00380
T,04485,32748,00384
T,04490,32747,00388
T,04495,32747,00392
T,04500,32747,00396
T,04505,32746,00400
T,04510,32746,00404
T,04515,32746,00408
T,04520,32745,00412
T,04525,32745,00416
T,04530,32745,00420
T,04535,32744,00424
T,04540,32744,00428
T,04545,32744,00432
T,04550,32743,00436
T,04555,32743,00440
T,04560,32743,00444
T,04565,32742,00448
T,04570,32742,00452
T,04575,32741,00456
T,04580,32741,00460
T,04585,32741,00464
T,04590,32740,00468
T,04595,32740,00472
T,04600,32739,00476
T,04605,32739,00480
T,04610,32739,00484
T,04615,32738,00488
T,04620,32738,00492
T,04625,32738,00496
T,04630,32737,00500
T,04635,32737,00504
T,04640,32736,00508
T,04645,32736,00512
T,04650,32736,00516
T,04655,32735,00520
T,04660,32735,00524
T,04665,32734,00528
T,04670,32734,00532
T,04675,32734,00536
T,04680,32733,00540
T,04685,32733,00544
T,04690,32732,00548
T,04695,32732,00552
T,04700,32732,00556
T,04705,32731,00560
T,04710,32731,00564
T,04715,32730,00568
T,04720,32730,00572
T,04725,32729,00576
T,04730,32729,00580
T,04735,32729,00584
T,04740,32728,00588
T,04745,32728,00592
T,04750,32727,00596
T,04755,32727,00600
T,04760,32726,00604
T,04765,32726,00608
T,04770,32726,00612
T,04775,32725,00616
T,04780,32725,00620
T,04785,32724,00624
T,04790,32724,00628
T,04795,32723,00632
T,04800,32723,00636
T,04805,32723,00640
T,04810,32722,00644
T,04815,32722,00648
T,04820,32721,00652
T,04825,32721,00656
T,04830,32720,00660
T,04835,32720,00664
T,04840,32719,00668
T,04845,32719,00672
T,04850,32719,00676
T,04855,32718,00680
T,04860,32718,00684
T,04865,32717,00688
T,04870,32717,00692
T,04875,32716,00696
T,04880,32716,00700
T,04885,32715,00704
T,04890,32715,00708
T,04895,32715,00712
T,04900,32714,00716
T,04905,32714,00720
T,04910,32713,00724
T,04915,32713,00728
T,04920,32712,00732
T,04925,32712,00736
T,04930,32711,00740
T,04935,32711,00744
T,04940,32710,00748
T,04945,32710,00752
T,04950,32710,00756
T,04955,32709,00760
T,04960,32709,00764
T,04965,32708,00768
T,04970,32708,00772
T,04975,32707,00776
T,04980,32707,00780
T,04985,32706,00784
T,04990,32706,00788
T,04995,32705,00792
T,05000,32705,00796
T,05005,32705,00800
T,05010,32704,00804
T,05015,32704,00808
T,05020,32703,00812
T,05025,32703,00816
T,05030,32702,00820
T,05035,32702,00824
T,05040,32701,00828
T,05045,32701,00832
T,05050,32700,00836
T,05055,32700,00840
T,05060,32699,00844
T,05065,32699,00848
T,05070,32699,00852
T,05075,32698,00856
T,05080,32698,00860
T,05085,32697,00864
T,05090,32697,00868
T,05095,32696,00872
T,05100,32696,00876
T,05105,32695,00880
T,05110,32695,00884
T,05115,32694,00888
T,05120,32694,00892
T,05125,32693,00896
T,05130,32693,00900
T,05135,32693,00904
T,05140,32692,00908
T,05145,32692,00912
T,05150,32691,00916
T,05155,32691,00920
T,05160,32690,00924
T,05165,32690,00928
T,05170,32689,00932
T,05175,32689,00936
T,05180,32688,00940
T,05185,32688,00944
T,05190,32688,00948
T,05195,32687,00952
T,05200,32687,00956
T,05205,32686,00960
T,05210,32686,00964
T,05215,32685,00968
T,05220,32685,00972
T,05225,32684,00976
T,05230,32684,00980
T,05235,32683,00984
T,05240,32683,00988
T,05245,32682,00992
T,05250,32682,00996
T,05255,32682,01000
T,05260,32681,01004
T,05265,32681,01008
T,05270,32680,01012
T,05275,32680,01016
T,05280,32679,01020
T,05285,32679,01024
T,05290,32678,01028
T,05295,32678,01032
T,05300,32677,01036
T,05305,32677,01040
T,05310,32676,01044
T,05315,32676,01048
T,05320,32675,01052
T,05325,32675,01056
T,05330,32674,01060
T,05335,32674,01064
T,05340,32674,01068
T,05345,32673,01072
T,05350,32673,01076
T,05355,32672,01080
T,05360,32672,01084
T,05365,32671,01088
T,05370,32671,01092
T,05375,32670,01096
T,05380,32670,01100
T,05385,32669,01104
T,05390,32669,01108
T,05395,32668,01112
T,05400,32668,01116
T,05405,32667,01120
T,05410,32667,01124
T,05415,32666,01128
T,05420,32666,01132
T,05425,32665,01136
T,05430,32665,01140
T,05435,32664,01144
T,05440,32664,01148
T,05445,32663,01152
T,05450,32663,01156
T,05455,32662,01160
T,05460,32662,01164
T,05465,32661,01168
T,05470,32661,01172
T,05475,32660,01176
T,05480,32660,01180
T,05485,32659,01184
T,05490,32659,01188
T,05495,32658,01192
T,05500,32658,01196
T,05505,32657,01200
T,05510,32657,01204
T,05515,32656,01208
T,05520,32656,01212
T,05525,32655,01216
T,05530,32655,01220
T,05535,32654,01224
T,05540,32654,01228
T,05545,32653,01232
T,05550,32653,01236
T,05555,32652,01240
T,05560,32652,01244
T,05565,32651,01248
T,05570,32651,01252
T,05575,32650,01256
T,05580,32650,01260
T,05585,32649,01264
T,05590,32649,01268
T,05595,32648,01272
T,05600,32648,01276
T,05605,32647,01280
T,05610,32647,01284
T,05615,32646,01288
T,05620,32646,01292
T,05625,32645,01296
T,05630,32645,01300
T,05635,32644,01304
T,05640,32644,01308
T,05645,32643,01312
T,05650,32642,01316
T,05655,32642,01320
T,05660,32641,01324
T,05665,32641,01328
T,05670,32640,01332
T,05675,32640,01336
T,05680,32639,01340
T,05685,32639,01344
T,05690,32638,01348
T,05695,32638,01352
T,05700,32637,01356
T,05705,32637,01360
T,05710,32636,01364
T,05715,32636,01368
T,05720,32635,01372
T,05725,32635,01376
T,05730,32634,01380
T,05735,32633,01384
T,05740,32633,01388
T,05745,32632,01392
T,05750,32632,01396
T,05755,32631,01400
T,05760,32631,01404
T,05765,32630,01408
T,05770,32630,01412
T,05775,32629,01416
T,05780,32629,01420
T,05785,32628,01424
T,05790,32628,01428
T,05795,32627,01432
T,05800,32626,01436
T,05805,32626,01440
T,05810,32625,01444
T,05815,32625,01448
T,05820,32624,01452
T,05825,32624,01456
T,05830,32623,01460
T,05835,32623,01464
T,05840,32622,01468
T,05845,32622,01472
T,05850,32621,01476
T,05855,32620,01480
T,05860,32620,01484
T,05865,32619,01488
T,05870,32619,01492
T,05875,32618,01496
T,05880,32618,01500
T,05885,32617,01504
T,05890,32617,01508
T,05895,32616,01512
T,05900,32616,01516
T,05905,32615,01520
T,05910,32615,01524
T,05915,32614,01528
T,05920,32614,01532
T,05925,32613,01536
T,05930,32612,01540
T,05935,32612,01544
T,05940,32611,01548
T,05945,32611,01552
T,05950,32610,01556
T,05955,32610,01560
T,05960,32609,01564
T,05965,32609,01568
T,05970,32608,01572
T,05975,32608,01576
T,05980,32607,01580
T,05985,32605,01584
T,05990,32605,01588
T,05995,32604,01592
T,06000,32604,01596
T,06005,32603,01600
T,06010,32603,01604
T,06015,32602,01608
T,06020,32602,01612
T,06025,32601,01616
T,06030,32601,01620
T,06035,32600,01624
T,06040,32600,01628
T,06045,32599,01632
T,06050,32599,01636
T,06055,32598,01640
T,06060,32597,01644
T,06065,32597,01648
T,06070,32596,01652
T,06075,32596,01656
T,06080,32595,01660
T,06085,32595,01664
T,06090,32594,01668
T,06095,32594,01672
T,06100,32593,01676
T,06105,32593,01680
T,06110,32592,01684
T,06115,32592,01688
T,06120,32591,01692
T,06125,32591,01696
T,06130,32590,01700
T,06135,32590,01704
T,06140,32589,01708
T,06145,32588,01712
T,06150,32588,01716
T,06155,32587,01720
T,06160,32587,01724
T,06165,32586,01728
T,06170,32586,01732
T,06175,32585,01736
T,06180,32585,01740
T,06185,32584,01744
T,06190,32584,01748
T,06195,32583,01752
T,06200,32583,01756
T,06205,32582,01760
T,06210,32581,01764
T,06215,32581,01768
T,06220,32580,01772
T,06225,32580,01776
T,06230,32579,01780
T,06235,32579,01784
T,06240,32578,01788
T,06245,32578,01792
T,06250,32577,01796
T,06255,32577,01800
T,06260,32576,01804
T,06265,32575,01808
T,06270,32575,01812
T,06275,32574,01816
T,06280,32574,01820
T,06285,32573,01824
T,06290,32573,01828
T,06295,32572,01832
T,06300,32571,01836
T,06305,32571,01840
T,06310,32570,01844
T,06315,32570,01848
T,06320,32569,01852
T,06325,32569,01856
T,06330,32568,01860
T,06335,32568,01864
T,06340,32567,01868
T,06345,32566,01872
T,06350,32566,01876
T,06355,32565,01880
T,06360,32565,01884
T,06365,32564,01888
T,06370,32563,01892
T,06375,32563,01896
T,06380,32562,01900
T,06385,32562,01904
T,06390,32561,01908
T,06395,32561,01912
T,06400,32560,01916
T,06405,32559,01920
T,06410,32559,01924
T,06415,32558,01928
T,06420,32558,01932
T,06425,32557,01936
T,06430,32556,01940
T,06435,32556,01944
T,06440,32555,01948
T,06445,32555,01952
T,06450,32554,01956
T,06455,32554,01960
T,06460,32553,01964
T,06465,32552,01968
T,06470,32552,01972
T,06475,32551,01976
T,06480,32551,01980
T,06485,32550,01984
T,06490,32549,01988
T,06495,32549,01992
T,06500,32548,01996
T,06505,32548,02000
T,06510,32547,02004
T,06515,32546,02008
T,06520,32546,02012
T,06525,32545,02016
T,06530,32545,02020
T,06535,32544,02024
T,06540,32543,02028
T,06545,32543,02032
T,06550,32542,02036
T,06555,32541,02040
T,06560,32541,02044
T,06565,32540,02048
T,06570,32539,02052
T,06575,32539,02056
T,06580,32538,02060
T,06585,32538,02064
T,06590,32537,02068
T,06595,32536,02072
T,06600,32536,02076
T,06605,32535,02080
T,06610,32534,02084
T,06615,32534,02088
T,06620,32533,02092
T,06625,32533,02096
T,06630,32532,02100
T,06635,32531,02104
T,06640,32531,02108
T,06645,32530,02112
T,06650,32529,02116
T,06655,32529,02120
T,06660,32528,02124
T,06665,32527,02128
T,06670,32527,02132
T,06675,32526,02136
T,06680,32525,02140
T,06685,32525,02144
T,06690,32524,02148
T,06695,32523,02152
T,06700,32523,02156
T,06705,32522,02160
T,06710,32521,02164
T,06715,32521,02168
T,06720,32520,02172
T,06725,32519,02176
T,06730,32519,02180
T,06735,32518,02184
T,06740,32517,02188
T,06745,32517,02192
T,06750,32516,02196
T,06755,32515,02200
T,06760,32515,02204
T,06765,32514,02208
T,06770,32513,02212
T,06775,32513,02216
T,06780,32512,02220
T,06785,32511,02224
