Axis,Voltage,Count,Time
T,08000,32768,00000
T,08000,32768,00004
T,08000,32768,00008
T,08000,32768,00012
T,08000,32768,00016
T,08000,32768,00020
T,08000,32767,00024
T,08000,32767,00028
T,08000,32767,00032
T,08000,32767,00036
T,08000,32767,00040
T,08000,32767,00044
T,08000,32766,00048
T,08000,32766,00052
T,08000,32766,00056
T,08000,32766,00060
T,08000,32766,00064
T,08000,32766,00068
T,08000,32766,00072
T,08000,32766,00076
T,08000,32766,00080
T,08000,32766,00084
T,08000,32766,00088
T,08000,32766,00092
T,08000,32766,00096
T,08000,32766,00100
T,08000,32766,00104
T,08000,32766,00108
T,08000,32766,00112
T,08000,32765,00116
T,08000,32765,00120
T,08000,32765,00124
T,08000,32765,00128
T,08000,32765,00132
T,08000,32765,00136
T,08000,32765,00140
T,08000,32765,00144
T,08000,32765,00148
T,08000,32764,00152
T,08000,32764,00156
T,08000,32764,00160
T,08000,32764,00164
T,08000,32764,00168
T,08000,32764,00172
T,08000,32764,00176
T,08000,32763,00180
T,08000,32763,00184
T,08000,32763,00188
T,08000,32763,00192
T,08000,32763,00196
T,08000,32763,00200
T,08000,32762,00204
T,08000,32762,00208
T,08000,32762,00212
T,08000,32762,00216
T,08000,32762,00220
T,08000,32762,00224
T,08000,32761,00228
T,08000,32761,00232
T,08000,32761,00236
T,08000,32761,00240
T,08000,32761,00244
T,08000,32760,00248
T,08000,32760,00252
T,08000,32760,00256
T,08000,32760,00260
T,08000,32760,00264
T,08000,32759,00268
T,08000,32759,00272
T,08000,32759,00276
T,08000,32759,00280
T,08000,32758,00284
T,08000,32758,00288
T,08000,32758,00292
T,08000,32758,00296
T,08000,32758,00300
T,08000,32757,00304
T,08000,32757,00308
T,08000,32757,00312
T,08000,32757,00316
T,08000,32756,00320
T,08000,32756,00324
T,08000,32756,00328
T,08000,32756,00332
T,08000,32755,00336
T,08000,32755,00340
T,08000,32755,00344
T,08000,32755,00348
T,08000,32754,00352
T,08000,32754,00356
T,08000,32754,00360
T,08000,32754,00364
T,08000,32753,00368
T,08000,32753,00372
T,08000,32753,00376
T,08000,32752,00380
T,08000,32752,00384
T,08000,32752,00388
T,08000,32752,00392
T,08000,32751,00396
T,08000,32751,00400
T,08000,32751,00404
