Axis,Voltage,Count,Time
T,-10.5,30737,07430
T,-10.5,30737,07432
T,-10.5,30736,07434
T,-10.5,30736,07436
T,-10.5,30735,07438
T,-10.5,30734,07440
T,-10.5,30734,07442
T,-10.5,30733,07444
T,-10.5,30733,07446
T,-10.5,30732,07448
T,-10.5,30732,07450
T,-10.5,30731,07452
T,-10.5,30731,07454
T,-10.5,30730,07456
T,-10.5,30730,07458
T,-10.5,30729,07460
T,-10.5,30729,07462
T,-10.5,30728,07464
T,-10.5,30727,07466
T,-10.5,30727,07468
T,-10.5,30726,07470
T,-10.5,30726,07472
T,-10.5,30725,07474
T,-10.5,30725,07476
T,-10.5,30724,07478
T,-10.5,30724,07480
T,-10.5,30723,07482
T,-10.5,30723,07484
T,-10.5,30722,07486
T,-10.5,30721,07488
T,-10.5,30721,07490
T,-10.5,30720,07492
T,-10.5,30720,07494
T,-10.5,30719,07496
T,-10.5,30719,07498
T,-10.5,30718,07500
T,-10.5,30718,07502
T,-10.5,30717,07504
T,-10.5,30717,07506
T,-10.5,30716,07508
T,-10.5,30716,07510
T,-10.5,30715,07512
T,-10.5,30714,07514
T,-10.5,30714,07516
T,-10.5,30713,07518
T,-10.5,30713,07520
T,-10.5,30712,07522
T,-10.5,30712,07524
T,-10.5,30711,07526
T,-10.5,30711,07528
T,-10.5,30710,07530
T,-10.5,30710,07532
T,-10.5,30709,07534
T,-10.5,30709,07536
T,-10.5,30708,07538
T,-10.5,30707,07540
T,-10.5,30707,07542
T,-10.5,30706,07544
T,-10.5,30706,07546
T,-10.5,30705,07548
T,-10.5,30705,07550
T,-10.5,30704,07552
T,-10.5,30704,07554
T,-10.5,30703,07556
T,-10.5,30703,07558
T,-10.5,30702,07560
T,-10.5,30702,07562
T,-10.5,30701,07564
T,-10.5,30700,07566
T,-10.5,30700,07568
T,-10.5,30699,07570
T,-10.5,30699,07572
T,-10.5,30698,07574
T,-10.5,30698,07576
T,-10.5,30697,07578
T,-10.5,30697,07580
T,-10.5,30696,07582
T,-10.5,30696,07584
T,-10.5,30695,07586
T,-10.5,30695,07588
T,-10.5,30694,07590
T,-10.5,30693,07592
T,-10.5,30693,07594
T,-10.5,30692,07596
T,-10.5,30692,07598
T,-10.5,30691,07600
T,-10.5,30691,07602
T,-10.5,30690,07604
T,-10.5,30690,07606
T,-10.5,30689,07608
T,-10.5,30689,07610
T,-10.5,30688,07612
T,-10.5,30688,07614
T,-10.5,30687,07616
