Axis,Voltage,Count,Time
T,00005,32768,00000
T,00010,32768,00004
T,00015,32768,00008
T,00020,32768,00012
T,00025,32768,00016
T,00030,32768,00020
T,00035,32768,00024
T,00040,32768,00028
T,00045,32768,00032
T,00050,32768,00036
T,00055,32768,00040
T,00060,32768,00044
T,00065,32768,00048
T,00070,32768,00052
T,00075,32768,00056
T,00080,32768,00060
T,00085,32768,00064
T,00090,32768,00068
T,00095,32768,00072
T,00100,32768,00076
T,00105,32768,00080
T,00110,32768,00084
T,00115,32768,00088
T,00120,32768,00092
T,00125,32768,00096
T,00130,32768,00100
T,00135,32768,00104
T,00140,32768,00108
T,00145,32768,00112
T,00150,32768,00116
T,00155,32768,00120
T,00160,32768,00124
T,00165,32768,00128
T,00170,32768,00132
T,00175,32768,00136
T,00180,32768,00140
T,00185,32768,00144
T,00190,32768,00148
T,00195,32768,00152
T,00200,32768,00156
T,00205,32768,00160
T,00210,32768,00164
T,00215,32768,00168
T,00220,32768,00172
T,00225,32768,00176
T,00230,32768,00180
T,00235,32768,00184
T,00240,32768,00188
T,00245,32768,00192
T,00250,32768,00196
T,00255,32768,00200
T,00260,32768,00204
T,00265,32768,00208
T,00270,32768,00212
T,00275,32768,00216
T,00280,32768,00220
T,00285,32768,00224
T,00290,32768,00228
T,00295,32768,00232
T,00300,32768,00236
T,00305,32768,00240
T,00310,32768,00244
T,00315,32768,00248
T,00320,32768,00252
T,00325,32768,00256
T,00330,32768,00260
T,00335,32768,00264
T,00340,32768,00268
T,00345,32768,00272
T,00350,32768,00276
T,00355,32768,00280
T,00360,32768,00284
T,00365,32768,00288
T,00370,32768,00292
T,00375,32768,00296
T,00380,32768,00300
T,00385,32768,00304
T,00390,32768,00308
T,00395,32768,00312
T,00400,32768,00316
T,00405,32768,00320
T,00410,32768,00324
T,00415,32768,00328
T,00420,32768,00332
T,00425,32768,00336
T,00430,32768,00340
T,00435,32768,00344
T,00440,32768,00348
T,00445,32768,00352
T,00450,32768,00356
T,00455,32768,00360
T,00460,32768,00364
T,00465,32768,00368
T,00470,32768,00372
T,00475,32768,00376
