panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,-84,0,0,0
30,30,6,-86.799995,0,0,0
30,30,13,0,0,0,0
30,30,19,0,0,0,0
30,30,25,0,0,0,0
30,30,32,0,0,0,0
30,30,38,0,0,0,0
30,30,44,0,0,0,0
30,30,51,0,0,0,0
30,30,57,0,0,0,0
30,30,63,0,0,0,0
30,30,70,0,0,0,0
30,30,76,0,0,0,0
30,30,82,0,0,0,0
30,30,89,0,0,0,0
30,30,95,0,0,0,0
30,30,102,0,0,0,0
30,30,108,0,0,0,0
30,30,115,0,0,0,0
30,30,121,0,0,0,0
30,30,126,0,0,0,0
30,30,133,0,0,0,0
30,30,139,0,0,0,0
30,30,146,0,0,0,0
30,30,152,0,0,0,0
30,30,159,0,0,0,0
30,30,167,0,0,0,0
30,30,173,0,0,0,0
30,30,179,0,0,0,0
30,30,185,0,0,0,0
30,30,191,0,0,0,0
30,30,198,0,0,0,0
30,30,205,0,0,0,0
30,30,212,0,0,0,0
30,30,219,0,0,0,0
30,30,224,0,0,0,0
30,30,230,0,0,0,0
30,30,237,0,0,0,0
30,30,242,0,0,0,0
30,30,248,0,0,0,0
30,30,256,0,0,0,0
30,30,264,0,0,0,0
30,30,270,0,0,0,0
30,30,276,0,0,0,0
30,30,283,0,0,0,0
30,30,290,0,0,0,0
30,30,296,0,0,0,0
30,30,303,0,0,0,0
30,30,310,0,0,0,0
30,30,317,0,0,0,0
30,30,323,0,0,0,0
30,30,329,0,0,0,0
30,30,336,0,0,0,0
30,30,344,0,0,0,0
30,30,351,0,0,0,0
30,30,358,0,0,0,0
30,30,364,0,0,0,0
30,30,371,0,0,0,0
30,30,377,0,0,0,0
30,30,384,0,0,0,0
30,30,391,0,0,0,0
30,30,398,0,0,0,0
30,30,404,0,0,0,0
30,30,410,0,0,0,0
30,30,417,0,0,0,0
30,30,423,0,0,0,0
30,30,428,0,0,0,0
30,30,435,0,0,0,0
30,30,442,0,0,0,0
30,30,451,0,0,0,0
30,30,458,0,0,0,0
30,30,465,0,0,0,0
30,30,472,0,0,0,0
30,30,479,0,0,0,0
30,30,485,0,0,0,0
30,30,491,0,0,0,0
30,30,498,0,0,0,0
30,30,504,0,0,0,0
30,30,510,0,0,0,0
30,30,518,0,0,0,0
30,30,525,0,0,0,0
30,30,531,0,0,0,0
30,30,538,0,0,0,0
30,30,544,0,0,0,0
30,30,550,0,0,0,0
30,30,557,0,0,0,0
30,30,564,0,0,0,0
30,30,570,0,0,0,0
30,30,576,0,0,0,0
30,30,583,0,0,0,0
30,30,589,0,0,0,0
30,30,596,0,0,0,0
30,30,603,0,0,0,0
30,30,608,0,0,0,0
30,30,616,0,0,0,0
30,30,622,0,0,0,0
30,30,629,0,0,0,0
30,30,635,0,0,0,0
30,30,641,0,0,0,0
30,30,648,0,0,0,0
30,30,654,0,0,0,0
30,30,661,0,0,0,0
30,30,667,0,0,0,0
30,30,674,0,0,0,0
30,30,680,0,0,0,0
30,30,687,0,0,0,0
30,30,693,0,0,0,0
30,30,700,0,0,0,0
30,30,706,0,0,0,0
30,30,713,0,0,0,0
30,30,719,0,0,0,0
30,30,725,0,0,0,0
30,30,731,0,0,0,0
30,30,737,0,0,0,0
30,30,743,0,0,0,0
30,30,749,0,0,0,0
30,30,756,0,0,0,0
30,30,763,0,0,0,0
30,30,771,0,0,0,0
30,30,777,0,0,0,0
30,30,784,0,0,0,0
30,30,790,0,0,0,0
30,30,797,0,0,0,0
30,30,803,0,0,0,0
30,30,810,0,0,0,0
30,30,817,0,0,0,0
30,30,823,0,0,0,0
30,30,829,0,0,0,0
30,30,836,0,0,0,0
30,30,842,0,0,0,0
30,30,848,0,0,0,0
30,30,855,0,0,0,0
30,30,861,0,0,0,0
30,30,867,0,0,0,0
30,30,875,0,0,0,0
30,30,880,0,0,0,0
30,30,887,0,0,0,0
30,30,893,0,0,0,0
30,30,900,0,0,0,0
30,30,906,0,0,0,0
30,30,912,0,0,0,0
30,30,918,0,0,0,0
30,30,925,0,0,0,0
30,30,931,0,0,0,0
30,30,939,0,0,0,0
30,30,945,0,0,0,0
30,30,952,0,0,0,0
30,30,958,0,0,0,0
30,30,965,0,0,0,0
30,30,971,0,0,0,0
30,30,977,0,0,0,0
30,30,984,0,0,0,0
30,30,990,0,0,0,0
30,30,996,0,0,0,0
30,30,1002,0,0,0,0
30,30,1008,0,0,0,0
30,30,1014,0,0,0,0
30,30,1021,0,0,0,0
30,30,1028,0,0,0,0
30,30,1035,0,0,0,0
30,30,1041,0,0,0,0
30,30,1048,0,0,0,0
30,30,1054,0,0,0,0
30,30,1061,0,0,0,0
30,30,1067,0,0,0,0
30,30,1074,1.4,9.6,8.5,6.7
30,30,1082,9.8,19.2,6.82,4.62
30,30,1089,19.6,25.6,4.58,3.3399997
30,30,1094,29.4,28.800001,0,2.5399997
30,30,1101,29.4,29.6,0,0
0,0,3111,32.2,29.6,-2.94,0
0,0,3118,32.2,29.6,-2.94,0
0,0,3124,29.4,29.6,0,0
0,0,3131,29.4,29.6,0,0
0,0,3137,29.4,29.6,0,0
0,0,3143,29.4,29.6,0,0
0,0,3150,29.4,29.6,0,0
0,0,3156,29.4,29.6,0,0
0,0,3162,29.4,29.6,0,0
0,0,3169,29.4,29.6,0,0
0,0,3175,29.4,29.6,0,0
0,0,3182,29.4,29.6,0,0
0,0,3188,29.4,29.6,0,0
0,0,3195,29.4,29.6,0,0
0,0,3202,29.4,29.6,0,0
0,0,3208,29.4,29.6,0,0
0,0,3215,29.4,29.6,0,0
0,0,3221,29.4,29.6,0,0
0,0,3227,29.4,29.6,0,0
0,0,3234,29.4,29.6,0,0
0,0,3241,29.4,29.6,0,0
0,0,3247,29.4,29.6,0,0
0,0,3253,29.4,29.6,0,0
0,0,3259,29.4,29.6,0,0
0,0,3266,29.4,29.6,0,0
0,0,3271,29.4,29.6,0,0
0,0,3278,29.4,29.6,0,0
0,0,3284,29.4,29.6,0,0
0,0,3290,29.4,29.6,0,0
0,0,3296,29.4,29.6,-8.38,-8.22
0,0,3304,23.8,21.6,-7.2599998,-6.62
0,0,3311,22.4,20,-6.98,-6.62
0,0,3319,22.4,20,-6.98,-6.3
0,0,3326,22.4,19.2,-6.98,-6.1400003
0,0,3334,21,17.6,-6.7000003,-5.82
0,0,3340,21,17.6,-6.7000003,-5.82
0,0,3348,21,16.800001,-6.7000003,-5.6600003
0,0,3355,19.6,15.2,-6.42,-5.34
0,0,3363,19.6,14.400001,-6.42,-5.1800003
0,0,3370,18.199999,13.6,-6.42,-5.1800003
0,0,3378,18.199999,13.6,-6.14,-5.02
0,0,3386,18.199999,12.8,-6.14,-4.86
0,0,3393,16.8,12,-5.8599997,-4.7
0,0,3401,15.4,12,-5.8599997,-4.7
0,0,3408,15.4,10.400001,-5.58,-4.38
0,0,3415,15.4,9.6,-5.58,-4.2200003
0,0,3423,14,8.8,-5.3,-4.06
0,0,3430,12.599999,8,-5.3,-4.06
0,0,3438,12.599999,8,-5.02,-3.9
0,0,3445,12.599999,8,-5.02,-3.9
0,0,3452,11.2,7.2000003,-4.74,-3.74
0,0,3459,11.2,7.2000003,-4.74,-3.74
0,0,3467,11.2,7.2000003,-4.74,-3.74
0,0,3478,11.2,7.2000003,-4.74,-3.74
0,0,3486,7,4,-3.9,-3.1
0,0,3493,5.6,3.2,-3.62,-2.94
0,0,3501,5.6,3.2,-3.62,-2.94
0,0,3509,5.6,2.4,-3.62,-2.78
0,0,3516,5.6,2.4,-3.62,-2.78
0,0,3523,4.2,1.6,-3.34,-2.62
0,0,3530,2.8,0.8,-3.34,-2.62
0,0,3541,2.8,0,-3.06,-2.46
0,0,3548,2.8,0,-3.06,0
0,0,3555,1.4,-0.8,-2.78,2.46
90,90,5566,-1.4,0,2.78,0
90,90,5573,0,0,0,0
90,90,5579,0,0,0,0
90,90,5586,0,0,0,0
90,90,5592,0,0,0,0
90,90,5598,0,0,0,0
90,90,5605,0,0,0,0
90,90,5611,0,0,0,0
90,90,5617,0,0,0,0
90,90,5624,0,0,0,0
90,90,5630,0,0,0,0
90,90,5636,0,0,0,0
90,90,5643,0,0,0,0
90,90,5649,0,0,0,0
90,90,5655,0,0,0,0
90,90,5662,0,0,0,0
90,90,5668,0,0,0,0
90,90,5675,0,0,0,0
90,90,5682,0,0,0,0
90,90,5688,0,0,0,0
90,90,5695,0,0,0,0
90,90,5701,0,0,0,0
90,90,5708,0,0,0,0
90,90,5716,0,3.2,12,12
90,90,5722,0,4,12,12
90,90,5730,0,4.8,12,12
90,90,5738,0,6.4,12,12
90,90,5747,0,8.8,12,12
90,90,5754,0,8.8,12,12
90,90,5763,1.4,10.400001,12,12
90,90,5770,2.8,12.8,12,12
90,90,5777,4.2,14.400001,12,12
90,90,5783,4.2,14.400001,12,12
90,90,5791,4.2,16.800001,12,12
90,90,5798,5.6,19.2,12,12
90,90,5806,7,21.6,12,12
90,90,5813,7,21.6,12,12
90,90,5821,8.4,24,12,12
90,90,5827,9.8,26.4,12,12
90,90,5835,11.2,26.4,12,12
90,90,5843,11.2,28,12,12
90,90,5850,12.599999,30.4,12,12
90,90,5857,14,32.8,12,12
90,90,5865,15.4,32.8,12,12
90,90,5872,15.4,35.2,12,12
90,90,5879,18.199999,37.600002,12,12
90,90,5887,19.6,40,12,12
90,90,5895,19.6,40,12,12
90,90,5902,21,42.4,12,11.82
90,90,5910,22.4,44.8,12,11.34
90,90,5917,25.199999,47.2,12,10.860001
90,90,5925,26.6,49.600002,12,10.860001
90,90,5932,26.6,49.600002,12,10.38
90,90,5940,29.4,52,12,9.9
90,90,5948,30.8,53.600002,12,9.58
90,90,5956,33.6,56,12,9.58
90,90,5963,33.6,56,12,9.1
90,90,5971,35,58.4,12,8.62
90,90,5978,37.8,60,12,8.3
90,90,5986,39.2,61.600002,12,8.3
90,90,5993,39.2,61.600002,12,7.9799995
90,90,5999,42,64,12,7.5
