panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,6,0,0,0,0
30,30,13,0,0,0,0
30,30,19,0,0,0,0
30,30,25,0,0,0,0
30,30,32,0,0,0,0
30,30,38,0,0,0,0
30,30,44,0,0,0,0
30,30,51,0,0,0,0
30,30,57,0,0,0,0
30,30,64,0,0,0,0
30,30,70,0,0,0,0
30,30,76,0,0,0,0
30,30,83,0,0,0,0
30,30,89,0,0,0,0
30,30,95,0,0,0,0
30,30,102,0,0,0,0
30,30,108,0,0,0,0
30,30,114,0,0,0,0
30,30,120,0,0,0,0
30,30,126,0,0,0,0
30,30,134,0,0,0,0
30,30,140,0,0,0,0
30,30,146,0,0,0,0
30,30,152,0,0,0,0
30,30,157,0,0,0,0
30,30,163,0,0,0,0
30,30,170,0,0,0,0
30,30,176,0,0,0,0
30,30,182,0,0,0,0
30,30,189,0,0,0,0
30,30,195,0,0,0,0
30,30,201,0,0,0,0
30,30,207,0,0,0,0
30,30,212,0,0,0,0
30,30,218,0,0,0,0
30,30,224,0,0,0,0
30,30,231,0,0,0,0
30,30,237,0,0,0,0
30,30,243,0,0,0,0
30,30,250,0,0,0,0
30,30,257,0,0,0,0
30,30,263,0,0,0,0
30,30,269,0,0,0,0
30,30,276,0,0,0,0
30,30,285,0,0,0,0
30,30,291,0,0,0,0
30,30,298,0,0,0,0
30,30,305,0,0,0,0
30,30,311,0,0,0,0
30,30,316,0,0,0,0
30,30,322,0,0,0,0
30,30,328,0,0,0,0
30,30,334,0,0,0,0
30,30,340,0,0,0,0
30,30,347,0,0,0,0
30,30,354,0,0,0,0
30,30,361,0,0,0,0
30,30,366,0,0,0,0
30,30,373,0,0,0,0
30,30,380,0,0,0,0
30,30,387,0,0,0,0
30,30,393,0,0,0,0
30,30,400,0,0,0,0
30,30,407,0,0,0,0
30,30,413,0,0,0,0
30,30,419,0,0,0,0
30,30,425,0,0,0,0
30,30,433,0,0,0,0
30,30,439,0,0,0,0
30,30,446,0,0,0,0
30,30,452,0,0,0,0
30,30,458,0,0,0,0
30,30,464,0,0,0,0
30,30,470,0,0,0,0
30,30,476,0,0,0,0
30,30,483,0,0,0,0
30,30,489,0,0,0,0
30,30,496,0,0,0,0
30,30,502,0,0,0,0
30,30,509,0,0,0,0
30,30,515,0,0,0,0
30,30,522,0,0,0,0
30,30,529,0,0,0,0
30,30,536,0,0,0,0
30,30,543,0,0,0,0
30,30,549,0,0,0,0
30,30,556,0,0,0,0
30,30,563,0,0,0,0
30,30,569,0,0,0,0
30,30,575,0,0,0,0
30,30,582,0,0,0,0
30,30,589,0,0,0,0
30,30,594,0,0,0,0
30,30,601,0,0,0,0
30,30,608,0,0,0,0
30,30,615,0,0,0,0
30,30,622,0,0,0,0
30,30,628,0,0,0,0
30,30,635,0,0,0,0
30,30,642,0,0,0,0
30,30,649,0,0,0,0
30,30,661,0,0,0,0
30,30,668,0,0,0,0
30,30,673,0,0,0,0
30,30,679,0,0,0,0
30,30,685,0,0,0,0
30,30,692,0,0,0,0
30,30,698,0,0,0,0
30,30,704,0,0,0,0
30,30,710,0,0,0,0
30,30,720,0,0,0,0
30,30,726,0,0,0,0
30,30,737,0,0,0,0
30,30,743,0,0,0,0
30,30,753,0,0,0,0
30,30,759,0,0,0,0
30,30,765,0,0,0,0
30,30,771,0,0,0,0
30,30,777,0,0,0,0
30,30,783,0,0,0,0
30,30,790,0,0,0,0
30,30,796,0,0,0,0
30,30,803,0,0,0,0
30,30,810,0,0,0,0
30,30,816,0,0,0,0
30,30,822,0,0,0,0
30,30,828,0,0,0,0
30,30,835,0,0,0,0
30,30,841,0,0,0,0
30,30,848,0,0,0,0
30,30,854,0,0,0,0
30,30,862,0,0,0,0
30,30,868,0,0,0,0
30,30,875,0,0,0,0
30,30,881,0,0,0,0
30,30,887,0,0,0,0
30,30,893,0,0,0,0
30,30,900,0,0,0,0
30,30,906,0,0,0,0
30,30,913,0,0,0,0
30,30,920,0,0,0,0
30,30,926,0,0,0,0
30,30,934,0,0,0,0
30,30,941,0,0,0,0
30,30,947,0,0,0,0
30,30,954,0,0,0,0
30,30,961,0,0,0,0
30,30,967,0,0,0,0
30,30,974,0,0,0,0
30,30,982,0,0,0,0
30,30,989,0,0,0,0
30,30,995,0,0,0,0
30,30,1003,0,0,0,0
30,30,1012,0,0,0,0
30,30,1019,0,0,0,0
30,30,1025,0,0,0,0
30,30,1032,0,0,0,0
30,30,1039,0,0,0,0
30,30,1045,0,0,0,0
30,30,1052,0,0,0,0
30,30,1059,0,0,0,0
30,30,1066,0,0,0,0
30,30,1072,0,0,0,0
30,30,1079,0,0,0,0
30,30,1085,0,0,0,0
30,30,1091,0,0,0,0
30,30,1097,0,0,0,0
30,30,1104,0,0,0,0
30,30,1112,0,0,0,0
30,30,1119,0,0,0,0
30,30,1125,0,0,8.5,8.3
30,30,1131,0,1.6,8.5,-2.62
30,30,1138,5.6,2.4,7.38,-2.78
30,30,1144,16.8,2.4,4.0200005,7.0200005
30,30,1150,25.199999,12.8,2.0600007,5.2600007
30,30,1156,30.8,20,-2.6599998,3.6599987
30,30,1162,30.8,24.800001,-2.6599998,2.5399985
30,30,1169,30.8,28.800001,-2.6599998,2.7
30,30,1175,29.4,29.6,0,0
0,0,3184,29.4,29.6,0,0
0,0,3191,29.4,29.6,0,0
0,0,3197,29.4,29.6,0,0
0,0,3203,29.4,29.6,0,0
0,0,3209,29.4,29.6,0,0
0,0,3216,29.4,29.6,0,0
0,0,3222,29.4,29.6,0,0
0,0,3228,29.4,29.6,0,0
0,0,3235,29.4,29.6,0,0
0,0,3241,29.4,29.6,0,0
0,0,3247,29.4,29.6,0,0
0,0,3254,29.4,29.6,0,0
0,0,3260,29.4,29.6,0,0
0,0,3266,29.4,29.6,0,0
0,0,3273,29.4,29.6,0,0
0,0,3279,29.4,29.6,0,0
