panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,7,0,0,0,0
30,30,13,0,0,0,0
30,30,19,0,0,0,0
30,30,26,0,0,0,0
30,30,32,0,0,0,0
30,30,38,0,0,0,0
30,30,45,0,0,0,0
30,30,51,0,0,0,0
30,30,57,0,0,0,0
30,30,64,0,0,0,0
30,30,70,0,0,0,0
30,30,76,0,0,0,0
30,30,83,0,0,0,0
30,30,89,0,0,0,0
30,30,96,0,0,0,0
30,30,102,0,0,0,0
30,30,108,0,0,0,0
30,30,114,0,0,0,0
30,30,121,0,0,0,0
30,30,128,0,0,0,0
30,30,134,0,0,0,0
30,30,142,0,0,0,0
30,30,148,0,0,0,0
30,30,155,0,0,0,0
30,30,163,0,0,0,0
30,30,169,0,0,0,0
30,30,176,0,0,0,0
30,30,182,0,0,0,0
30,30,189,0,0,0,0
30,30,196,0,0,0,0
30,30,202,0,0,0,0
30,30,209,0,0,0,0
30,30,216,0,0,0,0
30,30,222,0,0,0,0
30,30,229,0,0,0,0
30,30,235,0,0,0,0
30,30,241,0,0,0,0
30,30,248,0,0,0,0
30,30,255,0,0,0,0
30,30,261,0,0,0,0
30,30,267,0,0,0,0
30,30,274,0,0,0,0
30,30,281,0,0,0,0
30,30,288,0,0,0,0
30,30,294,0,0,0,0
30,30,301,0,0,0,0
30,30,309,0,0,0,0
30,30,317,0,0,0,0
30,30,323,0,0,0,0
30,30,330,0,0,0,0
30,30,336,0,0,0,0
30,30,342,0,0,0,0
30,30,347,0,0,0,0
30,30,354,0,0,0,0
30,30,359,0,0,0,0
30,30,366,0,0,0,0
30,30,373,0,0,0,0
30,30,379,0,0,0,0
30,30,386,0,0,0,0
30,30,393,0,0,0,0
30,30,400,0,0,0,0
30,30,407,0,0,0,0
30,30,413,0,0,0,0
30,30,418,0,0,0,0
30,30,424,0,3.2,6,9.94
30,30,430,0,14.400001,6,6.02
30,30,437,4.2,23.2,3.7599983,3
30,30,444,9.8,27.2,4.0400004,3
30,30,451,15.4,30.4,2.5,0
30,30,459,16.8,30.4,2.64,0
30,30,467,18.199999,30.4,2.5,0
30,30,474,18.199999,30.4,2.5,0
30,30,481,18.199999,30.4,2.5,0
30,30,489,19.6,30.4,2.5,0
30,30,496,19.6,30.4,2.5,0
30,30,503,19.6,30.4,2.5,0
30,30,510,19.6,30.4,2.5,0
30,30,517,21,30.4,2.5,0
30,30,524,21,30.4,2.5,0
30,30,531,21,30.4,2.5,0
30,30,539,21,30.4,2.5,0
30,30,547,22.4,30.4,2.5,0
30,30,554,22.4,30.4,2.5,0
