panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,1,0,0,0,0
30,30,7,0,0,0,0
30,30,14,0,0,0,0
30,30,21,0,0,0,0
30,30,28,0,0,0,0
30,30,34,0,0,0,0
30,30,41,0,0,0,0
30,30,47,0,0,0,0
30,30,54,0,0,0,0
30,30,59,0,0,0,0
30,30,66,0,0,0,0
30,30,73,0,0,0,0
30,30,79,0,0,0,0
30,30,85,0,0,0,0
30,30,92,0,0,0,0
30,30,99,0,0,0,0
30,30,106,0,0,0,0
30,30,112,0,0,0,0
30,30,118,0,0,0,0
30,30,125,0,0,0,0
30,30,131,0,0,0,0
30,30,136,0,0,0,0
30,30,142,0,0,0,0
30,30,149,0,0,0,0
30,30,157,0,0,0,0
30,30,163,0,0,0,0
30,30,170,0,0,0,0
30,30,176,0,0,0,0
30,30,183,0,0,0,0
30,30,189,0,0,0,0
30,30,196,0,0,0,0
30,30,203,0,0,0,0
30,30,208,0,0,0,0
30,30,214,0,0,0,0
30,30,221,0,0,0,0
30,30,227,0,0,0,0
30,30,233,0,0,0,0
30,30,240,0,0,0,0
30,30,245,0,0,0,0
30,30,252,0,0,0,0
30,30,260,0,0,0,0
30,30,267,0,0,0,0
30,30,273,0,0,0,0
30,30,279,0,0,0,0
30,30,288,0,0,0,0
30,30,295,0,0,0,0
30,30,301,0,0,0,0
30,30,308,0,0,0,0
30,30,320,0,0,0,0
30,30,326,0,0,0,0
30,30,332,0,0,0,0
30,30,338,0,0,0,0
30,30,345,0,0,0,0
30,30,352,0,0,0,0
30,30,358,0,0,0,0
30,30,365,0,0,0,0
30,30,371,0,0,0,0
30,30,378,0,0,0,0
30,30,385,0,4.8,6,7.8
30,30,391,1.4,16,5.7200003,4.68
30,30,398,7,22.4,4.6,3
30,30,404,12.599999,25.6,3.4800003,3
30,30,413,16.8,28,2.64,3
30,30,421,18.199999,28.800001,2.5,3
30,30,428,18.199999,28.800001,2.5,3
30,30,434,18.199999,28.800001,2.5,3
30,30,442,18.199999,29.6,2.5,0
30,30,449,19.6,29.6,2.5,0
30,30,456,19.6,29.6,2.5,0
30,30,466,19.6,29.6,2.5,0
30,30,474,21,30.4,2.5,0
30,30,482,21,30.4,2.5,0
30,30,489,21,30.4,2.5,0
30,30,497,21,30.4,2.5,0
30,30,504,22.4,30.4,2.5,0
30,30,511,22.4,30.4,2.5,0
30,30,519,23.8,30.4,2.5,0
30,30,526,23.8,30.4,2.5,0
30,30,534,23.8,30.4,2.5,0
30,30,541,23.8,30.4,2.5,0
30,30,548,25.199999,30.4,2.5,0
30,30,555,25.199999,30.4,2.5,0
30,30,564,25.199999,30.4,2.5,0
30,30,571,25.199999,30.4,2.5,0
30,30,578,25.199999,30.4,2.5,0
30,30,586,26.6,30.4,2.5,0
30,30,593,26.6,30.4,2.5,0
30,30,601,26.6,30.4,2.5,0
30,30,608,26.6,30.4,2.5,0
