panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,1,0,0,0,0
30,30,7,0,0,0,0
30,30,14,0,0,0,0
30,30,21,0,0,0,0
30,30,29,0,0,0,0
30,30,36,0,0,0,0
30,30,43,0,0,0,0
30,30,49,0,0,0,0
30,30,57,0,0,0,0
30,30,63,0,0,0,0
30,30,68,0,0,0,0
30,30,75,0,0,0,0
30,30,82,0,0,0,0
30,30,89,0,0,0,0
30,30,96,0,0,0,0
30,30,102,0,0,0,0
30,30,109,0,0,0,0
30,30,117,0,0,0,0
30,30,123,0,0,0,0
30,30,130,0,0,0,0
30,30,136,0,0,0,0
30,30,143,0,0,0,0
30,30,149,0,0,0,0
30,30,155,0,0,0,0
30,30,161,0,0,0,0
30,30,168,0,0,0,0
30,30,174,0,0,0,0
30,30,182,0,0,0,0
30,30,188,0,0,0,0
30,30,195,0,0,0,0
30,30,202,0,0,0,0
30,30,209,0,0,0,0
30,30,215,0,0,0,0
30,30,222,0,0,0,0
30,30,229,0,0,0,0
30,30,236,0,0,0,0
30,30,242,0,0,0,0
30,30,249,0,0,0,0
30,30,255,0,0,0,0
30,30,261,0,0,0,0
30,30,267,0,0,0,0
30,30,273,0,0,0,0
30,30,280,0,0,0,0
30,30,287,0,0,0,0
30,30,294,0,0,0,0
30,30,302,0,0,0,0
30,30,309,0,0,0,0
30,30,316,0,0,0,0
30,30,322,0,0,0,0
30,30,328,0,0,0,0
30,30,334,0,0,0,0
30,30,339,0,0,0,0
30,30,346,0,0,0,0
30,30,352,0,0,0,0
30,30,359,0,0,0,0
30,30,365,0,0,0,0
30,30,371,0,0,0,0
30,30,378,0,0,0,0
30,30,385,0,0,0,0
30,30,393,0,0,0,0
30,30,400,0,0,0,0
30,30,406,0,0,0,0
30,30,414,0,0,0,0
30,30,421,0,0,0,0
30,30,427,0,0,0,0
30,30,435,0,0,0,0
30,30,443,0,0,0,0
30,30,450,0,0,0,0
30,30,456,0,0,0,0
30,30,462,0,0,0,0
30,30,469,0,0,0,0
30,30,477,0,0,0,0
30,30,483,0,0,0,0
30,30,490,0,0,0,0
30,30,496,0,0,0,0
30,30,506,0,4,9,12
30,30,513,4.2,15.2,8.160001,3.0799994
30,30,520,12.599999,19.2,5.2200007,3.4800003
30,30,527,21,22.4,-2.5,2.5
30,30,533,25.199999,24.800001,-2.5,2.5
30,30,539,28,25.6,-2.5,2.5
30,30,547,28,25.6,2.5,2.5
30,30,555,28,25.6,2.5,2.5
30,30,562,28,25.6,2.5,2.5
30,30,570,29.4,26.4,-4,-2.5
30,30,578,29.4,26.4,-4,-2.5
30,30,586,29.4,26.4,0,2.5
30,30,592,29.4,26.4,0,2.5
30,30,600,29.4,26.4,0,2.5
30,30,608,29.4,26.4,0,2.5
30,30,615,29.4,26.4,0,2.5
30,30,623,29.4,26.4,0,2.5
30,30,631,29.4,27.2,0,-2.5
