panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,7,0,0,0,0
30,30,15,0,0,0,0
30,30,21,0,0,0,0
30,30,27,0,0,0,0
30,30,34,0,0,0,0
30,30,41,0,0,0,0
30,30,48,0,0,0,0
30,30,54,0,0,0,0
30,30,61,0,0,0,0
30,30,67,0,0,0,0
30,30,74,0,0,0,0
30,30,80,0,0,0,0
30,30,87,0,0,0,0
30,30,94,0,0,0,0
30,30,100,0,0,0,0
30,30,107,0,0,0,0
30,30,115,0,0,0,0
30,30,120,0,0,0,0
30,30,127,0,0,0,0
30,30,133,0,0,0,0
30,30,140,0,0,0,0
30,30,147,0,0,0,0
30,30,153,0,0,0,0
30,30,160,0,0,0,0
30,30,166,0,0,0,0
30,30,173,0,0,0,0
30,30,180,0,0,0,0
30,30,185,0,0,0,0
30,30,191,0,0,0,0
30,30,197,0,0,0,0
30,30,204,0,0,0,0
30,30,210,0,0,0,0
30,30,217,0,0,0,0
30,30,223,0,0,0,0
30,30,230,0,0,0,0
30,30,237,0,0,0,0
30,30,243,0,0,0,0
30,30,250,0,0,0,0
30,30,256,0,0,0,0
30,30,263,0,0,0,0
30,30,269,0,0,0,0
30,30,275,0,0,0,0
30,30,282,0,0,0,0
30,30,288,0,0,0,0
30,30,294,0,0,0,0
30,30,301,0,0,0,0
30,30,307,0,0,0,0
30,30,313,0,0,0,0
30,30,319,0,0,0,0
30,30,325,0,0,0,0
30,30,332,0,3.2,9,6.4399977
30,30,339,4.2,12,8.160001,3.8000016
30,30,345,14,16.800001,2.5,3
30,30,351,22.4,21.6,-2.5,3
30,30,358,22.4,21.6,-2.5,3
30,30,365,22.4,21.6,2.5,3
30,30,372,22.4,22.4,2.5,3
30,30,380,22.4,22.4,2.5,3
30,30,387,22.4,22.4,2.5,3
30,30,395,22.4,23.2,2.5,3
30,30,405,23.8,23.2,-2.5,3
30,30,413,23.8,24,2.5,3
30,30,419,23.8,24,2.5,3
30,30,426,23.8,24,2.5,3
30,30,433,23.8,24.800001,2.5,-3
30,30,441,25.199999,24.800001,-2.5,3
30,30,448,25.199999,24.800001,-2.5,3
30,30,455,25.199999,24.800001,2.5,3
30,30,462,25.199999,24.800001,2.5,3
30,30,470,25.199999,25.6,2.5,3
30,30,478,26.6,25.6,2.5,-3
30,30,485,26.6,25.6,-2.5,3
30,30,492,26.6,26.4,2.5,-3
30,30,499,26.6,26.4,2.5,3
30,30,506,26.6,26.4,2.5,3
30,30,514,28,26.4,-2.5,3
30,30,521,28,26.4,2.5,3
30,30,528,28,26.4,2.5,3
