panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-53.76881,-8,50,-57.399998,-8,0,0
-53.686512,-8,87,-57.399998,-8,4.0893564,0
-50.80423,-8,122,-54.6,-8,0,0
-50.886513,-8,153,-54.6,-8,4.1387305,0
-49.568813,-8,196,-53.2,-8,3.6940465,0
-49.815796,-8,222,-53.2,-8,4.0893564,0
-48.662907,-8,256,-51.8,-8,3.595261,0
-47.839935,-8,286,-50.399998,-8,2.1211257,0
-48.58258,-8,319,-50.399998,-8,3.7680187,0
-49.082638,-8,385,-49,-8,0,0
-50.15677,-8,416,-49,-8,0,0
-51.23009,-8,453,-49,-8,0,0
-51.972286,-8,490,-49,-8,-3.6690273,0
-55.348873,-8,527,-51.8,-8,1.5722885,0
-55.431187,-8,556,-51.8,-8,-4.064662,0
-58.313484,-8,590,-54.6,-8,2.231186,0
-58.231186,-8,621,-54.6,-8,-4.1140456,0
-59.713486,-8,652,-56,-8,-3.6693559,0
-59.466545,-8,689,-56,-8,-4.1140456,0
-60.784203,-8,719,-57.399998,-8,-2.2199664,0
-60.207428,-8,751,-57.399998,-8,-4.0152617,0
-60.865047,-8,789,-58.8,-8,-3.4222286,0
-59.130547,-8,851,-58.8,-8,-5.6845627,0
-59.456303,-8,886,-60.2,-8,0,0
-56.817486,-8,921,-58.8,-8,0,0
-55.910133,-8,960,-58.8,-8,3.594754,0
-53.60423,-8,991,-57.399998,-8,2.0469577,0
-51.793056,-8,1021,-56,-8,3.7187314,0
-48.582314,-8,1058,-53.2,-8,2.0220857,0
-47.264423,-8,1087,-51.8,-8,2.565304,0
-47.346554,-8,1123,-51.8,-8,4.360673,0
-46.0287,-8,1154,-50.399998,-8,3.9160333,0
-46.275253,-8,1190,-50.399998,-8,4.311389,0
-45.451126,-8,1220,-49,-8,3.817424,0
-44.792564,-8,1253,-47.6,-8,2.2446601,0
-45.456303,-8,1317,-46.2,-8,3.422231,0
-45.46107,-8,1352,-44.8,-8,0,0
-46.865047,-8,1387,-44.8,-8,0,0
-48.101845,-8,1420,-44.8,-8,-3.6195145,0
-50.735577,-8,1455,-46.2,-8,-3.5705533,0
-53.0377,-8,1489,-47.6,-8,-3.9406734,0
-56.57382,-8,1519,-50.399998,-8,-3.7913108,0
-58.21875,-8,1556,-51.8,-8,-4.852146,0
-58.463448,-8,1595,-51.8,-8,-4.9256253,0
-58.21875,-8,1622,-51.8,-8,-4.9990344,0
-59.046894,-8,1654,-53.2,-8,-4.505625,0
-59.70994,-8,1687,-54.6,-8,-4.334069,0
-58.889866,-8,1753,-56,-8,-4.1129827,0
-60.121967,-8,1790,-58.8,-8,0,0
-58.71736,-8,1819,-58.8,-8,-3.3965905,0
-58.712856,-8,1856,-60.2,-8,4.927431,0
-54.839935,-8,1889,-57.399998,-8,-4.706716,0
-55.16881,-8,1919,-58.8,-8,5.588021,0
-51.793056,-8,1963,-56,-8,-2.231186,0
-49.818146,-8,1991,-54.6,-8,3.8420825,0
-48.336098,-8,2025,-53.2,-8,4.0145564,0
-46.85406,-8,2054,-51.8,-8,4.0391703,0
-46.936096,-8,2093,-51.8,-8,4.4837813,0
-45.78231,-8,2123,-50.399998,-8,4.0391703,0
-44.793056,-8,2163,-49,-8,2.565309,0
