panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-55.58682,-8,50,-56,-8,0,0
-55.58682,-8,88,-56,-8,0,0
-55.58682,-8,120,-56,-8,0,0
-55.58682,-8,153,-56,-8,0,0
-55.58682,-8,186,-56,-8,0,0
-55.58682,-8,222,-56,-8,0,0
-55.58682,-8,249,-56,-8,0,0
-55.58682,-8,322,-56,-8,0,0
-55.58682,-8,353,-56,-8,0,0
-55.58682,-8,386,-56,-8,0,0
-55.58682,-8,425,-56,-8,0,0
-55.58682,-8,458,-56,-8,0,0
-55.58682,-8,524,-56,-8,0,0
-55.58682,-8,555,-56,-8,0,0
-55.58682,-8,587,-56,-8,0,0
-55.58682,-8,619,-56,-8,0,0
-55.58682,-8,688,-56,-8,0,0
-55.58682,-8,723,-56,-8,0,0
-55.58682,-8,753,-56,-8,0,0
-55.58682,-8,786,-56,-8,0,0
-55.58682,-8,821,-56,-8,0,0
-55.58682,-8,853,-56,-8,0,0
-55.58682,-8,891,-56,-8,0,0
-55.58682,-8,919,-56,-8,0,0
-55.58682,-8,951,-56,-8,0,0
-55.58682,-8,985,-56,-8,0,0
-55.58682,-8,1022,-56,-8,0,0
-55.58682,-8,1053,-56,-8,0,0
-55.58682,-8,1120,-56,-8,0,0
-55.58682,-8,1154,-56,-8,0,0
-55.58682,-8,1188,-56,-8,0,0
-55.58682,-8,1224,-56,-8,0,0
-55.58682,-8,1255,-56,-8,0,0
-55.58682,-8,1288,-56,-8,0,0
-55.58682,-8,1319,-56,-8,0,0
-55.58682,-8,1351,-56,-8,0,0
-55.58682,-8,1386,-56,-8,0,0
-55.58682,-8,1422,-56,-8,0,0
-55.58682,-8,1452,-56,-8,0,0
-55.58682,-8,1519,-56,-8,0,0
-55.504185,-8,1555,-56,-8,0,0
-55.2563,-8,1587,-56,-8,0,0
-54.760628,-8,1622,-56,-8,0,0
-54.18258,-8,1656,-56,-8,0,0
-53.522415,-8,1686,-56,-8,-0.49567413,0
-52.862907,-8,1720,-56,-8,4.4663405,0
-50.80423,-8,1752,-54.6,-8,0,0
-50.146553,-8,1786,-54.6,-8,3.1948364,0
-48.17205,-8,1825,-53.2,-8,3.4583085,0
-47.516716,-8,1856,-53.2,-8,3.7213793,0
-47.02618,-8,1893,-53.2,-8,3.7213793,0
-45.299656,-8,1923,-51.8,-8,4.213313,0
-43.81809,-8,1954,-50.399998,-8,2.4495254,0
-42.74451,-8,2020,-49,-8,3.9801378,0
-41.834896,-8,2052,-47.6,-8,3.420137,0
-41.090057,-8,2084,-46.2,-8,3.882196,0
-40.51087,-8,2119,-44.8,-8,3.6860414,0
-39.933453,-8,2156,-43.399998,-8,3.4239762,0
-39.439938,-8,2187,-42,-8,0,0
-40.347706,-8,2225,-42,-8,3.326619,0
-39.8563,-8,2257,-40.6,-8,0,0
-40.682636,-8,2289,-40.6,-8,0.90776825,0
-41.178444,-8,2320,-40.6,-8,0,0
