TestN,panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
0,-90,-90,1,83.412,88.8,0,0
0,-90,-90,7,83.412,88.8,0,0
0,-90,-90,14,83.412,88.8,0,0
0,-90,-90,20,83.412,88.8,0,0
0,-90,-90,27,83.412,88.8,0,0
0,-90,-90,34,83.412,88.8,0,0
0,-90,-90,40,83.412,88.8,0,0
0,-90,-90,45,83.412,88.8,0,0
0,-90,-90,52,83.412,88.8,0,0
0,-90,-90,58,83.412,88.8,0,0
0,-90,-90,65,83.412,88.8,0,0
0,-90,-90,72,83.412,88.8,0,0
0,-90,-90,78,83.412,88.8,0,0
0,-90,-90,84,83.412,88.8,0,0
0,-90,-90,91,83.412,88.8,0,0
0,-90,-90,98,83.412,88.8,0,0
0,-90,-90,104,83.412,88.8,0,0
0,-90,-90,111,83.412,88.8,0,0
0,-90,-90,116,83.412,88.8,0,0
0,-90,-90,123,83.412,88.8,0,0
0,-90,-90,129,83.412,88.8,0,0
0,-90,-90,137,83.412,88.8,0,0
0,-90,-90,143,83.412,88.8,0,0
0,-90,-90,149,83.412,88.8,0,0
0,-90,-90,155,83.412,88.8,0,0
0,-90,-90,161,83.412,88.8,0,0
0,-90,-90,167,83.412,88.8,0,0
0,-90,-90,173,83.412,88.8,0,0
0,-90,-90,180,83.412,88.8,0,0
0,-90,-90,186,83.412,88.8,0,0
0,-90,-90,192,83.412,88.8,0,0
0,-90,-90,198,83.412,88.8,0,0
0,-90,-90,204,83.412,88.8,0,0
0,-90,-90,211,83.412,88.8,0,0
0,-90,-90,219,83.412,88.8,0,0
0,-90,-90,225,83.412,88.8,0,0
0,-90,-90,231,83.412,88.8,0,0
0,-90,-90,237,83.412,88.8,0,0
0,-90,-90,244,83.412,88.8,0,0
0,-90,-90,249,83.412,88.8,0,0
0,-90,-90,256,83.412,88.8,0,0
0,-90,-90,262,83.412,88.8,0,0
0,-90,-90,269,83.412,88.8,0,0
0,-90,-90,275,83.412,88.8,0,0
0,-90,-90,282,83.412,88.8,0,0
0,-90,-90,289,83.412,88.8,0,0
0,-90,-90,295,83.412,88.8,0,0
0,-90,-90,303,83.412,88.8,0,0
0,-90,-90,311,83.412,88.8,0,0
0,-90,-90,318,83.412,88.8,0,0
0,-90,-90,325,83.412,88.8,0,0
0,-90,-90,331,83.412,88.8,0,0
0,-90,-90,337,83.412,88.8,0,0
0,-90,-90,344,83.412,88.8,0,0
0,-90,-90,351,83.412,88.8,0,0
0,-90,-90,358,83.412,88.8,0,0
0,-90,-90,365,83.412,88.8,0,0
0,-90,-90,371,83.412,88.8,0,0
0,-90,-90,377,83.412,88.8,0,0
0,-90,-90,387,83.412,88.8,0,0
0,-90,-90,394,83.412,88.8,0,0
0,-90,-90,400,83.412,88.8,0,0
0,-90,-90,408,83.412,88.8,0,0
0,-90,-90,414,83.412,88.8,0,0
0,-90,-90,420,83.412,88.8,0,0
0,-90,-90,427,83.412,88.8,0,0
0,-90,-90,436,83.412,88.8,0,0
0,-90,-90,444,83.412,88.8,0,0
0,-90,-90,455,83.412,88.8,0,0
0,-90,-90,461,83.412,88.8,0,0
0,-90,-90,469,83.412,88.8,0,0
0,-90,-90,475,83.412,88.8,0,0
0,-90,-90,481,83.412,88.8,0,0
0,-90,-90,487,83.412,88.8,0,0
0,-90,-90,494,83.412,88.8,0,0
0,-90,-90,501,83.412,88.8,0,0
0,-90,-90,508,83.412,88.8,0,0
0,-90,-90,514,83.412,88.8,0,0
0,-90,-90,520,83.412,88.8,0,0
0,-90,-90,526,83.412,88.8,0,0
0,-90,-90,532,83.412,88.8,0,0
0,-90,-90,538,83.412,88.8,0,0
0,-90,-90,545,83.412,88.8,0,0
0,-90,-90,552,83.412,88.8,0,0
0,-90,-90,559,83.412,88.8,0,0
0,-90,-90,565,83.412,88.8,0,0
0,-90,-90,572,83.412,88.8,0,0
0,-90,-90,579,83.412,88.8,0,0
0,-90,-90,586,83.412,88.8,0,0
0,-90,-90,594,78.116,84,-12,-12
0,-90,-90,600,71.496,64.8,-12,-12
0,-90,-90,607,59.58,41.600002,-12,-12
0,-90,-90,613,42.368,20.800001,-12,-12
0,-90,-90,620,19.86,-0.8,-12,-12
0,-90,-90,626,-5.296,-14.400001,-12,-12
0,-90,-90,632,-21.184,-38.4,1.0011196,-12
0,-90,-90,641,-26.48,-43.2,-9.114235,-12
0,-90,-90,648,-26.48,-43.2,-8.637603,-12
0,-90,-90,657,-27.804,-45.600002,-11.047277,-12
0,-90,-90,664,-30.452,-48.8,-7.9226427,-12
0,-90,-90,672,-34.424,-51.2,-4.55968,-12
0,-90,-90,680,-37.072,-51.2,-4.55968,-12
0,-90,-90,687,-37.072,-54.4,-6.731043,-12
0,-90,-90,696,-39.72,-56.8,-6.2543945,-12
0,-90,-90,703,-42.368,-59.2,-5.7777624,-12
0,-90,-90,710,-43.692,-59.2,-5.7777624,-12
0,-90,-90,718,-43.692,-62.4,-8.187437,-11.959999
0,-90,-90,725,-46.34,-64.8,-5.062803,-11.119999
0,-90,-90,734,-48.988,-67.200005,-4.586163,-10.279998
0,-90,-90,742,-51.636,-70.4,-4.1095147,-9.159999
0,-90,-90,749,-51.636,-70.4,-4.1095147,-9.159999
0,-90,-90,757,-52.96,-72.8,-6.5192056,-8.319999
0,-90,-90,765,-55.608,-75.200005,-3.3945546,-7.4799986
0,-90,-90,775,-58.256,-77.6,-2.9179225,-6.6400003
0,-90,-90,783,-59.58,-79.200005,-5.327597,-6.079998
0,-90,-90,789,-59.58,-79.200005,-5.327597,-6.079998
0,-90,-90,796,-62.228,-81.6,-2.2029624,-5.2400007
0,-90,-90,803,-63.552002,-83.200005,-4.612637,-4.6799984
0,-90,-90,811,-66.2,-84.8,-4.612637,-4.6799984
0,-90,-90,818,-66.2,-84.8,-1.4880109,-4.119999
0,-90,-90,826,-67.524,-86.4,-3.8976693,-3.5599995
0,-90,-90,833,-68.848,-88,-3.6593652,-3
0,-90,-90,840,-71.496,-88.8,-3.6593652,-3
0,-90,-90,850,-72.82,-88.8,-0.53471446,-2.7199988
0,-90,-90,857,-72.82,-89.6,-2.944405,0
0,-90,-90,865,-74.144,-90.4,-2.7060857,0
0,-90,-90,872,-75.468,-91.200005,-2.4677494,0
0,-90,-90,880,-76.792,-91.200005,-2.4677494,2.7200015
0,-90,-90,887,-76.792,-91.200005,-2.2294452,2.7200015
0,-90,-90,895,-78.116,-92,-1.9911256,3
0,-90,-90,902,-79.44,-92,-1.7527894,3
0,-90,-90,910,-80.764,-92,-1.7527894,3
0,-90,-90,918,-80.764,-92,-1.5144851,3
0,-90,-90,925,-82.088,-92,-1.2761655,3
0,-90,-90,932,-83.412,-92,-1.0378293,3
0,-90,-90,939,-84.736,-92,-1.0378293,3
0,-90,-90,945,-84.736,-91.200005,-0.799525,2.7200015
