TestN,panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
0,0,0,1,0,0,0,0
0,0,0,8,0,0,0,0
0,0,0,14,0,0,0,0
0,0,0,21,0,0,0,0
0,0,0,27,0,0,0,0
0,0,0,34,0,0,0,0
0,0,0,39,0,0,0,0
0,0,0,45,0,0,0,0
0,0,0,52,0,0,0,0
0,0,0,59,0,0,0,0
0,0,0,66,0,0,0,0
0,0,0,73,0,0,0,0
0,0,0,79,0,0,0,0
0,0,0,85,0,0,0,0
0,0,0,91,0,0,0,0
0,0,0,97,0,0,0,0
0,0,0,104,0,0,0,0
0,0,0,111,0,0,0,0
0,0,0,117,0,0,0,0
0,0,0,124,0,0,0,0
0,0,0,131,0,0,0,0
0,0,0,138,0,0,0,0
0,0,0,143,0,0,0,0
0,0,0,149,0,0,0,0
0,0,0,156,0,0,0,0
0,0,0,162,0,0,0,0
0,0,0,168,0,0,0,0
0,0,0,175,0,0,0,0
0,0,0,181,0,0,0,0
0,0,0,189,0,0,0,0
0,0,0,196,0,0,0,0
0,0,0,203,0,0,0,0
0,0,0,209,0,0,0,0
0,0,0,214,0,0,0,0
0,0,0,221,0,0,0,0
0,0,0,228,0,0,0,0
0,0,0,234,0,0,0,0
0,0,0,243,0,0,0,0
0,0,0,258,0,0,0,0
0,0,0,264,0,0,0,0
0,0,0,271,0,0,0,0
0,0,0,278,0,0,0,0
0,0,0,283,0,0,0,0
0,0,0,289,0,0,0,0
0,0,0,295,0,0,0,0
0,0,0,302,0,0,0,0
0,0,0,308,0,0,0,0
0,0,0,314,0,0,0,0
0,0,0,321,0,0,0,0
0,0,0,327,0,0,0,0
0,0,0,334,0,0,0,0
0,0,0,340,0,0,0,0
0,0,0,346,0,0,0,0
0,0,0,352,0,0,0,0
0,0,0,358,0,0,0,0
0,0,0,364,0,0,12,12
0,0,0,371,0,9.6,0,-5.66
0,0,0,377,1.324,4,-2.79128,-3.98
0,0,0,383,0,0,-2.79128,0
0,0,0,391,0,0,0,0
0,0,0,401,0,0,0,0
0,0,0,408,0,0,0,0
0,0,0,416,0,0,0,0
0,0,0,423,0,0,0,0
0,0,0,430,0,0,0,0
0,0,0,437,0,0,0,0
0,0,0,444,0,0,0,0
0,0,0,451,0,0,0,0
0,0,0,463,0,0,0,0
0,0,0,472,0,0,0,0
0,0,0,478,0,0,0,0
0,0,0,486,0,0,0,0
0,0,0,492,0,0,0,0
0,0,0,500,0,0,0,0
0,0,0,507,0,0,0,0
0,0,0,513,0,0,0,0
0,0,0,521,0,0,0,0
0,0,0,529,0,0,0,0
0,0,0,535,0,0,0,0
0,0,0,543,0,0,0,0
0,0,0,550,0,0,0,0
0,0,0,557,0,0,0,0
0,0,0,565,0,0,0,0
0,0,0,571,0,0,0,0
0,0,0,579,0,0,0,0
0,0,0,587,0,0,0,0
0,0,0,594,0,0,0,0
0,0,0,603,0,0,0,0
0,0,0,610,0,0,0,0
0,0,0,618,0,0,0,0
0,0,0,625,0,0,0,0
0,0,0,632,0,0,0,0
0,0,0,640,0,0,0,0
0,0,0,647,0,0,0,0
0,0,0,655,0,0,0,0
0,0,0,661,0,0,0,0
0,0,0,669,0,0,0,0
0,0,0,677,0,0,0,0
0,0,0,684,0,0,0,0
0,0,0,692,0,0,0,0
0,0,0,700,0,0,0,0
0,0,0,707,0,0,0,0
0,0,0,714,0,0,0,0
0,90,90,1223,0,0,0,0
0,90,90,1230,0,0,0,0
0,90,90,1237,0,0,0,0
0,90,90,1245,0,0,0,0
0,90,90,1256,0,0,0,0
0,90,90,1263,0,0,0,0
0,90,90,1271,0,0,0,0
0,90,90,1281,0,0,0,0
0,90,90,1289,0,0,0,0
0,90,90,1296,0,0,0,0
0,90,90,1304,0,0,0,0
0,90,90,1312,0,0,0,0
0,90,90,1318,0,0,0,0
0,90,90,1325,0,0,0,0
0,90,90,1333,0,0,0,0
0,90,90,1341,0,0,12,0
0,90,90,1350,0,0,12,12
0,90,90,1357,1.324,0,12,12
0,90,90,1365,1.324,0,12,12
0,90,90,1372,2.648,0.8,12,12
0,90,90,1380,3.9720001,1.6,12,12
0,90,90,1389,5.296,3.2,12,12
0,90,90,1396,5.296,3.2,12,12
0,90,90,1403,5.296,4,12,12
0,90,90,1411,5.296,5.6,12,12
0,90,90,1419,5.296,7.2000003,12,12
0,90,90,1426,5.296,8.8,12,12
0,90,90,1435,5.296,8.8,12,12
0,90,90,1445,6.62,11.2,12,12
0,90,90,1452,7.9440002,13.6,12,12
0,90,90,1460,7.9440002,16,12,12
0,90,90,1468,9.268,17.6,12,12
0,90,90,1476,10.592,17.6,12,12
0,90,90,1483,10.592,20,12,12
0,90,90,1491,11.916,22.4,12,12
0,90,90,1499,13.24,24.800001,12,12
0,90,90,1506,14.564,28,12,12
0,90,90,1513,14.564,28,12,12
0,90,90,1520,15.8880005,30.4,12,12
0,90,90,1528,17.212,32.8,12,12
0,90,90,1536,17.212,32.8,12,12
0,90,90,1544,18.536,35.2,12,12
0,90,90,1555,19.86,37.600002,12,12
0,90,90,1562,21.184,40,12,12
0,90,90,1569,22.508,42.4,12,12
0,90,90,1576,25.156,42.4,12,12
0,90,90,1584,25.156,44.8,12,12
0,90,90,1591,26.48,47.2,12,12
0,90,90,1599,27.804,49.600002,12,12
0,90,90,1606,29.128,52.8,12,12
0,90,90,1613,29.128,52.8,12,12
0,90,90,1620,31.776001,55.2,11.3372755,12
0,90,90,1627,33.1,57.600002,12,12
0,90,90,1635,33.1,57.600002,12,12
0,90,90,1642,35.748,60,10.463436,12
0,90,90,1650,37.072,62.4,12,11.959999
0,90,90,1658,38.396,64.8,11.866878,11.119999
0,90,90,1665,41.044,64.8,11.866878,11.119999
0,90,90,1672,41.044,67.200005,9.298322,10.279998
