TestN,panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
0,0,0,1,15.8880005,81.6,0,0
0,0,0,9,15.8880005,81.6,0,0
0,0,0,17,15.8880005,81.6,0,0
0,0,0,23,15.8880005,81.6,0,0
0,0,0,30,15.8880005,81.6,0,0
0,0,0,38,15.8880005,81.6,0,0
0,0,0,46,15.8880005,81.6,0,0
0,0,0,52,15.8880005,81.6,0,0
0,0,0,61,15.8880005,81.6,0,0
0,0,0,67,15.8880005,81.6,0,0
0,0,0,74,15.8880005,81.6,0,0
0,0,0,80,15.8880005,81.6,0,0
0,0,0,87,15.8880005,81.6,0,0
0,0,0,93,15.8880005,81.6,0,0
0,0,0,99,15.8880005,81.6,0,0
0,0,0,105,15.8880005,81.6,0,0
0,0,0,112,15.8880005,81.6,0,0
0,0,0,118,15.8880005,81.6,0,0
0,0,0,125,15.8880005,81.6,0,0
0,0,0,132,15.8880005,81.6,0,0
0,0,0,139,15.8880005,81.6,0,0
0,0,0,145,15.8880005,81.6,0,0
0,0,0,152,15.8880005,81.6,0,0
0,0,0,158,15.8880005,81.6,0,0
0,0,0,166,15.8880005,81.6,0,0
0,0,0,172,15.8880005,81.6,0,0
0,0,0,179,15.8880005,81.6,0,0
0,0,0,185,15.8880005,81.6,0,0
0,0,0,192,15.8880005,81.6,0,0
0,0,0,199,15.8880005,81.6,0,0
0,0,0,207,15.8880005,81.6,0,0
0,0,0,217,11.916,81.6,0,0
0,0,0,224,9.268,81.6,0,0
0,0,0,230,5.296,81.6,0,0
0,0,0,236,2.648,81.6,0,0
0,0,0,242,-1.324,81.6,0,0
0,0,0,250,0,81.6,0,0
0,0,0,257,0,81.6,0,0
0,0,0,264,0,81.6,0,0
0,0,0,270,0,81.6,0,0
0,0,0,277,0,81.6,0,0
0,0,0,283,0,81.6,0,0
0,0,0,290,0,81.6,0,0
0,0,0,297,0,81.6,0,0
0,0,0,303,0,81.6,0,0
0,0,0,310,0,81.6,0,0
0,0,0,317,0,81.6,0,0
0,0,0,323,0,80.8,0,0
0,0,0,330,0,76.8,0,0
0,0,0,337,0,73.6,0,0
0,0,0,344,0,69.6,0,0
0,0,0,351,0,65.6,0,0
0,0,0,358,0,60.8,0,0
0,0,0,364,0,56,0,0
0,0,0,372,0,52,0,0
0,0,0,380,0,47.2,0,0
0,0,0,386,0,42.4,0,0
0,0,0,392,0,38.4,0,0
0,0,0,398,-1.324,34.4,0,0
0,0,0,405,-2.648,31.2,0,0
0,0,0,412,-3.9720001,28.800001,0,0
0,0,0,419,-3.9720001,26.4,0,0
0,0,0,425,-3.9720001,24,0,0
0,0,0,431,-3.9720001,21.6,0,0
0,0,0,438,-3.9720001,18.4,0,0
0,0,0,445,-3.9720001,15.2,0,0
0,0,0,452,-3.9720001,12,0,0
0,0,0,458,-3.9720001,8.8,0,0
0,0,0,467,-2.648,6.4,0,0
0,0,0,474,-1.324,4,0,0
0,0,0,481,-1.324,2.4,0,0
0,0,0,488,-1.324,1.6,0,0
0,0,0,494,-1.324,0.8,0,0
0,0,0,501,-1.324,0.8,0,0
0,0,0,508,-1.324,0.8,0,0
0,0,0,515,-1.324,0.8,0,0
0,0,0,521,-1.324,0.8,0,0
0,0,0,527,-1.324,0.8,0,0
0,0,0,533,-1.324,0.8,0,0
0,0,0,542,0,0.8,0,0
0,0,0,548,0,0.8,0,0
0,0,0,554,0,1.6,0,0
0,0,0,561,0,1.6,0,0
0,0,0,568,0,1.6,0,0
0,0,0,575,0,1.6,0,0
0,0,0,581,0,1.6,0,0
0,0,0,593,0,1.6,0,0
0,0,0,599,0,1.6,0,0
0,0,0,605,0,1.6,0,0
0,0,0,617,0,1.6,0,0
0,0,0,624,0,1.6,0,0
0,0,0,631,0,1.6,0,0
0,0,0,637,0,1.6,0,0
0,0,0,644,0,1.6,0,0
0,0,0,651,0,1.6,0,0
0,0,0,658,0,1.6,0,0
0,0,0,664,0,1.6,0,0
0,0,0,670,0,1.6,0,0
0,0,0,676,0,1.6,0,0
0,0,0,682,0,1.6,0,0
0,0,0,689,0,1.6,0,0
0,0,0,695,0,1.6,0,0
0,0,0,702,0,1.6,0,0
0,0,0,708,0,1.6,0,0
0,0,0,716,0,1.6,0,0
0,0,0,723,0,1.6,0,0
0,0,0,730,0,1.6,0,0
0,0,0,736,0,1.6,0,0
0,0,0,742,0,1.6,0,0
0,0,0,749,0,1.6,0,0
0,0,0,757,0,1.6,0,0
0,0,0,764,0,1.6,0,0
0,0,0,770,0,1.6,0,0
0,0,0,777,0,1.6,0,0
0,0,0,783,0,1.6,0,0
0,0,0,793,0,1.6,0,0
0,0,0,798,0,1.6,0,0
0,0,0,804,0,1.6,0,0
0,0,0,811,0,1.6,0,0
0,0,0,817,0,1.6,0,0
0,0,0,824,0,1.6,0,0
0,0,0,830,0,1.6,0,0
0,0,0,837,0,1.6,0,0
0,0,0,843,0,1.6,0,0
0,0,0,850,0,1.6,0,0
0,0,0,856,0,1.6,0,0
0,0,0,863,0,1.6,0,0
0,0,0,869,0,1.6,0,0
0,0,0,876,0,1.6,0,0
0,0,0,882,0,1.6,0,0
0,0,0,893,0,1.6,0,0
0,0,0,899,0,1.6,0,0
0,0,0,906,0,1.6,0,0
0,0,0,912,0,1.6,0,0
0,0,0,917,0,1.6,0,0
0,0,0,924,0,1.6,0,0
0,0,0,930,0,1.6,0,0
0,0,0,937,0,1.6,0,0
0,0,0,944,0,1.6,0,0
0,0,0,951,0,1.6,0,0
0,0,0,957,0,0.8,0,-2.86
0,0,0,963,0,0,0,0
0,0,0,973,0,0,0,0
0,0,0,980,0,0,0,0
0,0,0,987,0,0,0,0
0,0,0,992,0,0,0,0
0,0,0,999,0,0,0,0
