panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,7,0,0,0,0
30,30,13,0,0,0,0
30,30,19,0,0,0,0
30,30,25,0,0,0,0
30,30,31,0,0,0,0
30,30,38,0,0,0,0
30,30,44,0,0,0,0
30,30,51,0,0,0,0
30,30,57,0,0,0,0
30,30,66,0,0,0,0
30,30,71,0,0,0,0
30,30,77,0,0,0,0
30,30,84,0,0,0,0
30,30,93,0,0,0,0
30,30,99,0,0,0,0
30,30,106,0,0,0,0
30,30,112,0,0,0,0
30,30,119,0,0,0,0
30,30,127,0,0,0,0
30,30,134,0,0,0,0
30,30,141,0,0,0,0
30,30,148,0,0,0,0
30,30,154,0,0,0,0
30,30,161,0,0,0,0
30,30,166,0,0,0,0
30,30,173,0,0,0,0
30,30,180,0,0,0,0
30,30,187,0,0,0,0
30,30,194,0,0,0,0
30,30,201,0,0,0,0
30,30,208,0,3.2,6.6,9.66
30,30,214,0,15.2,6.6,5.4599996
30,30,221,4.2,22.4,5.6759996,3.2
30,30,229,5.6,23.2,3.2680006,3.2
30,30,236,5.6,23.2,3.2680006,3.2
30,30,243,5.6,23.2,5.368,3.2
30,30,251,5.6,24,5.368,3.2
30,30,258,7,24.800001,2.9600005,3.2
30,30,265,8.4,24.800001,2.9600005,3.2
30,30,272,8.4,24.800001,2.6520004,3.2
30,30,279,8.4,25.6,4.752,3.2
30,30,287,8.4,26.4,4.752,3.2
30,30,294,8.4,26.4,4.752,3.2
30,30,302,9.8,26.4,2.5,3.2
30,30,309,9.8,27.2,4.4440002,3.2
30,30,317,11.2,27.2,4.4440002,3.2
30,30,324,11.2,27.2,2.5,3.2
30,30,332,11.2,28,4.1359997,3.2
30,30,340,12.599999,28,2.5,3.2
30,30,347,12.599999,28.800001,3.8280003,3.2
30,30,354,12.599999,28.800001,3.8280003,3.2
30,30,362,14,28.800001,2.5,3.2
30,30,370,14,29.6,3.52,0
30,30,378,15.4,29.6,2.5,0
30,30,387,15.4,30.4,3.2120001,0
30,30,394,15.4,30.4,3.2120001,0
30,30,401,15.4,30.4,3.2120001,0
30,30,409,16.8,30.4,2.5,0
30,30,417,16.8,30.4,2.5,0
30,30,425,18.199999,30.4,2.904,0
30,30,432,18.199999,30.4,2.5,0
30,30,440,18.199999,30.4,2.5960002,0
30,30,447,19.6,30.4,2.5,0
30,30,454,19.6,30.4,2.5,0
30,30,462,19.6,30.4,2.5,0
30,30,469,19.6,30.4,2.5,0
30,30,477,21,30.4,-2.5,0
30,30,483,21,30.4,-2.5,0
30,30,491,21,30.4,2.5,0
