panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,1,0,0.8,0,0
30,30,7,0,0.8,0,0
30,30,13,0,0.8,0,0
30,30,20,0,0.8,0,0
30,30,26,0,0.8,0,0
30,30,32,0,0.8,0,0
30,30,39,0,0.8,0,0
30,30,45,0,0.8,0,0
30,30,51,0,0.8,0,0
30,30,58,0,0.8,0,0
30,30,64,0,0.8,0,0
30,30,70,0,0.8,0,0
30,30,77,0,0.8,0,0
30,30,83,0,0.8,0,0
30,30,89,0,0.8,0,0
30,30,96,0,0.8,0,0
30,30,102,0,0.8,0,0
30,30,109,0,0.8,0,0
30,30,116,0,0.8,0,0
30,30,123,0,0.8,0,0
30,30,129,0,0,0,0
30,30,135,0,0,0,0
30,30,141,0,0,0,0
30,30,147,0,0,0,0
30,30,154,0,0,0,0
30,30,160,0,0,0,0
30,30,167,0,0,0,0
30,30,174,0,0,0,0
30,30,180,0,0,0,0
30,30,187,0,0,0,0
30,30,193,0,0,0,0
30,30,200,0,0,0,0
30,30,207,0,0,0,0
30,30,212,0,0,0,0
30,30,218,0,0,0,0
30,30,225,0,0,0,0
30,30,231,0,0,0,0
30,30,238,0,0,0,0
30,30,244,0,0,0,0
30,30,251,0,0,0,0
30,30,262,0,0,0,0
30,30,269,0,0,0,0
30,30,276,0,0,0,0
30,30,283,0,0,0,0
30,30,289,0,0,0,0
30,30,296,0,0,0,0
30,30,309,0,0,0,0
30,30,315,0,0,0,0
30,30,322,0,0,0,0
30,30,329,0,0,0,0
30,30,334,0,0,0,0
30,30,341,0,0,0,0
30,30,347,0,0,0,0
30,30,355,0,0,0,0
30,30,362,0,0,0,0
30,30,369,0,0,0,0
30,30,375,0,0,0,0
30,30,381,0,0,0,0
30,30,388,0,0,0,0
30,30,394,0,0,0,0
30,30,400,0,0,0,0
30,30,407,0,0,0,0
30,30,413,0,0,0,0
30,30,419,0,0,0,0
30,30,425,0,0,0,0
30,30,432,0,0,0,0
30,30,437,0,0,0,0
30,30,444,0,0,0,0
30,30,450,0,0,0,0
30,30,457,0,0,0,0
30,30,464,0,0,0,0
30,30,471,0,0,0,0
30,30,477,0,0,0,0
30,30,484,0,0,0,0
30,30,491,0,0,0,0
30,30,496,0,0,0,0
30,30,503,0,0,0,0
30,30,510,0,0,0,0
30,30,517,0,0,0,0
30,30,523,0,0,0,0
30,30,530,0,0,0,0
30,30,537,0,0,0,0
30,30,543,0,0,0,0
30,30,550,0,0,0,0
30,30,558,0,0,0,0
30,30,565,0,0,0,0
30,30,571,0,0,0,0
30,30,577,0,0,0,0
30,30,584,0,0,0,0
30,30,589,0,0,0,0
30,30,595,0,0,0,0
30,30,601,0,0,0,0
30,30,608,0,0,0,0
30,30,615,0,0,0,0
30,30,623,0,0,0,0
30,30,628,0,0,0,0
30,30,635,0,0,0,0
30,30,641,0,0,0,0
30,30,648,0,0,0,0
30,30,654,0,0,0,0
30,30,662,0,0,0,0
30,30,668,0,0,0,0
30,30,675,0,0,0,0
30,30,681,0,0,0,0
30,30,688,0,0,0,0
30,30,694,0,0,0,0
30,30,700,0,0,0,0
30,30,706,0,0,0,0
30,30,712,0,0,0,0
30,30,720,0,0,0,0
30,30,726,0,0,0,0
30,30,732,0,0,0,0
30,30,738,0,0,0,0
30,30,745,0,0,0,0
30,30,751,0,0,0,0
30,30,756,0,0,0,0
30,30,762,0,0,0,0
30,30,770,0,0,0,0
30,30,777,0,0,0,0
30,30,784,0,0,0,0
30,30,791,0,0,0,0
30,30,798,0,0,0,0
30,30,804,0,0,0,0
30,30,811,0,0,0,0
30,30,817,0,0,0,0
30,30,824,0,0,0,0
30,30,830,0,0,0,0
30,30,837,0,0,0,0
30,30,843,0,0,0,0
30,30,851,0,0,0,0
30,30,857,0,0,0,0
30,30,864,0,0,0,0
30,30,873,0,0,0,0
30,30,880,0,0,0,0
30,30,886,0,0,0,0
30,30,893,0,0,0,0
30,30,899,0,0,0,0
30,30,906,0,0,0,0
30,30,912,0,0,0,0
30,30,919,0,0,0,0
30,30,926,0,0,0,0
30,30,932,0,0,0,0
30,30,937,0,0,0,0
30,30,944,0,0,0,0
30,30,951,0,0,0,0
30,30,957,0,0,0,0
30,30,963,0,0,0,0
30,30,969,0,0,0,0
30,30,976,0,0,0,0
30,30,983,0,0,0,0
30,30,989,0,0,0,0
30,30,996,0,0,0,0
30,30,1002,0,0,0,0
30,30,1009,0,0,0,0
30,30,1016,0,0,0,0
30,30,1022,0,0,0,0
30,30,1031,0,0,0,0
30,30,1038,0,0,0,0
30,30,1045,0,0,0,0
30,30,1052,0,0,0,0
30,30,1057,0,0,0,0
30,30,1063,0,0,0,0
30,30,1069,0,0,0,0
30,30,1076,0,0,0,0
30,30,1082,0,0,0,0
30,30,1088,0,0,0,0
30,30,1095,0,0,0,0
30,30,1103,0,0,0,0
30,30,1109,0,0,0,0
30,30,1114,0,0,0,0
30,30,1121,0,0,0,0
30,30,1128,0,0,0,0
30,30,1134,0,0,0,0
30,30,1141,0,0,0,0
30,30,1147,0,0,0,0
30,30,1154,0,0,0,0
30,30,1160,0,0,0,0
30,30,1167,0,0,0,0
30,30,1173,0,0,0,0
30,30,1180,0,0,0,0
30,30,1186,0,0,0,0
30,30,1195,0,0,0,0
30,30,1202,0,0,0,0
30,30,1208,0,0,0,0
30,30,1215,0,0,0,0
30,30,1222,0,0,0,0
30,30,1229,0,0,0,0
30,30,1236,0,0,0,0
30,30,1243,0,0,0,0
30,30,1250,0,0,0,0
30,30,1257,0,0,0,0
30,30,1264,0,0,0,0
30,30,1270,0,0,0,0
30,30,1275,0,0,0,0
30,30,1281,0,0,0,0
30,30,1287,0,0,0,0
30,30,1293,0,0,0,0
30,30,1301,0,0,0,0
30,30,1307,0,0,0,0
30,30,1315,0,0,0,0
30,30,1322,0,0,0,0
30,30,1328,0,0,0,0
30,30,1335,0,0,0,0
30,30,1341,0,0,0,0
30,30,1348,0,0,0,0
30,30,1354,0,0,0,0
30,30,1361,0,5.6,6.6,8.82
30,30,1368,2.8,18.4,3.8840008,4.3399997
30,30,1374,8.4,24.800001,4.752,3.2
30,30,1380,14,28.800001,3.52,3.2
30,30,1388,19.6,30.4,2.5,0
30,30,1393,23.8,30.4,-2.5,0
30,30,1400,28,30.4,-2.5,0
30,30,1406,28,30.4,2.5,0
30,30,1413,29.4,30.4,0,0
0,0,3424,29.4,30.4,0,0
0,0,3432,29.4,30.4,0,0
0,0,3438,29.4,30.4,0,0
0,0,3445,29.4,30.4,0,0
0,0,3451,29.4,30.4,0,0
0,0,3458,29.4,30.4,0,0
0,0,3463,29.4,30.4,0,0
0,0,3470,29.4,30.4,0,0
0,0,3476,29.4,30.4,0,0
0,0,3482,29.4,30.4,0,0
0,0,3489,29.4,30.4,0,0
0,0,3495,29.4,30.4,0,0
0,0,3501,29.4,30.4,0,0
0,0,3508,29.4,30.4,0,0
0,0,3514,29.4,30.4,0,0
0,0,3520,29.4,30.4,0,0
0,0,3527,29.4,30.4,0,0
0,0,3533,29.4,30.4,0,0
0,0,3540,29.4,30.4,0,0
0,0,3547,29.4,30.4,0,0
0,0,3553,29.4,30.4,0,0
0,0,3559,29.4,30.4,0,0
0,0,3565,29.4,30.4,0,0
0,0,3573,29.4,30.4,0,0
0,0,3579,29.4,30.4,0,0
0,0,3586,29.4,30.4,0,0
0,0,3592,29.4,30.4,0,0
0,0,3598,29.4,30.4,0,0
0,0,3604,29.4,29.6,-6.468,-10.639999
0,0,3611,21,19.2,-2.5200005,-7.28
0,0,3619,19.6,11.2,-2.5,-4.2
0,0,3627,19.6,11.2,-4.3120003,-3.9199998
0,0,3634,19.6,10.400001,-4.3120003,-3.64
0,0,3641,19.6,9.6,-4.3120003,-3.3600001
0,0,3648,18.199999,9.6,-4.3120003,-3.3600001
0,0,3656,18.199999,9.6,-2.5,-3.3600001
0,0,3663,18.199999,8.8,-4.0039997,-3.2
0,0,3671,18.199999,8,-4.0039997,-3.2
0,0,3678,18.199999,8,-4.0039997,-3.2
0,0,3685,18.199999,8,-4.0039997,-3.2
0,0,3692,16.8,7.2000003,-2.5,-3.2
0,0,3700,16.8,7.2000003,-3.6959999,-3.2
0,0,3707,16.8,7.2000003,-3.6959999,-3.2
0,0,3714,16.8,7.2000003,-3.6959999,-3.2
0,0,3722,16.8,6.4,-3.6959999,-3.2
0,0,3730,15.4,6.4,-2.5,-3.2
0,0,3737,15.4,6.4,-2.5,-3.2
0,0,3743,15.4,6.4,-3.388,-3.2
0,0,3751,15.4,5.6,-3.388,-3.2
0,0,3759,14,5.6,-3.388,-3.2
0,0,3765,14,5.6,-2.5,-3.2
0,0,3773,14,5.6,-3.08,-3.2
0,0,3782,14,5.6,-3.08,-3.2
0,0,3789,12.599999,4.8,-2.5,-3.2
0,0,3797,12.599999,4.8,-2.5,-3.2
0,0,3805,12.599999,4.8,-2.7719998,-3.2
0,0,3812,12.599999,4.8,-2.7719998,-3.2
0,0,3820,12.599999,4.8,-2.7719998,-3.2
0,0,3827,11.2,4.8,-2.7719998,-3.2
0,0,3835,11.2,4,-2.5,-3.2
0,0,3842,11.2,4,-2.5,-3.2
0,0,3850,11.2,4,-2.5,-3.2
0,0,3857,11.2,4,-2.5,-3.2
0,0,3864,9.8,3.2,-2.5,-3.2
0,0,3872,9.8,3.2,-2.5,-3.2
0,0,3880,9.8,3.2,-2.5,-3.2
0,0,3888,8.4,3.2,-2.5,-3.2
0,0,3895,8.4,3.2,2.5,-3.2
