panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,7,0,0,0,0
30,30,13,0,0,0,0
30,30,20,0,0,0,0
30,30,27,0,0,0,0
30,30,33,0,0,0,0
30,30,40,0,0,0,0
30,30,47,0,0,0,0
30,30,53,0,0,0,0
30,30,60,0,0,0,0
30,30,66,0,0,0,0
30,30,72,0,0,0,0
30,30,77,0,0,0,0
30,30,84,0,0,0,0
30,30,91,0,0,0,0
30,30,98,0,0,0,0
30,30,105,0,0,0,0
30,30,111,0,0,0,0
30,30,118,0,0,0,0
30,30,124,0,0,0,0
30,30,131,0,0,0,0
30,30,138,0,0,0,0
30,30,145,0,0,0,0
30,30,154,0,0,0,0
30,30,163,0,0,0,0
30,30,170,0,0,0,0
30,30,177,0,0,0,0
30,30,183,0,0,0,0
30,30,190,0,0,0,0
30,30,197,0,0,0,0
30,30,203,0,0,0,0
30,30,209,0,0,0,0
30,30,216,0,0,0,0
30,30,222,0,0,0,0
30,30,228,0,0,0,0
30,30,235,0,0,0,0
30,30,241,0,0,0,0
30,30,251,0,0,0,0
30,30,262,0,0,0,0
30,30,272,0,0,0,0
30,30,279,0,0,0,0
30,30,287,0,0,0,0
30,30,294,0,0,0,0
30,30,301,0,0,0,0
30,30,307,0,0,0,0
30,30,314,0,0,0,0
30,30,320,0,0,0,0
30,30,328,0,0,0,0
30,30,333,0,0,0,0
30,30,340,0,0,0,0
30,30,347,0,0,0,0
30,30,358,0,0,0,0
30,30,364,0,0,0,0
30,30,370,0,0,0,0
30,30,377,0,0,0,0
30,30,385,0,0,0,0
30,30,392,0,0,0,0
30,30,398,0,0,0,0
30,30,404,0,0,0,0
30,30,411,0,0,0,0
30,30,417,0,0,0,0
30,30,425,0,0,0,0
30,30,431,0,0,0,0
30,30,437,0,0,0,0
30,30,443,0,0,0,0
30,30,450,0,0,0,0
30,30,457,0,0,0,0
30,30,464,0,0,0,0
30,30,470,0,2.4,9.33,6.839802
30,30,476,0,9.6,9.87,6.4902005
30,30,482,12.599999,16.800001,4.1351967,2.8765974
30,30,489,21,20.800001,4.6668,3.3749998
30,30,495,26.6,24,2.6770005,2.4818
30,30,503,29.4,25.6,1.6752007,0.44500136
30,30,511,29.4,25.6,1.6752007,2.0493999
30,30,518,30.8,25.6,-0.16559756,2.0537999
30,30,526,30.8,25.6,-0.16559756,2.0537999
30,30,534,30.8,25.6,1.4328009,2.0582
30,30,547,30.8,25.6,1.4296007,2.0626
30,30,556,32.2,26.4,-1.7934029,2.067
30,30,563,32.2,26.4,-1.7934029,0.23100173
