panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,6,0,0,0,0
30,30,11,0,0,0,0
30,30,18,0,0,0,0
30,30,24,0,0,0,0
30,30,31,0,0,0,0
30,30,38,0,0,0,0
30,30,44,0,0,0,0
30,30,51,0,0,0,0
30,30,57,0,0,0,0
30,30,64,0,0,0,0
30,30,71,0,0,0,0
30,30,77,0,0,0,0
30,30,84,0,0,0,0
30,30,91,0,0,0,0
30,30,97,0,0,0,0
30,30,103,0,0,0,0
30,30,110,0,0,0,0
30,30,116,0,0,0,0
30,30,123,0,0,0,0
30,30,129,0,0,0,0
30,30,135,0,0,0,0
30,30,141,0,0,0,0
30,30,148,0,0,0,0
30,30,155,0,0,0,0
30,30,162,0,0,0,0
30,30,168,0,0,0,0
30,30,174,0,0,0,0
30,30,180,0,0,0,0
30,30,187,0,0,0,0
30,30,193,0,0,0,0
30,30,200,0,0,0,0
30,30,207,0,0,0,0
30,30,213,0,0,0,0
30,30,219,0,0,0,0
30,30,225,0,0,0,0
30,30,234,0,0,0,0
30,30,241,0,0,0,0
30,30,247,0,6.4,9,4.1199994
30,30,254,2.8,14.400001,5.3600016,3.3199978
30,30,261,8.4,17.6,6.4800005,2.7
30,30,268,9.8,18.4,3.2600012,2.7
30,30,275,11.2,18.4,2.8399968,3.4800003
30,30,282,11.2,18.4,2.8399968,3.4800003
30,30,289,11.2,19.2,5.64,2.7
30,30,296,12.599999,19.2,2.5,3.24
30,30,304,14,20,2.5,3.24
30,30,311,14,20,2.5,2.7
30,30,318,14,20,4.8,3
30,30,325,15.4,20.800001,2.5,2.7
30,30,333,16.8,20.800001,2.5,2.7
30,30,340,16.8,20.800001,2.5,2.7599998
30,30,347,16.8,21.6,3.9600003,2.7
30,30,355,18.199999,21.6,2.5,2.7
30,30,361,18.199999,21.6,2.5,2.7
30,30,369,18.199999,22.4,3.5400004,2.7
30,30,376,19.6,22.4,2.5,2.7
30,30,384,21,23.2,-2.5,2.7
30,30,391,21,23.2,-2.5,2.7
30,30,398,21,23.2,2.7,2.7
30,30,405,22.4,24,-2.5,2.7
30,30,412,22.4,24,2.5,2.7
30,30,420,22.4,24,2.5,2.7
30,30,426,22.4,24,2.5,2.7
30,30,433,22.4,24.800001,2.5,-2.7
30,30,441,22.4,24.800001,2.5,-2.7
30,30,447,22.4,24.800001,2.5,2.7
30,30,455,23.8,24.800001,-2.5,2.7
30,30,462,23.8,24.800001,-2.5,2.7
30,30,470,23.8,24.800001,2.5,2.7
30,30,478,23.8,25.6,2.5,-2.7
30,30,484,23.8,25.6,2.5,2.7
30,30,492,25.199999,25.6,-2.5,2.7
30,30,499,25.199999,25.6,-2.5,2.7
30,30,506,25.199999,25.6,2.5,2.7
30,30,513,25.199999,26.4,2.5,-2.7
30,30,520,25.199999,26.4,2.5,-2.7
30,30,527,25.199999,26.4,2.5,2.7
30,30,535,26.6,26.4,-2.5,2.7
30,30,541,26.6,26.4,-2.5,2.7
30,30,549,26.6,26.4,2.5,2.7
30,30,557,26.6,26.4,2.5,2.7
30,30,565,26.6,27.2,2.5,-2.7
30,30,574,28,27.2,-2.5,2.7
30,30,581,28,27.2,-2.5,2.7
30,30,588,28,27.2,2.5,2.7
30,30,596,28,27.2,2.5,2.7
30,30,603,28,27.2,2.5,2.7
30,30,610,29.4,27.2,2.5,2.7
30,30,617,29.4,27.2,-4,2.7
30,30,624,29.4,28,0,-2.7
30,30,632,29.4,28,0,2.7
30,30,639,29.4,28,0,2.7
30,30,647,29.4,27.2,0,2.7
30,30,654,29.4,27.2,0,2.7
30,30,661,29.4,27.2,0,2.7
30,30,669,29.4,27.2,0,2.7
30,30,677,29.4,28,0,-2.7
30,30,683,29.4,28,0,2.7
30,30,691,29.4,27.2,0,2.7
30,30,699,29.4,27.2,0,2.7
30,30,706,30.8,27.2,0,2.7
30,30,715,30.8,27.2,0,2.7
30,30,722,30.8,28,0,-2.7
30,30,735,30.8,28,0,2.7
30,30,744,30.8,27.2,0,2.7
30,30,752,30.8,27.2,0,2.7
30,30,759,30.8,27.2,0,2.7
30,30,766,30.8,27.2,0,2.7
30,30,774,30.8,28,0,-2.7
30,30,781,30.8,28,0,-2.7
30,30,788,30.8,28,0,2.7
30,30,797,30.8,28,0,2.7
30,30,806,30.8,28,0,2.7
30,30,814,30.8,28,0,2.7
30,30,822,30.8,28,0,2.7
30,30,830,30.8,28,0,2.7
30,30,837,30.8,28.800001,0,-2.7
30,30,845,30.8,28.800001,0,2.7
30,30,852,30.8,28.800001,0,2.7
30,30,859,30.8,28.800001,0,2.7
30,30,867,30.8,28.800001,0,2.7
30,30,874,30.8,28.800001,0,2.7
30,30,882,30.8,28.800001,0,2.7
30,30,888,30.8,28.800001,0,2.7
30,30,897,30.8,29.6,0,-2.7
0,0,2911,30.8,29.6,0,0
0,0,2919,30.8,29.6,0,0
0,0,2925,30.8,29.6,0,0
0,0,2932,30.8,29.6,0,0
0,0,2938,30.8,29.6,0,0
0,0,2944,30.8,29.6,0,0
0,0,2951,30.8,29.6,0,0
0,0,2957,30.8,29.6,0,0
0,0,2963,30.8,29.6,0,0
0,0,2970,30.8,29.6,0,0
0,0,2976,30.8,29.6,0,0
0,0,2982,30.8,29.6,0,0
0,0,2989,30.8,29.6,0,0
0,0,2995,30.8,29.6,0,0
0,0,3001,30.8,29.6,0,0
0,0,3008,30.8,29.6,0,0
0,0,3014,30.8,29.6,0,0
0,0,3020,30.8,29.6,0,0
0,0,3027,30.8,29.6,0,0
0,0,3033,30.8,29.6,0,0
0,0,3039,30.8,29.6,0,0
0,0,3045,30.8,29.6,0,0
0,0,3051,30.8,29.6,0,0
0,0,3058,28,28,-8.400001,-6.7999983
0,0,3065,28,27.2,-8.400001,-6.5600023
0,0,3073,28,26.4,-8.400001,-6.319998
0,0,3079,28,26.4,-8.400001,-6.319998
