panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-29.4,-38.252556,49,-29.4,-39.2,0,0
-29.4,-38.252556,86,-29.4,-39.2,0,0
-29.4,-38.252556,123,-29.4,-39.2,0,0
-29.4,-38.252556,154,-29.4,-39.2,0,2.4894888
-29.4,-37.452557,188,-29.4,-38.4,0,0
-29.4,-37.452557,220,-29.4,-38.4,0,0
-29.4,-37.61044,260,-29.4,-38.4,0,0
-29.4,-37.61044,293,-29.4,-38.4,0,2.4894888
-29.4,-37.61044,326,-29.4,-38.4,0,2.4894888
-29.4,-36.81044,356,-29.4,-37.600002,0,0
-29.4,-36.968338,396,-29.4,-37.600002,0,0
-29.4,-37.28416,424,-29.4,-37.600002,0,0
-29.4,-37.28416,464,-29.4,-37.600002,0,2.4579124
-29.4,-37.28416,488,-29.4,-37.600002,0,0
-29.4,-38.08416,523,-29.4,-38.4,0,2.523168
-29.4,-38.4,555,-29.4,-38.4,0,2.523168
-29.4,-37.600002,589,-29.4,-37.600002,0,0
-29.4,-38.073757,658,-29.4,-37.600002,0,0
-29.4,-38.073757,690,-29.4,-37.600002,0,-2.4599998
-29.4,-38.873756,725,-29.4,-38.4,0,2.4599998
-29.4,-38.873756,754,-29.4,-38.4,0,0
-29.4,-37.915844,789,-29.4,-37.600002,0,0
-29.4,-37.915844,821,-29.4,-37.600002,0,-2.5547507
-29.4,-38.873756,859,-29.4,-38.4,0,0
-29.4,-38.073757,886,-29.4,-37.600002,0,0
-29.4,-37.757923,924,-29.4,-37.600002,0,0
-29.4,-37.600002,956,-29.4,-37.600002,0,-2.5547507
-29.4,-38.4,989,-29.4,-38.4,0,0
-29.4,-38.24208,1020,-29.4,-38.4,0,0
-29.4,-37.768337,1056,-29.4,-38.4,0,2.4599998
-29.4,-36.968338,1091,-29.4,-37.600002,0,-2.4599998
-29.4,-37.768337,1122,-29.4,-38.4,0,0
-29.4,-37.926247,1206,-29.4,-38.4,0,0
-29.4,-37.926247,1256,-29.4,-38.4,0,2.5863326
-29.4,-37.126247,1290,-29.4,-37.600002,0,0
-29.4,-38.08416,1323,-29.4,-38.4,0,0
-29.4,-38.4,1358,-29.4,-38.4,0,0
-29.4,-38.4,1390,-29.4,-38.4,0,2.5547507
-29.4,-38.4,1422,-29.4,-38.4,0,0
-29.4,-38.4,1456,-29.4,-38.4,0,0
-29.4,-38.715843,1487,-29.4,-38.4,0,0
-29.4,-38.715843,1525,-29.4,-38.4,0,0
-29.4,-38.715843,1555,-29.4,-38.4,0,0
-29.4,-38.715843,1588,-29.4,-38.4,0,0
-29.4,-38.715843,1623,-29.4,-38.4,0,0
-29.4,-38.715843,1655,-29.4,-38.4,0,0
-29.4,-38.715843,1690,-29.4,-38.4,0,0
-29.4,-38.557922,1727,-29.4,-38.4,0,0
-29.4,-38.557922,1754,-29.4,-38.4,0,0
-29.4,-38.557922,1787,-29.4,-38.4,0,0
-29.4,-37.61044,1853,-29.4,-38.4,0,0
-29.4,-37.13683,1890,-29.4,-38.4,0,0
-29.4,-36.19019,1920,-29.4,-38.4,0,0
-29.4,-34.60222,1957,-29.4,-37.600002,0,0
-29.4,-33.815384,1988,-29.4,-37.600002,0,0
-29.4,-33.186928,2031,-29.4,-37.600002,0,2.5819626
-29.4,-32.559536,2058,-29.4,-37.600002,0,2.8995566
-29.4,-31.13335,2088,-29.4,-36.8,0,2.896923
-29.4,-30.177011,2122,-29.4,-36,0,3.0226142
