panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-32.2,-40.991364,23,-32.2,-37.600002,0,0
-32.2,-40.991364,58,-32.2,-37.600002,0,0
-32.2,-40.991364,90,-32.2,-37.600002,0,0
-32.2,-40.991364,124,-32.2,-37.600002,0,0
-32.2,-40.991364,157,-32.2,-37.600002,0,0
-32.2,-40.991364,191,-32.2,-37.600002,0,2.7692993
-32.2,-40.991364,224,-32.2,-37.600002,0,2.7692993
-32.2,-40.19136,263,-32.2,-36.8,0,0
-32.2,-40.3487,295,-32.2,-36.8,0,-3.9765458
-32.2,-41.948708,326,-32.2,-38.4,0,-3.6565444
-32.2,-42.905994,361,-32.2,-39.2,0,-3.016545
-32.2,-43.246307,426,-32.2,-40.8,0,0
-32.2,-41.984245,461,-32.2,-40.8,0,0
-32.2,-41.03688,499,-32.2,-40.8,0,0
-32.2,-40.87896,531,-32.2,-40.8,0,0
-32.2,-40.72104,564,-32.2,-40.8,0,0
-32.2,-40.87896,595,-32.2,-40.8,0,0
-32.2,-41.52104,627,-32.2,-41.600002,0,0
-32.2,-41.678963,662,-32.2,-41.600002,0,0
-32.2,-41.52104,694,-32.2,-41.600002,0,-2.8223968
-32.2,-41.52104,725,-32.2,-41.600002,0,-2.958522
-32.2,-42.32104,762,-32.2,-42.4,0,2.8452485
-32.2,-42.005203,792,-32.2,-42.4,0,2.8452485
-32.2,-40.7315,826,-32.2,-41.600002,0,2.588417
-32.2,-39.773617,859,-32.2,-40.8,0,0
-32.2,-40.4052,893,-32.2,-40.8,0,-2.588417
-32.2,-41.678963,939,-32.2,-41.600002,0,0
-32.2,-41.836884,962,-32.2,-41.600002,0,0
-32.2,-41.52104,1029,-32.2,-41.600002,0,0
-32.2,-41.52104,1068,-32.2,-41.600002,0,-2.5884154
-32.2,-41.52104,1094,-32.2,-41.600002,0,-2.5884154
-32.2,-42.32104,1129,-32.2,-42.4,0,0
-32.2,-42.005203,1159,-32.2,-42.4,0,2.967401
-32.2,-40.88939,1193,-32.2,-41.600002,0,2.7779205
-32.2,-39.931496,1230,-32.2,-40.8,0,0
-32.2,-40.089386,1260,-32.2,-40.8,0,-2.6515853
-32.2,-40.72104,1291,-32.2,-40.8,0,-2.7147536
-32.2,-41.9948,1326,-32.2,-41.600002,0,0
-32.2,-41.678963,1359,-32.2,-41.600002,0,0
-32.2,-41.205204,1398,-32.2,-41.600002,0,0
-32.2,-41.205204,1428,-32.2,-41.600002,0,-2.5884154
-32.2,-41.205204,1463,-32.2,-41.600002,0,2.5842452
-32.2,-41.04729,1529,-32.2,-41.600002,0,2.5842452
-32.2,-40.089386,1562,-32.2,-40.8,0,2.6474013
-32.2,-40.4052,1597,-32.2,-40.8,0,2.5842452
-32.2,-39.76312,1628,-32.2,-40,0,-3.0979202
-32.2,-40.87896,1663,-32.2,-40.8,0,-2.7779205
-32.2,-42.310616,1694,-32.2,-41.600002,0,0
-32.2,-42.152714,1730,-32.2,-41.600002,0,0
-32.2,-41.36312,1761,-32.2,-41.600002,0,0
-32.2,-40.57362,1801,-32.2,-41.600002,0,0
-32.2,-40.57362,1831,-32.2,-41.600002,0,0
-32.2,-40.415756,1864,-32.2,-41.600002,0,2.9042466
-32.2,-40.100086,1896,-32.2,-41.600002,0,3.0347533
-32.2,-39.14228,1927,-32.2,-40.8,0,2.7147522
-32.2,-39.300083,1961,-32.2,-40.8,0,0
-32.2,-39.457905,1994,-32.2,-40.8,0,-2.9042466
-32.2,-40.7315,2026,-32.2,-41.600002,0,0
-32.2,-40.7315,2065,-32.2,-41.600002,0,0
-32.2,-39.300083,2131,-32.2,-40.8,0,0
-32.2,-39.942284,2166,-32.2,-41.600002,0,2.710553
-32.2,-39.300083,2196,-32.2,-40.8,0,0
-32.2,-39.300083,2230,-32.2,-40.8,0,0
-32.2,-39.615753,2264,-32.2,-40.8,0,2.9630876
-32.2,-39.773617,2299,-32.2,-40.8,0,2.8999665
-32.2,-39.131496,2330,-32.2,-40,0,-2.5925994
-32.2,-39.931496,2362,-32.2,-40.8,0,-2.5925994
-32.2,-40.089386,2394,-32.2,-40.8,0,0
-32.2,-39.773617,2429,-32.2,-40.8,0,2.8999665
-32.2,-37.238503,2467,-32.2,-40,0,0
-32.2,-36.30844,2497,-32.2,-40.8,0,2.8999665
-32.2,-34.411552,2526,-32.2,-40,0,0
-32.2,-33.318756,2560,-32.2,-40,0,0
-32.2,-32.385918,2594,-32.2,-40,0,2.6474013
-32.2,-31.457115,2628,-32.2,-40,0,2.6474013
-32.2,-31.457115,2692,-32.2,-40,0,0
-32.2,-31.457115,2727,-32.2,-40,0,0
-32.2,-31.457115,2761,-32.2,-40,0,3.404599
-32.2,-30.657116,2791,-32.2,-39.2,0,3.0845993
-32.2,-29.857117,2825,-32.2,-38.4,0,3.136624
-32.2,-29.057117,2861,-32.2,-37.600002,0,3.5753798
-32.2,-27.457115,2892,-32.2,-36,0,3.745633
-32.2,-26.657116,2925,-32.2,-35.2,0,3.4256332
-32.2,-25.057117,2959,-32.2,-33.600002,0,3.4771545
-32.2,-24.257114,2993,-32.2,-32.8,0,2.8371537
-32.2,-23.457115,3033,-32.2,-32,0,0
-32.2,-23.457115,3061,-32.2,-32,0,0
-32.2,-23.457115,3095,-32.2,-32,0,2.8371537
-32.2,-22.657116,3128,-32.2,-31.2,0,2.8371537
-32.2,-21.857117,3159,-32.2,-30.4,0,3.4771538
-32.2,-21.057117,3192,-32.2,-29.6,0,3.157154
-32.2,-20.257118,3227,-32.2,-28.800001,0,3.157154
-32.2,-18.657116,3260,-32.2,-27.2,0,3.1571534
-32.2,-17.857117,3292,-32.2,-26.4,0,3.4771538
-32.2,-17.057117,3325,-32.2,-25.6,0,3.157154
-32.2,-15.457116,3358,-32.2,-24,0,0
-32.2,-15.457116,3392,-32.2,-24,0,0
-32.2,-15.457116,3425,-32.2,-24,0,3.1571534
-32.2,-13.857116,3461,-32.2,-22.4,0,0
-32.2,-13.857116,3496,-32.2,-22.4,0,2.837153
-32.2,-12.257117,3561,-32.2,-20.800001,0,0
-32.2,-12.257117,3592,-32.2,-20.800001,0,3.4771538
-32.2,-11.457116,3626,-32.2,-20,0,3.1571534
-32.2,-10.657117,3660,-32.2,-19.2,0,3.1571534
-32.2,-9.0571165,3692,-32.2,-17.6,0,3.1571536
-32.2,-8.257117,3725,-32.2,-16.800001,0,2.837154
-32.2,-6.657116,3759,-32.2,-15.2,0,0
-32.2,-29.265652,34,-32.2,-20.800001,0,0
-32.2,-29.265652,72,-32.2,-20.800001,0,0
-32.2,-29.265652,104,-32.2,-20.800001,0,0
-32.2,-29.265652,136,-32.2,-20.800001,0,0
-32.2,-29.265652,205,-32.2,-20.800001,0,0
-32.2,-29.265652,240,-32.2,-20.800001,0,0
-32.2,-29.265652,276,-32.2,-20.800001,0,0
-32.2,-29.265652,304,-32.2,-20.800001,0,0
-32.2,-29.265652,341,-32.2,-20.800001,0,-5.68626
-32.2,-30.86565,370,-32.2,-22.4,0,-5.046261
-32.2,-32.46565,403,-32.2,-24,0,-4.4062605
-32.2,-33.936497,441,-32.2,-26.4,0,-3.446261
-32.2,-33.66665,473,-32.2,-28,0,-2.8062606
-32.2,-33.227356,508,-32.2,-29.6,0,0
-32.2,-31.652111,535,-32.2,-29.6,0,0
-32.2,-30.547447,572,-32.2,-29.6,0,0
-32.2,-30.38956,606,-32.2,-29.6,0,0
-32.2,-30.38956,638,-32.2,-29.6,0,0
-32.2,-30.38956,674,-32.2,-29.6,0,-2.8062599
-32.2,-30.38956,706,-32.2,-29.6,0,-3.4462593
-32.2,-32.31584,771,-32.2,-32,0,-2.9666595
-32.2,-32.326244,806,-32.2,-32.8,0,-2.6466599
-32.2,-31.86339,840,-32.2,-33.600002,0,0
-32.2,-30.917288,877,-32.2,-33.600002,0,3.0791564
-32.2,-29.172644,908,-32.2,-32.8,0,3.2641754
-32.2,-28.215382,942,-32.2,-32,0,2.9441757
