panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-125.50995,-8.8,23,-120.4,-8.8,0,0
-125.50995,-8.8,56,-120.4,-8.8,0,0
-125.50995,-8.8,88,-120.4,-8.8,0,0
-125.50995,-8.8,158,-120.4,-8.8,0,0
-125.50995,-8.8,194,-120.4,-8.8,0,0
-125.50995,-8.8,225,-120.4,-8.8,0,0
-125.50995,-8.8,258,-120.4,-8.8,0,0
-125.50995,-8.8,298,-120.4,-8.8,0,0
-125.50995,-8.8,324,-120.4,-8.8,0,0
-125.50995,-8.8,364,-120.4,-8.8,0,0
-125.50995,-8.8,391,-120.4,-8.8,0,0
-125.50995,-8.8,424,-120.4,-8.8,0,0
-125.50995,-8.8,455,-120.4,-8.8,0,0
-125.50995,-8.8,489,-120.4,-8.8,-4.0329843,0
-129.70995,-8.8,557,-124.6,-8.8,0,0
-129.70995,-8.8,592,-124.6,-8.8,0,0
-129.70995,-8.8,624,-124.6,-8.8,0,0
-129.70995,-8.8,657,-124.6,-8.8,0,0
-129.70995,-8.8,691,-124.6,-8.8,0,0
-129.70995,-8.8,726,-124.6,-8.8,0,0
-129.70995,-8.8,758,-124.6,-8.8,0,0
-129.70995,-8.8,791,-124.6,-8.8,0,0
-129.70995,-8.8,824,-124.6,-8.8,0,0
-129.70995,-8.8,857,-124.6,-8.8,0,0
-129.70995,-8.8,888,-124.6,-8.8,0,0
-129.70995,-8.8,924,-124.6,-8.8,0,0
-129.70995,-8.8,956,-124.6,-8.8,0,0
-129.70995,-8.8,990,-124.6,-8.8,-4.0329843,0
-132.50995,-8.8,1025,-127.4,-8.8,-3.1929832,0
-132.50995,-8.8,1056,-127.4,-8.8,-3.1929832,0
-132.34595,-8.8,1098,-127.4,-8.8,-3.1929832,0
-131.93558,-8.8,1126,-127.4,-8.8,-3.1929832,0
-132.26656,-8.8,1193,-128.8,-8.8,0,0
-131.60744,-8.8,1230,-128.8,-8.8,0,0
-131.1951,-8.8,1259,-128.8,-8.8,0,0
-131.03009,-8.8,1296,-128.8,-8.8,0,0
-131.03009,-8.8,1326,-128.8,-8.8,0,0
-131.03009,-8.8,1357,-128.8,-8.8,0,0
-131.03009,-8.8,1392,-128.8,-8.8,0,0
-131.03009,-8.8,1423,-128.8,-8.8,0,0
-131.03009,-8.8,1456,-128.8,-8.8,0,0
-131.03009,-8.8,1491,-128.8,-8.8,-3.6129837,0
-132.43008,-8.8,1524,-130.2,-8.8,-3.1929855,0
-132.43008,-8.8,1559,-130.2,-8.8,-3.143785,0
-132.18251,-8.8,1595,-130.2,-8.8,-3.0206742,0
-132.59154,-8.8,1661,-131.59999,-8.8,0,0
-132.01317,-8.8,1693,-131.59999,-8.8,0,0
-131.35208,-8.8,1727,-131.59999,-8.8,0,0
-130.77367,-8.8,1762,-131.59999,-8.8,0,0
-130.44322,-8.8,1795,-131.59999,-8.8,0,0
-130.03027,-8.8,1827,-131.59999,-8.8,0,0
