panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-86.88263,-10.400001,48,-86.799995,-10.400001,0,0
-86.88263,-10.400001,84,-86.799995,-10.400001,0,0
-86.88263,-10.400001,118,-86.799995,-10.400001,0,0
-86.88263,-10.400001,150,-86.799995,-10.400001,0,0
-86.88263,-10.400001,182,-86.799995,-10.400001,0,0
-86.88263,-10.400001,217,-86.799995,-10.400001,0,0
-86.88263,-10.400001,248,-86.799995,-10.400001,0,0
-86.88263,-10.400001,281,-86.799995,-10.400001,0,0
-86.88263,-10.400001,316,-86.799995,-10.400001,0,0
-86.88263,-10.400001,348,-86.799995,-10.400001,0,0
-86.88263,-10.400001,380,-86.799995,-10.400001,0,0
-86.88263,-10.400001,418,-86.799995,-10.400001,0,0
-86.88263,-10.400001,482,-86.799995,-10.400001,0,0
-86.88263,-10.400001,517,-86.799995,-10.400001,0,0
-86.88263,-10.400001,558,-86.799995,-10.400001,0,0
-86.88263,-10.400001,585,-86.799995,-10.400001,0,0
-86.88263,-10.400001,629,-86.799995,-10.400001,0,0
-86.88263,-10.400001,684,-86.799995,-10.400001,0,0
-86.88263,-10.400001,718,-86.799995,-10.400001,0,0
-86.88263,-10.400001,749,-86.799995,-10.400001,0,0
-86.88263,-10.400001,781,-86.799995,-10.400001,0,0
-86.88263,-10.400001,819,-86.799995,-10.400001,0,0
-86.88263,-10.400001,849,-86.799995,-10.400001,0,0
-86.88263,-10.400001,883,-86.799995,-10.400001,0,0
-86.88263,-10.400001,917,-86.799995,-10.400001,0,0
-86.88263,-10.400001,948,-86.799995,-10.400001,0,0
-86.88263,-10.400001,982,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1017,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1050,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1087,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1150,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1185,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1929,-86.799995,-10.400001,0,0
-86.88263,-10.400001,1988,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2018,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2082,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2117,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2148,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2181,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2219,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2247,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2280,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2310,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2345,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2378,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2416,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2476,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2508,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2549,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2580,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2616,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2648,-86.799995,-10.400001,0,0
-86.88263,-10.400001,2679,-86.799995,-10.400001,0,0
