panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
-28,-31.594799,21,-28,-31.2,0,0
-28,-31.594799,55,-28,-31.2,0,0
-28,-31.594799,87,-28,-31.2,0,0
-28,-31.594799,120,-28,-31.2,0,0
-28,-31.594799,157,-28,-31.2,0,0
-28,-31.594799,187,-28,-31.2,0,0
-28,-31.594799,256,-28,-31.2,0,0
-28,-31.594799,290,-28,-31.2,0,0
-28,-31.594799,322,-28,-31.2,0,0
-28,-31.594799,357,-28,-31.2,0,0
-28,-31.594799,390,-28,-31.2,0,0
-28,-31.594799,424,-28,-31.2,0,0
-28,-31.594799,454,-28,-31.2,0,0
-28,-31.594799,490,-28,-31.2,0,0
-28,-31.594799,522,-28,-31.2,0,0
-28,-31.594799,559,-28,-31.2,0,0
-28,-31.594799,587,-28,-31.2,0,0
-28,-31.594799,622,-28,-31.2,0,0
-28,-31.594799,656,-28,-31.2,0,0
-28,-31.594799,688,-28,-31.2,0,0
-28,-31.594799,723,-28,-31.2,0,0
-28,-31.594799,761,-28,-31.2,0,0
-28,-31.594799,787,-28,-31.2,0,0
-28,-31.594799,820,-28,-31.2,0,0
-28,-31.594799,855,-28,-31.2,0,0
-28,-31.594799,888,-28,-31.2,0,0
-28,-31.594799,922,-28,-31.2,0,0
-28,-31.594799,958,-28,-31.2,0,0
-28,-31.594799,989,-28,-31.2,0,0
-28,-31.594799,1056,-28,-31.2,0,0
-28,-31.594799,1088,-28,-31.2,0,0
-28,-31.594799,1123,-28,-31.2,0,0
-28,-31.594799,1162,-28,-31.2,0,0
-28,-31.594799,1191,-28,-31.2,0,0
-28,-31.594799,1221,-28,-31.2,0,0
-28,-31.594799,1258,-28,-31.2,0,0
-28,-31.594799,1287,-28,-31.2,0,0
-28,-31.594799,1320,-28,-31.2,0,0
-28,-31.594799,1358,-28,-31.2,0,0
-28,-31.594799,1389,-28,-31.2,0,0
-28,-31.594799,1422,-28,-31.2,0,0
-28,-31.594799,1456,-28,-31.2,0,0
-28,-31.594799,1488,-28,-31.2,0,0
-28,-31.594799,1526,-28,-31.2,0,0
-28,-31.594799,1555,-28,-31.2,0,0
-28,-31.594799,1623,-28,-31.2,0,0
-28,-31.594799,1656,-28,-31.2,0,0
-28,-31.594799,1690,-28,-31.2,0,0
-28,-31.594799,1721,-28,-31.2,0,0
-28,-31.594799,1758,-28,-31.2,0,0
-28,-31.594799,1789,-28,-31.2,0,0
-28,-31.594799,1824,-28,-31.2,0,0
-28,-31.594799,1856,-28,-31.2,0,0
-28,-31.594799,1890,-28,-31.2,0,0
-28,-31.594799,1921,-28,-31.2,0,0
-28,-31.594799,1964,-28,-31.2,0,0
-28,-31.594799,1990,-28,-31.2,0,0
-28,-31.594799,2029,-28,-31.2,0,0
-28,-31.594799,2057,-28,-31.2,0,0
-28,-31.594799,2090,-28,-31.2,0,0
-28,-31.594799,2122,-28,-31.2,0,0
-28,-31.594799,2158,-28,-31.2,0,0
-28,-31.594799,2189,-28,-31.2,0,0
-28,-31.594799,2222,-28,-31.2,0,0
-28,-31.594799,2255,-28,-31.2,0,0
-28,-31.594799,2290,-28,-31.2,0,0
-28,-31.594799,2322,-28,-31.2,0,0
-28,-31.594799,2356,-28,-31.2,0,0
-28,-31.278961,2424,-28,-31.2,0,0
-28,-30.805202,2457,-28,-31.2,0,0
-28,-30.331495,2490,-28,-31.2,0,0
-28,-29.384504,2522,-28,-31.2,0,0
-28,-28.596079,2560,-28,-31.2,0,0
-28,-28.123478,2590,-28,-31.2,0,0
-28,-27.336773,2623,-28,-31.2,0,3.0474021
-28,-26.865429,2656,-28,-31.2,0,3.4261987
-28,-25.437895,2695,-28,-30.4,0,3.4215684
-28,-23.837896,2728,-28,-28.800001,0,0
-28,-23.508442,2763,-28,-28,0,0
-28,-24.294006,2795,-28,-28,0,3.1538284
-28,-23.494007,2829,-28,-27.2,0,3.4048424
-28,-22.536772,2861,-28,-26.4,0,3.7248414
-28,-21.40864,2893,-28,-24.800001,0,3.2166238
-28,-21.238503,2926,-28,-24,0,0
-28,-21.54228,2963,-28,-23.2,0,0
-28,-21.689386,2995,-28,-22.4,0,0
-28,-21.531494,3027,-28,-22.4,0,3.096544
-28,-20.100082,3061,-28,-21.6,0,0
-28,-19.784504,3093,-28,-21.6,0,0
-28,-19.784504,3126,-28,-21.6,0,0
-28,-19.311346,3161,-28,-21.6,0,0
-28,-19.153694,3192,-28,-21.6,0,3.2999673
-28,-18.038504,3225,-28,-20.800001,0,3.106199
-28,-16.923477,3262,-28,-20,0,0
-28,-17.396078,3293,-28,-20,0,0
-28,-18.184504,3327,-28,-20,0,3.0385225
-28,-17.384504,3365,-28,-19.2,0,3.164599
-28,-15.942281,3428,-28,-17.6,0,0
-28,-16.731495,3462,-28,-17.6,0,0
-28,-17.205202,3495,-28,-17.6,0,0
-28,-17.205202,3538,-28,-17.6,0,0
-28,-17.04729,3562,-28,-17.6,0,3.363088
-28,-15.1314945,3602,-28,-16,0,-2.992598
-28,-15.773617,3629,-28,-16.800001,0,0
-28,-16.247292,3661,-28,-16.800001,0,0
-28,-15.457909,3731,-28,-16.800001,0,0
-28,-15.457909,3764,-28,-16.800001,0,3.3674028
-28,-14.500082,3795,-28,-16,0,0
-28,-14.34228,3828,-28,-16,0,0
-28,-14.815752,3862,-28,-16,0,0
-28,-14.6579075,3895,-28,-16,0,0
-28,-14.6579075,3928,-28,-16,0,3.2999673
-28,-13.700082,3966,-28,-15.2,0,3.0430877
-28,-12.742281,3991,-28,-14.400001,0,0
-28,-13.531495,4023,-28,-14.400001,0,0
-28,-14.005201,4059,-28,-14.400001,0,0
-28,-14.163118,4094,-28,-14.400001,0,0
-28,-14.005201,4126,-28,-14.400001,0,3.363088
-28,-13.04729,4164,-28,-13.6,0,0
-28,-12.889387,4194,-28,-13.6,0,0
-28,-13.678962,4228,-28,-13.6,0,0
-28,-13.521039,4263,-28,-13.6,0,0
-28,-13.521039,4294,-28,-13.6,0,0
-28,-12.563118,4362,-28,-12.8,0,0
-28,-13.205201,4395,-28,-13.6,0,0
-28,-13.678962,4429,-28,-13.6,0,0
-28,-13.521039,4461,-28,-13.6,0,0
-28,-13.521039,4495,-28,-13.6,0,3.114753
-28,-12.721039,4526,-28,-12.8,0,0
-28,-12.721039,4561,-28,-12.8,0,-3.0515847
-28,-13.9948,4594,-28,-13.6,0,0
-28,-13.836883,4629,-28,-13.6,0,0
-28,-13.205201,4662,-28,-13.6,0,3.0515847
-28,-11.931495,4696,-28,-12.8,0,0
-28,-11.773616,4730,-28,-12.8,0,-3.1779199
-28,-13.363118,4761,-28,-13.6,0,0
-28,-13.836883,4794,-28,-13.6,0,0
-28,-12.563118,4826,-28,-12.8,0,3.0474021
-28,-11.447289,4864,-28,-12,0,0
-28,-9.205201,4895,-28,-9.6,0,-4.205247
-28,-10.310614,4928,-28,-9.6,0,-4.394753
-28,-14.59136,4965,-28,-11.2,0,-3.2452474
-28,-15.561498,4993,-28,-12.8,0,3.2410843
-28,-13.668506,5028,-28,-12.8,0,4.1379194
-28,-11.289387,5061,-28,-12,0,3.3757546
-28,-9.689387,5095,-28,-10.400001,0,-4.376544
-28,-15.415497,5174,-28,-13.6,0,-3.484599
-28,-15.584249,5195,-28,-14.400001,0,2.992598
-28,-14.805201,5227,-28,-15.2,0,3.3125978
-28,-12.269034,5262,-28,-14.400001,0,3.9442456
-28,-10.5234785,5294,-28,-13.6,0,-3.4261987
-28,-14.173615,5365,-28,-15.2,0,0
-28,-14.015752,5395,-28,-15.2,0,0
-28,-12.753694,5428,-28,-15.2,0,0
-28,-11.480968,5463,-28,-14.400001,0,4.250609
-28,-10.838503,5496,-28,-13.6,0,0
-28,-10.680968,5528,-28,-13.6,0,0
-28,-11.942281,5561,-28,-13.6,0,0
-28,-12.731495,5596,-28,-13.6,0,3.0385227
-28,-11.773616,5634,-28,-12.8,0,3.2276127
-28,-10.973616,5662,-28,-12,0,3.164599
-28,-10.647289,5700,-28,-11.2,0,0
-28,-10.636883,5728,-28,-10.400001,0,-3.3169122
-28,-12.226384,5764,-28,-11.2,0,-3.3125982
-28,-13.3420925,5797,-28,-12,0,0
