Angle,Time
0.0,0.0
-0.8,0.008
-1.6,0.015
-2.4,0.021
-3.2,0.028
-4.0,0.037
-4.8,0.044
-5.6,0.05
-6.4,0.054
-7.2,0.059
-8.0,0.062
-8.8,0.066
-9.6,0.07
-10.4,0.074
-11.2,0.078
-12.0,0.081
-12.8,0.085
-13.6,0.089
-14.4,0.092
-15.2,0.096
-16.0,0.1
-16.8,0.103
-17.6,0.106
-18.4,0.11
-19.2,0.113
-20.0,0.116
-20.8,0.12
-21.6,0.123
-22.4,0.126
-23.2,0.129
-24.0,0.132
-24.8,0.135
-25.6,0.139
-26.4,0.142
-27.2,0.145
-28.0,0.148
-28.8,0.152
-29.6,0.155
-30.4,0.158
-31.2,0.161
-32.0,0.164
-32.8,0.168
-33.6,0.171
-34.4,0.174
-35.2,0.177
-36.0,0.181
-36.8,0.184
-37.6,0.187
-38.4,0.19
-39.2,0.193
-40.0,0.196
-40.8,0.2
-41.6,0.203
-42.4,0.206
-43.2,0.209
-44.0,0.212
-44.8,0.215
-45.6,0.219
-46.4,0.222
-47.2,0.225
-48.0,0.228
-48.8,0.231
-49.6,0.234
-50.4,0.237
-51.2,0.24
-52.0,0.244
-52.8,0.247
-53.6,0.25
-54.4,0.253
-55.2,0.256
-56.0,0.259
-56.8,0.263
-57.6,0.266
-58.4,0.269
-59.2,0.272
-60.0,0.275
-60.8,0.278
-61.6,0.282
-62.4,0.285
-63.2,0.288
-64.0,0.291
-64.8,0.294
-65.6,0.297
-66.4,0.301
-67.2,0.304
-68.0,0.307
-68.8,0.31
-69.6,0.314
-70.4,0.317
-71.2,0.32
-72.0,0.323
-72.8,0.326
-73.6,0.329
-74.4,0.333
-75.2,0.336
-76.0,0.339
-76.8,0.342
-77.6,0.345
-78.4,0.348
-79.2,0.351
-80.0,0.355
-80.8,0.358
-81.6,0.361
-82.4,0.364
-83.2,0.367
-84.0,0.371
-84.8,0.374
-85.6,0.377
-86.4,0.38
-87.2,0.383
-88.0,0.387
-88.8,0.39
-89.6,0.393
-90.4,0.396
-91.2,0.399
-92.0,0.403
-92.8,0.406
-93.6,0.409
-94.4,0.412
-95.2,0.415
-96.0,0.419
-96.8,0.422
-97.6,0.425
-98.4,0.428
-99.2,0.431
-100.0,0.434
-100.8,0.438
-101.6,0.441
-102.4,0.444
-103.2,0.447
-104.0,0.45
-104.8,0.453
-105.6,0.457
-106.4,0.46
-107.2,0.463
-108.0,0.466
-108.8,0.469
-109.6,0.472
-110.4,0.475
-111.2,0.478
-112.0,0.482
-112.8,0.485
-113.6,0.488
-114.4,0.491
-115.2,0.494
-116.0,0.497
-116.8,0.501
-117.6,0.504
-118.4,0.507
-119.2,0.51
-120.0,0.513
-120.8,0.516
-121.6,0.52
-122.4,0.523
-123.2,0.526
-124.0,0.529
-124.8,0.532
-125.6,0.535
-126.4,0.539
-127.2,0.542
-128.0,0.545
-128.8,0.548
-129.6,0.551
-130.4,0.554
-131.2,0.558
-132.0,0.561
-132.8,0.564
-133.6,0.567
-134.4,0.57
-135.2,0.573
-136.0,0.577
-136.8,0.58
-137.6,0.583
-138.4,0.586
-139.2,0.589
-140.0,0.592
-140.8,0.596
-141.6,0.599
-142.4,0.602
-143.2,0.605
-144.0,0.608
-144.8,0.611
-145.6,0.615
-146.4,0.618
-147.2,0.621
-148.0,0.624
-148.8,0.627
-149.6,0.631
-150.4,0.634
-151.2,0.637
-152.0,0.64
-152.8,0.643
-153.6,0.647
-154.4,0.65
-155.2,0.653
-156.0,0.656
-156.8,0.659
-157.6,0.663
-158.4,0.666
-159.2,0.669
-160.0,0.672
-160.8,0.676
-161.6,0.679
-162.4,0.682
-163.2,0.685
-164.0,0.688
-164.8,0.692
-165.6,0.695
-166.4,0.698
-167.2,0.701
-168.0,0.704
-168.8,0.707
-169.6,0.711
-170.4,0.714
-171.2,0.717
-172.0,0.72
-172.8,0.723
-173.6,0.726
-174.4,0.73
-175.2,0.733
-176.0,0.736
-176.8,0.739
-177.6,0.742
-178.4,0.746
-179.2,0.749
-180.0,0.752
-180.8,0.755
-181.6,0.759
-182.4,0.762
-183.2,0.765
-184.0,0.768
-184.8,0.771
-185.6,0.774
-186.4,0.778
-187.2,0.781
-188.0,0.784
-188.8,0.787
-189.6,0.791
-190.4,0.794
-191.2,0.797
-192.0,0.8
-192.8,0.803
-193.6,0.807
-194.4,0.81
-195.2,0.813
-196.0,0.816
-196.8,0.819
-197.6,0.822
-198.4,0.826
-199.2,0.829
-200.0,0.832
-200.8,0.835
-201.6,0.839
-202.4,0.842
-203.2,0.845
-204.0,0.848
-204.8,0.851
-205.6,0.854
-206.4,0.858
-207.2,0.861
-208.0,0.864
-208.8,0.867
-209.6,0.87
-210.4,0.874
-211.2,0.877
-212.0,0.88
-212.8,0.884
-213.6,0.887
-214.4,0.89
-215.2,0.893
-216.0,0.897
-216.8,0.9
-217.6,0.903
-218.4,0.906
-219.2,0.909
