Angle,Time
0.0,0.0
0.8,0.006
1.6,0.012
2.4,0.018
3.2,0.023
4.0,0.029
4.8,0.036
5.6,0.044
6.4,0.05
7.2,0.054
8.0,0.059
8.8,0.063
9.6,0.066
10.4,0.07
11.2,0.073
12.0,0.077
12.8,0.08
13.6,0.084
14.4,0.087
15.2,0.091
16.0,0.094
16.8,0.098
17.6,0.101
18.4,0.104
19.2,0.108
20.0,0.111
20.8,0.114
21.6,0.117
22.4,0.121
23.2,0.124
24.0,0.127
24.8,0.13
25.6,0.133
26.4,0.136
27.2,0.139
28.0,0.142
28.8,0.145
29.6,0.148
30.4,0.151
31.2,0.154
32.0,0.157
32.8,0.16
33.6,0.163
34.4,0.166
35.2,0.169
36.0,0.172
36.8,0.175
37.6,0.178
38.4,0.181
39.2,0.184
40.0,0.188
40.8,0.191
41.6,0.194
42.4,0.197
43.2,0.2
44.0,0.203
44.8,0.206
45.6,0.209
46.4,0.212
47.2,0.215
48.0,0.218
48.8,0.221
49.6,0.224
50.4,0.228
51.2,0.231
52.0,0.234
52.8,0.237
53.6,0.24
54.4,0.243
55.2,0.246
56.0,0.249
56.8,0.252
57.6,0.255
58.4,0.258
59.2,0.261
60.0,0.264
60.8,0.267
61.6,0.27
62.4,0.273
63.2,0.276
64.0,0.279
64.8,0.282
65.6,0.285
66.4,0.288
67.2,0.291
68.0,0.295
68.8,0.298
69.6,0.301
70.4,0.304
71.2,0.307
72.0,0.31
72.8,0.313
73.6,0.316
74.4,0.319
75.2,0.322
76.0,0.325
76.8,0.328
77.6,0.331
78.4,0.334
79.2,0.337
80.0,0.34
80.8,0.343
81.6,0.346
82.4,0.35
83.2,0.353
84.0,0.356
84.8,0.359
85.6,0.362
86.4,0.365
87.2,0.368
88.0,0.371
88.8,0.374
89.6,0.377
90.4,0.38
91.2,0.383
92.0,0.386
92.8,0.389
93.6,0.392
94.4,0.395
95.2,0.398
96.0,0.401
96.8,0.405
97.6,0.408
98.4,0.411
99.2,0.414
100.0,0.417
100.8,0.42
101.6,0.423
102.4,0.426
103.2,0.429
104.0,0.432
104.8,0.435
105.6,0.438
106.4,0.441
107.2,0.444
108.0,0.447
108.8,0.45
109.6,0.453
110.4,0.456
111.2,0.46
112.0,0.463
112.8,0.466
113.6,0.469
114.4,0.472
115.2,0.475
116.0,0.478
116.8,0.481
117.6,0.484
118.4,0.487
119.2,0.49
120.0,0.494
120.8,0.497
121.6,0.5
122.4,0.503
123.2,0.506
124.0,0.509
124.8,0.512
125.6,0.515
126.4,0.518
127.2,0.521
128.0,0.524
128.8,0.528
129.6,0.531
130.4,0.534
131.2,0.537
132.0,0.54
132.8,0.543
133.6,0.546
134.4,0.549
135.2,0.552
136.0,0.556
136.8,0.559
137.6,0.562
138.4,0.565
139.2,0.568
140.0,0.571
140.8,0.574
141.6,0.577
142.4,0.581
143.2,0.584
144.0,0.587
144.8,0.59
145.6,0.593
146.4,0.596
147.2,0.599
148.0,0.602
148.8,0.606
149.6,0.609
150.4,0.612
151.2,0.615
152.0,0.618
152.8,0.621
153.6,0.624
154.4,0.627
155.2,0.63
156.0,0.634
156.8,0.637
157.6,0.64
158.4,0.643
159.2,0.646
160.0,0.649
160.8,0.652
161.6,0.655
162.4,0.658
163.2,0.661
164.0,0.664
164.8,0.668
165.6,0.671
166.4,0.674
167.2,0.677
168.0,0.68
168.8,0.683
169.6,0.686
170.4,0.689
171.2,0.693
172.0,0.696
172.8,0.699
173.6,0.702
174.4,0.705
175.2,0.708
176.0,0.711
176.8,0.714
177.6,0.717
178.4,0.72
179.2,0.723
180.0,0.727
180.8,0.73
181.6,0.733
182.4,0.736
183.2,0.739
184.0,0.742
184.8,0.745
185.6,0.748
186.4,0.751
187.2,0.755
188.0,0.758
188.8,0.761
189.6,0.764
190.4,0.767
191.2,0.77
192.0,0.773
192.8,0.776
193.6,0.779
194.4,0.783
195.2,0.786
196.0,0.789
196.8,0.792
197.6,0.795
198.4,0.798
199.2,0.801
200.0,0.805
200.8,0.808
201.6,0.811
202.4,0.814
203.2,0.817
204.0,0.82
204.8,0.823
205.6,0.827
206.4,0.83
207.2,0.833
208.0,0.836
208.8,0.839
209.6,0.842
210.4,0.846
211.2,0.849
212.0,0.852
212.8,0.855
213.6,0.858
214.4,0.861
215.2,0.864
216.0,0.868
216.8,0.871
217.6,0.874
218.4,0.877
219.2,0.88
220.0,0.883
220.8,0.886
221.6,0.89
222.4,0.893
223.2,0.896
224.0,0.899
224.8,0.902
225.6,0.905
226.4,0.909
227.2,0.912
228.0,0.915
228.8,0.918
229.6,0.921
230.4,0.924
231.2,0.927
232.0,0.931
232.8,0.934
233.6,0.937
234.4,0.94
235.2,0.943
236.0,0.946
236.8,0.949
237.6,0.953
238.4,0.956
239.2,0.959
240.0,0.962
240.8,0.965
241.6,0.968
242.4,0.972
243.2,0.975
244.0,0.978
244.8,0.981
245.6,0.984
246.4,0.987
247.2,0.99
248.0,0.993
248.8,0.997
249.6,1.0
250.4,1.003
251.2,1.006
252.0,1.009
252.8,1.012
253.6,1.015
254.4,1.019
255.2,1.022
256.0,1.025
256.8,1.028
257.6,1.031
258.4,1.034
259.2,1.037
260.0,1.041
260.8,1.044
261.6,1.047
262.4,1.05
263.2,1.053
264.0,1.056
264.8,1.06
265.6,1.063
266.4,1.066
267.2,1.069
268.0,1.072
268.8,1.075
269.6,1.079
270.4,1.082
271.2,1.085
272.0,1.088
272.8,1.091
273.6,1.094
274.4,1.097
275.2,1.101
276.0,1.104
276.8,1.107
277.6,1.11
278.4,1.113
279.2,1.116
280.0,1.12
280.8,1.123
281.6,1.126
282.4,1.129
283.2,1.132
284.0,1.136
284.8,1.139
285.6,1.142
286.4,1.145
287.2,1.148
288.0,1.151
288.8,1.155
289.6,1.158
290.4,1.161
291.2,1.164
292.0,1.167
292.8,1.17
293.6,1.173
294.4,1.177
295.2,1.18
296.0,1.183
296.8,1.186
297.6,1.189
298.4,1.192
299.2,1.196
300.0,1.199
300.8,1.202
301.6,1.205
302.4,1.208
303.2,1.211
304.0,1.214
304.8,1.218
305.6,1.221
306.4,1.224
307.2,1.227
308.0,1.23
308.8,1.233
309.6,1.236
310.4,1.239
311.2,1.243
312.0,1.246
312.8,1.249
313.6,1.252
314.4,1.255
315.2,1.258
316.0,1.261
316.8,1.264
317.6,1.268
318.4,1.271
319.2,1.274
320.0,1.277
320.8,1.28
321.6,1.283
322.4,1.286
323.2,1.289
324.0,1.292
324.8,1.295
325.6,1.299
326.4,1.302
327.2,1.305
328.0,1.308
328.8,1.311
329.6,1.314
330.4,1.317
331.2,1.32
332.0,1.323
332.8,1.326
333.6,1.33
334.4,1.333
335.2,1.336
336.0,1.339
336.8,1.342
337.6,1.345
338.4,1.348
339.2,1.351
340.0,1.354
340.8,1.357
341.6,1.36
342.4,1.363
343.2,1.366
344.0,1.369
344.8,1.372
345.6,1.376
346.4,1.379
347.2,1.382
348.0,1.385
348.8,1.388
349.6,1.391
350.4,1.394
351.2,1.397
352.0,1.4
352.8,1.403
353.6,1.406
354.4,1.409
355.2,1.412
356.0,1.416
356.8,1.419
357.6,1.422
358.4,1.425
359.2,1.428
360.0,1.431
360.8,1.434
361.6,1.437
362.4,1.44
363.2,1.443
364.0,1.446
364.8,1.449
365.6,1.452
366.4,1.455
367.2,1.458
368.0,1.461
368.8,1.464
369.6,1.467
370.4,1.47
371.2,1.474
372.0,1.477
372.8,1.48
373.6,1.483
374.4,1.486
375.2,1.489
376.0,1.492
376.8,1.495
377.6,1.498
378.4,1.501
379.2,1.504
380.0,1.507
380.8,1.51
381.6,1.513
382.4,1.516
383.2,1.519
384.0,1.522
384.8,1.525
385.6,1.528
386.4,1.531
387.2,1.534
388.0,1.537
388.8,1.54
389.6,1.543
390.4,1.546
391.2,1.549
392.0,1.552
392.8,1.555
393.6,1.558
394.4,1.561
395.2,1.564
396.0,1.567
396.8,1.57
397.6,1.573
398.4,1.576
399.2,1.579
400.0,1.582
400.8,1.585
401.6,1.588
402.4,1.591
403.2,1.594
404.0,1.598
404.8,1.601
405.6,1.604
406.4,1.607
407.2,1.61
408.0,1.613
408.8,1.616
409.6,1.619
410.4,1.622
411.2,1.625
412.0,1.628
412.8,1.631
413.6,1.634
414.4,1.637
415.2,1.64
416.0,1.643
416.8,1.646
417.6,1.649
418.4,1.652
419.2,1.655
420.0,1.658
420.8,1.661
421.6,1.664
422.4,1.667
423.2,1.67
424.0,1.673
424.8,1.676
425.6,1.679
426.4,1.682
427.2,1.685
428.0,1.688
428.8,1.692
429.6,1.695
430.4,1.698
431.2,1.701
432.0,1.704
432.8,1.707
433.6,1.71
434.4,1.713
435.2,1.716
436.0,1.719
436.8,1.722
437.6,1.725
438.4,1.728
439.2,1.731
440.0,1.734
440.8,1.737
441.6,1.74
442.4,1.743
443.2,1.746
444.0,1.749
444.8,1.752
445.6,1.755
446.4,1.758
447.2,1.761
448.0,1.764
