Angle,Time
0.0,0.0
0.8,0.008
1.6,0.014
2.4,0.02
3.2,0.027
4.0,0.034
4.8,0.041
5.6,0.047
6.4,0.052
7.2,0.056
8.0,0.06
8.8,0.064
9.6,0.067
10.4,0.071
11.2,0.074
12.0,0.078
12.8,0.081
13.6,0.085
14.4,0.088
15.2,0.092
16.0,0.095
16.8,0.098
17.6,0.102
18.4,0.105
19.2,0.108
20.0,0.112
20.8,0.115
21.6,0.118
22.4,0.121
23.2,0.124
24.0,0.127
24.8,0.13
25.6,0.133
26.4,0.136
27.2,0.139
28.0,0.142
28.8,0.145
29.6,0.148
30.4,0.151
31.2,0.154
32.0,0.157
32.8,0.161
33.6,0.164
34.4,0.167
35.2,0.17
36.0,0.173
36.8,0.176
37.6,0.179
38.4,0.182
39.2,0.185
40.0,0.188
40.8,0.191
41.6,0.194
42.4,0.197
43.2,0.2
44.0,0.203
44.8,0.207
45.6,0.21
46.4,0.213
47.2,0.216
48.0,0.219
48.8,0.222
49.6,0.225
50.4,0.228
51.2,0.231
52.0,0.234
52.8,0.237
53.6,0.24
54.4,0.243
55.2,0.246
56.0,0.249
56.8,0.252
57.6,0.255
58.4,0.258
59.2,0.261
60.0,0.264
60.8,0.267
61.6,0.27
62.4,0.273
63.2,0.276
64.0,0.279
64.8,0.283
65.6,0.286
66.4,0.289
67.2,0.292
68.0,0.295
68.8,0.298
69.6,0.301
70.4,0.304
71.2,0.307
72.0,0.31
72.8,0.313
73.6,0.316
74.4,0.319
75.2,0.322
76.0,0.325
76.8,0.328
77.6,0.331
78.4,0.334
79.2,0.337
80.0,0.34
80.8,0.344
81.6,0.347
82.4,0.35
83.2,0.353
84.0,0.356
84.8,0.359
85.6,0.362
86.4,0.365
87.2,0.368
88.0,0.371
88.8,0.374
89.6,0.377
90.4,0.38
91.2,0.383
92.0,0.386
92.8,0.389
93.6,0.392
94.4,0.395
95.2,0.398
96.0,0.401
96.8,0.404
97.6,0.408
98.4,0.411
99.2,0.414
100.0,0.417
100.8,0.42
101.6,0.423
102.4,0.426
103.2,0.429
104.0,0.432
104.8,0.435
105.6,0.438
106.4,0.441
107.2,0.444
108.0,0.447
108.8,0.45
109.6,0.453
110.4,0.456
111.2,0.459
112.0,0.462
112.8,0.466
113.6,0.469
114.4,0.472
115.2,0.475
116.0,0.478
116.8,0.481
117.6,0.484
118.4,0.487
119.2,0.49
120.0,0.493
120.8,0.497
121.6,0.5
122.4,0.503
123.2,0.506
124.0,0.509
124.8,0.512
125.6,0.515
126.4,0.518
127.2,0.521
128.0,0.524
128.8,0.527
129.6,0.53
130.4,0.534
131.2,0.537
132.0,0.54
132.8,0.543
133.6,0.546
134.4,0.549
135.2,0.552
136.0,0.555
136.8,0.558
137.6,0.562
138.4,0.565
139.2,0.568
140.0,0.571
140.8,0.574
141.6,0.577
142.4,0.58
143.2,0.583
144.0,0.587
144.8,0.59
145.6,0.593
146.4,0.596
147.2,0.599
148.0,0.602
148.8,0.605
149.6,0.608
150.4,0.612
151.2,0.615
152.0,0.618
152.8,0.621
153.6,0.624
154.4,0.627
155.2,0.63
156.0,0.633
156.8,0.636
157.6,0.639
158.4,0.642
159.2,0.645
160.0,0.649
160.8,0.652
161.6,0.655
162.4,0.658
163.2,0.661
164.0,0.664
164.8,0.667
165.6,0.67
166.4,0.673
167.2,0.676
168.0,0.68
168.8,0.683
169.6,0.686
170.4,0.689
171.2,0.692
172.0,0.695
172.8,0.698
173.6,0.701
174.4,0.704
175.2,0.707
176.0,0.711
176.8,0.714
177.6,0.717
178.4,0.72
179.2,0.723
180.0,0.726
180.8,0.729
181.6,0.732
182.4,0.735
183.2,0.738
184.0,0.741
184.8,0.745
185.6,0.748
186.4,0.751
187.2,0.754
188.0,0.757
188.8,0.76
189.6,0.763
190.4,0.766
191.2,0.769
192.0,0.773
192.8,0.776
193.6,0.779
194.4,0.782
195.2,0.785
196.0,0.788
196.8,0.791
197.6,0.794
198.4,0.798
199.2,0.801
200.0,0.804
200.8,0.807
201.6,0.81
202.4,0.813
203.2,0.816
204.0,0.82
204.8,0.823
205.6,0.826
206.4,0.829
207.2,0.832
208.0,0.835
208.8,0.839
209.6,0.842
210.4,0.845
211.2,0.848
212.0,0.851
212.8,0.854
213.6,0.857
214.4,0.861
215.2,0.864
216.0,0.867
216.8,0.87
217.6,0.873
218.4,0.876
219.2,0.879
220.0,0.883
220.8,0.886
221.6,0.889
222.4,0.892
223.2,0.895
224.0,0.898
224.8,0.901
225.6,0.905
226.4,0.908
227.2,0.911
228.0,0.914
228.8,0.917
229.6,0.92
230.4,0.924
231.2,0.927
232.0,0.93
232.8,0.933
233.6,0.936
234.4,0.939
235.2,0.942
236.0,0.946
236.8,0.949
237.6,0.952
238.4,0.955
239.2,0.958
240.0,0.961
240.8,0.964
241.6,0.968
242.4,0.971
243.2,0.974
244.0,0.977
244.8,0.98
245.6,0.983
246.4,0.986
