Count,Time
32768,00000
32767,00003
32766,00012
32765,00018
32764,00026
32763,00034
32762,00041
32761,00047
32760,00052
32759,00056
32758,00060
32757,00064
32756,00068
32755,00072
32754,00075
32753,00079
32752,00083
32751,00087
32750,00091
32749,00094
32748,00098
32747,00101
32746,00105
32745,00108
32744,00111
32743,00115
32742,00118
32741,00121
32740,00124
32739,00127
32738,00131
32737,00134
32736,00137
32735,00140
32734,00143
32733,00147
32732,00150
32731,00153
32730,00157
32729,00160
32728,00163
32727,00166
32726,00169
32725,00173
32724,00176
32723,00179
32722,00182
32721,00186
32720,00189
32719,00192
32718,00195
32717,00198
32716,00201
32715,00205
32714,00208
32713,00211
32712,00214
32711,00217
32710,00221
32709,00224
32708,00227
32707,00230
32706,00233
32705,00236
32704,00239
32703,00243
32702,00246
32701,00249
32700,00252
32699,00255
32698,00258
32697,00262
32696,00265
32695,00268
32694,00271
32693,00274
32692,00277
32691,00281
32690,00284
32689,00287
32688,00290
32687,00294
32686,00297
32685,00300
32684,00303
32683,00306
32682,00310
32681,00313
32680,00316
32679,00319
32678,00322
32677,00325
32676,00329
32675,00332
32674,00335
32673,00338
32672,00341
32671,00344
32670,00348
32669,00351
32668,00354
32667,00357
32666,00360
32665,00364
32664,00367
32663,00370
32662,00373
32661,00376
32660,00380
32659,00383
32658,00386
32657,00389
32656,00392
32655,00396
32654,00399
32653,00402
32652,00405
32651,00408
32650,00412
32649,00415
32648,00418
32647,00421
32646,00424
32645,00428
32644,00431
32643,00434
32642,00437
32641,00440
32640,00443
32639,00447
32638,00450
32637,00453
32636,00456
32635,00459
32634,00462
32633,00466
32632,00469
32631,00472
32630,00475
32629,00478
32628,00481
32627,00484
32626,00488
32625,00491
32624,00494
32623,00497
32622,00500
32621,00503
32620,00506
32619,00510
32618,00513
32617,00516
32616,00519
32615,00522
32614,00526
32613,00529
32612,00532
32611,00535
32610,00538
32609,00542
32608,00545
32607,00548
32606,00551
32605,00554
32604,00557
32603,00560
32602,00564
32601,00567
32600,00570
32599,00573
32598,00576
32597,00579
32596,00583
32595,00586
32594,00589
32593,00592
32592,00595
32591,00599
32590,00602
32589,00605
32588,00608
32587,00611
32586,00615
32585,00618
32584,00621
32583,00624
32582,00627
32581,00630
32580,00634
32579,00637
32578,00640
32577,00643
32576,00646
32575,00649
32574,00653
32573,00656
32572,00659
32571,00662
32570,00666
32569,00669
32568,00672
32567,00675
32566,00678
32565,00682
32564,00685
32563,00688
32562,00691
32561,00694
32560,00697
32559,00701
32558,00704
32557,00707
32556,00710
32555,00713
32554,00716
32553,00720
32552,00723
32551,00726
32550,00729
32549,00732
32548,00736
32547,00739
32546,00742
32545,00745
32544,00748
32543,00752
32542,00755
32541,00758
32540,00761
32539,00764
32538,00768
32537,00771
32536,00774
32535,00777
32534,00780
32533,00784
32532,00787
32531,00790
32530,00793
32529,00796
32528,00800
32527,00803
32526,00806
32525,00809
32524,00812
32523,00816
32522,00819
32521,00822
32520,00825
32519,00828
32518,00832
32517,00835
32516,00838
32515,00841
32514,00844
32513,00847
32512,00851
32511,00854
32510,00857
32509,00860
32508,00863
32507,00867
32506,00870
32505,00873
32504,00876
32503,00880
32502,00883
32501,00886
32500,00889
32499,00893
32498,00896
32497,00899
32496,00902
32495,00906
32494,00909
32493,00912
32492,00915
32491,00918
32490,00922
32489,00925
32488,00928
32487,00931
32486,00935
32485,00938
32484,00941
32483,00944
32482,00948
32481,00951
32480,00954
32479,00957
32478,00961
32477,00964
32476,00967
32475,00971
32474,00974
32473,00977
32472,00980
32471,00984
32470,00987
32469,00990
32468,00993
32467,00996
32466,01000
32465,01003
32464,01006
32463,01010
32462,01013
32461,01016
32460,01019
32459,01023
32458,01026
32457,01029
32456,01033
32455,01036
32454,01039
32453,01042
32452,01045
32451,01049
32450,01052
32449,01055
32448,01058
32447,01062
32446,01065
32445,01068
32444,01071
32443,01075
32442,01078
32441,01081
32440,01084
32439,01088
32438,01091
32437,01094
32436,01097
32435,01101
32434,01104
32433,01107
32432,01110
32431,01114
32430,01117
32429,01120
32428,01123
32427,01127
32426,01130
32425,01133
32424,01136
32423,01140
32422,01143
32421,01146
32420,01149
32419,01153
32418,01156
32417,01159
32416,01162
32415,01166
32414,01169
32413,01172
32412,01175
32411,01179
32410,01182
32409,01185
32408,01188
32407,01191
32406,01195
32405,01198
32404,01201
32403,01204
32402,01208
32401,01211
32400,01214
32399,01217
32398,01220
32397,01224
32396,01227
32395,01230
32394,01233
32393,01237
32392,01240
32391,01243
32390,01246
32389,01249
32388,01253
32387,01256
32386,01259
32385,01262
32384,01266
32383,01269
32382,01272
32381,01275
32380,01278
32379,01282
32378,01285
32377,01288
32376,01291
32375,01294
32374,01297
32373,01301
32372,01304
32371,01307
32370,01310
32369,01313
32368,01316
32367,01320
32366,01323
32365,01326
32364,01329
32363,01332
32362,01335
32361,01339
32360,01342
32359,01345
32358,01348
32357,01351
32356,01354
32355,01358
32354,01361
32353,01364
32352,01367
32351,01370
32350,01373
32349,01377
32348,01380
32347,01383
32346,01386
32345,01389
32344,01392
32343,01396
32342,01399
32341,01402
32340,01405
32339,01408
32338,01411
32337,01414
32336,01418
32335,01421
32334,01424
32333,01427
32332,01430
32331,01433
32330,01436
32329,01439
32328,01443
32327,01446
32326,01449
32325,01452
32324,01455
32323,01458
32322,01462
32321,01465
32320,01468
32319,01471
32318,01474
32317,01477
32316,01480
32315,01484
32314,01487
32313,01490
32312,01493
32311,01496
32310,01499
32309,01503
32308,01506
32307,01509
32306,01512
32305,01515
32304,01518
32303,01521
32302,01524
32301,01528
32300,01531
32299,01534
32298,01537
32297,01540
32296,01543
32295,01547
32294,01550
32293,01553
32292,01556
32291,01559
32290,01562
32289,01565
32288,01569
32287,01572
32286,01575
32285,01578
32284,01581
32283,01584
32282,01587
32281,01590
32280,01594
32279,01597
32278,01600
32277,01603
32276,01606
32275,01609
32274,01612
32273,01616
32272,01619
32271,01622
32270,01625
32269,01628
32268,01631
32267,01634
32266,01637
32265,01640
32264,01644
32263,01647
32262,01650
32261,01653
32260,01656
32259,01659
32258,01662
32257,01665
32256,01669
32255,01672
32254,01675
32253,01678
32252,01681
32251,01684
32250,01687
32249,01691
32248,01694
32247,01697
32246,01700
32245,01703
32244,01706
32243,01709
32242,01712
32241,01716
32240,01719
32239,01722
32238,01725
32237,01728
32236,01731
32235,01735
32234,01738
32233,01741
32232,01744
32231,01747
32230,01750
32229,01754
32228,01757
32227,01760
32226,01763
32225,01766
32224,01769
32223,01773
32222,01776
32221,01779
32220,01782
32219,01785
32218,01788
32217,01792
32216,01795
32215,01798
32214,01801
32213,01804
32212,01807
32211,01811
32210,01814
32209,01817
32208,01820
32207,01823
32206,01826
32205,01830
32204,01833
32203,01836
32202,01839
32201,01842
32200,01845
32199,01849
32198,01852
32197,01855
32196,01858
32195,01861
32194,01864
32193,01868
32192,01871
32191,01874
32190,01877
32189,01880
32188,01883
32187,01887
32186,01890
32185,01893
32184,01896
32183,01899
32182,01902
32181,01905
32180,01908
32179,01911
32178,01915
32177,01918
32176,01921
32175,01924
32174,01927
32173,01930
32172,01934
32171,01937
32170,01940
32169,01943
32168,01946
32167,01949
32166,01952
32165,01956
32164,01959
32163,01962
32162,01965
32161,01968
32160,01971
32159,01975
32158,01978
32157,01981
32156,01984
32155,01987
32154,01990
32153,01993
32152,01997
32151,02000
32150,02003
32149,02006
32148,02009
32147,02012
32146,02015
32145,02019
32144,02022
32143,02025
32142,02028
32141,02031
32140,02034
32139,02038
32138,02041
32137,02044
32136,02047
32135,02050
32134,02053
32133,02057
32132,02060
32131,02063
32130,02066
32129,02069
32128,02073
32127,02076
32126,02079
32125,02082
32124,02085
32123,02089
32122,02092
32121,02095
32120,02098
32119,02101
32118,02105
32117,02108
32116,02111
32115,02114
32114,02117
32113,02120
32112,02124
32111,02127
32110,02130
32109,02133
32108,02136
32107,02139
32106,02143
32105,02146
32104,02149
32103,02152
32102,02155
32101,02158
32100,02162
32099,02165
32098,02168
32097,02171
32096,02174
32095,02178
32094,02181
32093,02184
32092,02187
32091,02190
32090,02194
32089,02197
32088,02200
32087,02203
32086,02206
32085,02210
32084,02213
32083,02216
32082,02219
32081,02222
32080,02225
32079,02229
32078,02232
32077,02235
32076,02238
32075,02241
32074,02244
32073,02248
32072,02251
32071,02254
32070,02257
32069,02261
32068,02264
32067,02267
32066,02270
32065,02273
32064,02276
32063,02280
32062,02283
32061,02286
32060,02289
32059,02292
32058,02296
32057,02299
32056,02302
32055,02305
32054,02308
32053,02312
32052,02315
32051,02318
32050,02321
32049,02325
32048,02328
32047,02331
32046,02334
32045,02338
32044,02341
32043,02344
32042,02347
32041,02350
32040,02354
32039,02357
32038,02360
32037,02363
32036,02367
32035,02370
32034,02373
32033,02376
32032,02380
32031,02383
32030,02386
32029,02389
32028,02393
32027,02396
32026,02399
32025,02403
32024,02406
32023,02409
32022,02412
32021,02415
32020,02419
32019,02422
32018,02425
32017,02428
32016,02432
32015,02435
32014,02438
32013,02441
32012,02445
32011,02448
32010,02451
32009,02455
32008,02458
32007,02461
32006,02464
32005,02467
32004,02471
32003,02474
32002,02477
32001,02481
32000,02484
31999,02487
31998,02490
31997,02493
31996,02497
31995,02500
31994,02503
31993,02506
31992,02510
31991,02513
31990,02516
31989,02519
31988,02523
31987,02526
31986,02529
31985,02532
31984,02535
31983,02539
31982,02542
31981,02545
31980,02549
31979,02552
31978,02555
31977,02558
31976,02562
31975,02565
31974,02568
31973,02571
31972,02574
31971,02578
31970,02581
31969,02584
31968,02587
31967,02591
31966,02594
31965,02597
31964,02600
31963,02604
31962,02607
31961,02610
31960,02613
31959,02616
31958,02620
31957,02623
31956,02626
31955,02629
31954,02632
31953,02636
31952,02639
31951,02642
31950,02645
31949,02649
31948,02652
31947,02655
31946,02658
31945,02661
31944,02665
31943,02668
31942,02671
31941,02674
31940,02678
31939,02681
31938,02684
31937,02687
31936,02690
31935,02694
31934,02697
31933,02700
31932,02703
31931,02706
31930,02710
31929,02713
31928,02716
31927,02719
31926,02722
31925,02725
31924,02729
31923,02732
31922,02735
31921,02738
31920,02741
31919,02744
31918,02747
31917,02751
31916,02754
31915,02757
31914,02760
31913,02763
31912,02766
31911,02770
31910,02773
31909,02776
31908,02779
31907,02782
