Count,Time
32768,00000
32767,00008
32766,00015
32765,00021
32764,00028
32763,00037
32762,00044
32761,00050
32760,00054
32759,00059
32758,00062
32757,00066
32756,00070
32755,00074
32754,00078
32753,00081
32752,00085
32751,00089
32750,00092
32749,00096
32748,00100
32747,00103
32746,00106
32745,00110
32744,00113
32743,00116
32742,00120
32741,00123
32740,00126
32739,00129
32738,00132
32737,00135
32736,00139
32735,00142
32734,00145
32733,00148
32732,00152
32731,00155
32730,00158
32729,00161
32728,00164
32727,00168
32726,00171
32725,00174
32724,00177
32723,00181
32722,00184
32721,00187
32720,00190
32719,00193
32718,00196
32717,00200
32716,00203
32715,00206
32714,00209
32713,00212
32712,00215
32711,00219
32710,00222
32709,00225
32708,00228
32707,00231
32706,00234
32705,00237
32704,00240
32703,00244
32702,00247
32701,00250
32700,00253
32699,00256
32698,00259
32697,00263
32696,00266
32695,00269
32694,00272
32693,00275
32692,00278
32691,00282
32690,00285
32689,00288
32688,00291
32687,00294
32686,00297
32685,00301
32684,00304
32683,00307
32682,00310
32681,00314
32680,00317
32679,00320
32678,00323
32677,00326
32676,00329
32675,00333
32674,00336
32673,00339
32672,00342
32671,00345
32670,00348
32669,00351
32668,00355
32667,00358
32666,00361
32665,00364
32664,00367
32663,00371
32662,00374
32661,00377
32660,00380
32659,00383
32658,00387
32657,00390
32656,00393
32655,00396
32654,00399
32653,00403
32652,00406
32651,00409
32650,00412
32649,00415
32648,00419
32647,00422
32646,00425
32645,00428
32644,00431
32643,00434
32642,00438
32641,00441
32640,00444
32639,00447
32638,00450
32637,00453
32636,00457
32635,00460
32634,00463
32633,00466
32632,00469
32631,00472
32630,00475
32629,00478
32628,00482
32627,00485
32626,00488
32625,00491
32624,00494
32623,00497
32622,00501
32621,00504
32620,00507
32619,00510
32618,00513
32617,00516
32616,00520
32615,00523
32614,00526
32613,00529
32612,00532
32611,00535
32610,00539
32609,00542
32608,00545
32607,00548
32606,00551
32605,00554
32604,00558
32603,00561
32602,00564
32601,00567
32600,00570
32599,00573
32598,00577
32597,00580
32596,00583
32595,00586
32594,00589
32593,00592
32592,00596
32591,00599
32590,00602
32589,00605
32588,00608
32587,00611
32586,00615
32585,00618
32584,00621
32583,00624
32582,00627
32581,00631
32580,00634
32579,00637
32578,00640
32577,00643
32576,00647
32575,00650
32574,00653
32573,00656
32572,00659
32571,00663
32570,00666
32569,00669
32568,00672
32567,00676
32566,00679
32565,00682
32564,00685
32563,00688
32562,00692
32561,00695
32560,00698
32559,00701
32558,00704
32557,00707
32556,00711
32555,00714
32554,00717
32553,00720
32552,00723
32551,00726
32550,00730
32549,00733
32548,00736
32547,00739
32546,00742
32545,00746
32544,00749
32543,00752
32542,00755
32541,00759
32540,00762
32539,00765
32538,00768
32537,00771
32536,00774
32535,00778
32534,00781
32533,00784
32532,00787
32531,00791
32530,00794
32529,00797
32528,00800
32527,00803
32526,00807
32525,00810
32524,00813
32523,00816
32522,00819
32521,00822
32520,00826
32519,00829
32518,00832
32517,00835
32516,00839
32515,00842
32514,00845
32513,00848
32512,00851
32511,00854
32510,00858
32509,00861
32508,00864
32507,00867
32506,00870
32505,00874
32504,00877
32503,00880
32502,00884
32501,00887
32500,00890
32499,00893
32498,00897
32497,00900
32496,00903
32495,00906
32494,00909
32493,00913
32492,00916
32491,00919
32490,00922
32489,00926
32488,00929
32487,00932
32486,00935
32485,00939
32484,00942
32483,00945
32482,00948
32481,00952
32480,00955
32479,00958
32478,00962
32477,00965
32476,00968
32475,00971
32474,00975
32473,00978
32472,00981
32471,00984
32470,00988
32469,00991
32468,00994
32467,00997
32466,01001
32465,01004
32464,01007
32463,01010
32462,01014
32461,01017
32460,01020
32459,01024
32458,01027
32457,01030
32456,01033
32455,01036
32454,01040
32453,01043
32452,01046
32451,01050
32450,01053
32449,01056
32448,01059
32447,01062
32446,01066
32445,01069
32444,01072
32443,01075
32442,01079
32441,01082
32440,01085
32439,01088
32438,01092
32437,01095
32436,01098
32435,01101
32434,01105
32433,01108
32432,01111
32431,01114
32430,01118
32429,01121
32428,01124
32427,01127
32426,01131
32425,01134
32424,01137
32423,01140
32422,01144
32421,01147
32420,01150
32419,01153
32418,01157
32417,01160
32416,01163
32415,01166
32414,01170
32413,01173
32412,01176
32411,01179
32410,01183
32409,01186
32408,01189
32407,01192
32406,01196
32405,01199
32404,01202
32403,01205
32402,01208
32401,01212
32400,01215
32399,01218
32398,01221
32397,01225
32396,01228
32395,01231
32394,01234
32393,01238
32392,01241
32391,01244
32390,01247
32389,01250
32388,01254
32387,01257
32386,01260
32385,01263
32384,01267
32383,01270
32382,01273
32381,01276
32380,01279
32379,01283
32378,01286
32377,01289
32376,01292
32375,01295
32374,01298
32373,01302
32372,01305
32371,01308
32370,01311
32369,01314
32368,01317
32367,01321
32366,01324
32365,01327
32364,01330
32363,01333
32362,01336
32361,01340
32360,01343
32359,01346
32358,01349
32357,01352
32356,01355
32355,01359
32354,01362
32353,01365
32352,01368
32351,01371
32350,01374
32349,01378
32348,01381
32347,01384
32346,01387
32345,01390
32344,01393
32343,01397
32342,01400
32341,01403
32340,01406
32339,01409
32338,01412
32337,01416
32336,01419
32335,01422
32334,01425
32333,01428
32332,01431
32331,01434
32330,01438
32329,01441
32328,01444
32327,01447
32326,01450
32325,01453
32324,01456
32323,01460
32322,01463
32321,01466
32320,01469
32319,01472
