Count,Time
32768,00000
32769,00008
32770,00014
32771,00020
32772,00027
32773,00034
32774,00041
32775,00047
32776,00052
32777,00056
32778,00060
32779,00064
32780,00067
32781,00071
32782,00074
32783,00078
32784,00081
32785,00085
32786,00088
32787,00092
32788,00095
32789,00098
32790,00102
32791,00105
32792,00108
32793,00112
32794,00115
32795,00118
32796,00121
32797,00124
32798,00127
32799,00130
32800,00133
32801,00136
32802,00139
32803,00142
32804,00145
32805,00148
32806,00151
32807,00154
32808,00157
32809,00161
32810,00164
32811,00167
32812,00170
32813,00173
32814,00176
32815,00179
32816,00182
32817,00185
32818,00188
32819,00191
32820,00194
32821,00197
32822,00200
32823,00203
32824,00207
32825,00210
32826,00213
32827,00216
32828,00219
32829,00222
32830,00225
32831,00228
32832,00231
32833,00234
32834,00237
32835,00240
32836,00243
32837,00246
32838,00249
32839,00252
32840,00255
32841,00258
32842,00261
32843,00264
32844,00267
32845,00270
32846,00273
32847,00276
32848,00279
32849,00283
32850,00286
32851,00289
32852,00292
32853,00295
32854,00298
32855,00301
32856,00304
32857,00307
32858,00310
32859,00313
32860,00316
32861,00319
32862,00322
32863,00325
32864,00328
32865,00331
32866,00334
32867,00337
32868,00340
32869,00344
32870,00347
32871,00350
32872,00353
32873,00356
32874,00359
32875,00362
32876,00365
32877,00368
32878,00371
32879,00374
32880,00377
32881,00380
32882,00383
32883,00386
32884,00389
32885,00392
32886,00395
32887,00398
32888,00401
32889,00404
32890,00408
32891,00411
32892,00414
32893,00417
32894,00420
32895,00423
32896,00426
32897,00429
32898,00432
32899,00435
32900,00438
32901,00441
32902,00444
32903,00447
32904,00450
32905,00453
32906,00456
32907,00459
32908,00462
32909,00466
32910,00469
32911,00472
32912,00475
32913,00478
32914,00481
32915,00484
32916,00487
32917,00490
32918,00493
32919,00497
32920,00500
32921,00503
32922,00506
32923,00509
32924,00512
32925,00515
32926,00518
32927,00521
32928,00524
32929,00527
32930,00530
32931,00534
32932,00537
32933,00540
32934,00543
32935,00546
32936,00549
32937,00552
32938,00555
32939,00558
32940,00562
32941,00565
32942,00568
32943,00571
32944,00574
32945,00577
32946,00580
32947,00583
32948,00587
32949,00590
32950,00593
32951,00596
32952,00599
32953,00602
32954,00605
32955,00608
32956,00612
32957,00615
32958,00618
32959,00621
32960,00624
32961,00627
32962,00630
32963,00633
32964,00636
32965,00639
32966,00642
32967,00645
32968,00649
32969,00652
32970,00655
32971,00658
32972,00661
32973,00664
32974,00667
32975,00670
32976,00673
32977,00676
32978,00680
32979,00683
32980,00686
32981,00689
32982,00692
32983,00695
32984,00698
32985,00701
32986,00704
32987,00707
32988,00711
32989,00714
32990,00717
32991,00720
32992,00723
32993,00726
32994,00729
32995,00732
32996,00735
32997,00738
32998,00741
32999,00745
33000,00748
33001,00751
33002,00754
33003,00757
33004,00760
33005,00763
33006,00766
33007,00769
33008,00773
33009,00776
33010,00779
33011,00782
33012,00785
33013,00788
33014,00791
33015,00794
33016,00798
33017,00801
33018,00804
33019,00807
33020,00810
33021,00813
33022,00816
33023,00820
33024,00823
33025,00826
33026,00829
33027,00832
33028,00835
33029,00839
33030,00842
33031,00845
33032,00848
33033,00851
33034,00854
33035,00857
33036,00861
33037,00864
33038,00867
33039,00870
33040,00873
33041,00876
33042,00879
33043,00883
33044,00886
33045,00889
33046,00892
33047,00895
33048,00898
33049,00901
33050,00905
33051,00908
33052,00911
33053,00914
33054,00917
33055,00920
33056,00924
33057,00927
33058,00930
33059,00933
33060,00936
33061,00939
33062,00942
33063,00946
33064,00949
33065,00952
33066,00955
33067,00958
33068,00961
33069,00964
33070,00968
33071,00971
33072,00974
33073,00977
33074,00980
33075,00983
33076,00986
33077,00989
33078,00993
33079,00996
33080,00999
33081,01002
33082,01005
33083,01008
33084,01011
33085,01014
33086,01018
33087,01021
33088,01024
33089,01027
33090,01030
33091,01033
33092,01036
33093,01040
33094,01043
33095,01046
33096,01049
33097,01052
33098,01055
33099,01059
33100,01062
33101,01065
33102,01068
33103,01071
33104,01074
33105,01077
33106,01081
33107,01084
33108,01087
33109,01090
33110,01093
33111,01096
33112,01099
33113,01103
33114,01106
33115,01109
33116,01112
33117,01115
33118,01118
33119,01122
33120,01125
33121,01128
33122,01131
33123,01134
33124,01137
33125,01141
33126,01144
33127,01147
33128,01150
33129,01153
33130,01156
33131,01159
33132,01163
33133,01166
33134,01169
33135,01172
33136,01175
33137,01178
33138,01182
33139,01185
33140,01188
33141,01191
33142,01194
33143,01197
33144,01200
33145,01204
33146,01207
33147,01210
33148,01213
33149,01216
33150,01219
33151,01222
33152,01226
33153,01229
33154,01232
33155,01235
33156,01238
33157,01241
33158,01244
33159,01247
33160,01250
33161,01254
33162,01257
33163,01260
33164,01263
33165,01266
33166,01269
33167,01272
33168,01275
33169,01278
33170,01281
33171,01285
33172,01288
33173,01291
33174,01294
33175,01297
33176,01300
33177,01303
33178,01306
33179,01309
33180,01312
33181,01315
33182,01319
33183,01322
33184,01325
33185,01328
33186,01331
33187,01334
33188,01337
33189,01340
33190,01343
33191,01346
33192,01349
33193,01352
33194,01355
33195,01358
33196,01361
33197,01365
33198,01368
33199,01371
33200,01374
33201,01377
33202,01380
33203,01383
33204,01386
33205,01389
33206,01392
33207,01395
33208,01398
33209,01401
33210,01404
33211,01407
33212,01411
33213,01414
33214,01417
33215,01420
33216,01423
33217,01426
