Axis Count Time
T 32767 00003
T 32766 00012
T 32765 00018
T 32764 00026
T 32763 00034
T 32762 00041
T 32761 00047
T 32760 00052
T 32759 00056
T 32758 00060
T 32757 00064
T 32756 00068
T 32755 00072
T 32754 00075
T 32753 00079
T 32752 00083
T 32751 00087
T 32750 00091
T 32749 00094
T 32748 00098
T 32747 00101
T 32746 00105
T 32745 00108
T 32744 00111
T 32743 00115
T 32742 00118
T 32741 00121
T 32740 00124
T 32739 00127
T 32738 00131
T 32737 00134
T 32736 00137
T 32735 00140
T 32734 00143
T 32733 00147
T 32732 00150
T 32731 00153
T 32730 00157
T 32729 00160
T 32728 00163
T 32727 00166
T 32726 00169
T 32725 00173
T 32724 00176
T 32723 00179
T 32722 00182
T 32721 00186
T 32720 00189
T 32719 00192
T 32718 00195
T 32717 00198
T 32716 00201
T 32715 00205
T 32714 00208
T 32713 00211
T 32712 00214
T 32711 00217
T 32710 00221
T 32709 00224
T 32708 00227
T 32707 00230
T 32706 00233
T 32705 00236
T 32704 00239
T 32703 00243
T 32702 00246
T 32701 00249
T 32700 00252
T 32699 00255
T 32698 00258
T 32697 00262
T 32696 00265
T 32695 00268
T 32694 00271
T 32693 00274
T 32692 00277
T 32691 00281
T 32690 00284
T 32689 00287
T 32688 00290
T 32687 00294
T 32686 00297
T 32685 00300
T 32684 00303
T 32683 00306
T 32682 00310
T 32681 00313
T 32680 00316
T 32679 00319
T 32678 00322
T 32677 00325
T 32676 00329
T 32675 00332
T 32674 00335
T 32673 00338
T 32672 00341
T 32671 00344
T 32670 00348
T 32669 00351
T 32668 00354
T 32667 00357
T 32666 00360
T 32665 00364
T 32664 00367
T 32663 00370
T 32662 00373
T 32661 00376
T 32660 00380
T 32659 00383
T 32658 00386
T 32657 00389
T 32656 00392
T 32655 00396
T 32654 00399
T 32653 00402
T 32652 00405
T 32651 00408
T 32650 00412
T 32649 00415
T 32648 00418
T 32647 00421
T 32646 00424
T 32645 00428
T 32644 00431
T 32643 00434
T 32642 00437
T 32641 00440
T 32640 00443
T 32639 00447
T 32638 00450
T 32637 00453
T 32636 00456
T 32635 00459
T 32634 00462
T 32633 00466
T 32632 00469
T 32631 00472
T 32630 00475
T 32629 00478
T 32628 00481
T 32627 00484
T 32626 00488
T 32625 00491
T 32624 00494
T 32623 00497
T 32622 00500
T 32621 00503
T 32620 00506
T 32619 00510
T 32618 00513
T 32617 00516
T 32616 00519
T 32615 00522
T 32614 00526
T 32613 00529
T 32612 00532
T 32611 00535
T 32610 00538
T 32609 00542
T 32608 00545
T 32607 00548
T 32606 00551
T 32605 00554
T 32604 00557
T 32603 00560
T 32602 00564
T 32601 00567
T 32600 00570
T 32599 00573
T 32598 00576
T 32597 00579
T 32596 00583
T 32595 00586
T 32594 00589
T 32593 00592
T 32592 00595
T 32591 00599
T 32590 00602
T 32589 00605
T 32588 00608
T 32587 00611
T 32586 00615
T 32585 00618
T 32584 00621
T 32583 00624
T 32582 00627
T 32581 00630
T 32580 00634
T 32579 00637
T 32578 00640
T 32577 00643
T 32576 00646
T 32575 00649
T 32574 00653
T 32573 00656
T 32572 00659
T 32571 00662
T 32570 00666
T 32569 00669
T 32568 00672
T 32567 00675
T 32566 00678
T 32565 00682
T 32564 00685
T 32563 00688
T 32562 00691
T 32561 00694
T 32560 00697
T 32559 00701
T 32558 00704
T 32557 00707
T 32556 00710
T 32555 00713
T 32554 00716
T 32553 00720
T 32552 00723
T 32551 00726
T 32550 00729
T 32549 00732
T 32548 00736
T 32547 00739
T 32546 00742
T 32545 00745
T 32544 00748
T 32543 00752
T 32542 00755
T 32541 00758
T 32540 00761
T 32539 00764
T 32538 00768
T 32537 00771
T 32536 00774
T 32535 00777
T 32534 00780
T 32533 00784
T 32532 00787
T 32531 00790
T 32530 00793
T 32529 00796
T 32528 00800
T 32527 00803
T 32526 00806
T 32525 00809
T 32524 00812
T 32523 00816
T 32522 00819
T 32521 00822
T 32520 00825
T 32519 00828
T 32518 00832
T 32517 00835
T 32516 00838
T 32515 00841
T 32514 00844
T 32513 00847
T 32512 00851
T 32511 00854
T 32510 00857
T 32509 00860
T 32508 00863
T 32507 00867
T 32506 00870
T 32505 00873
T 32504 00876
T 32503 00880
