Axis Count Time
T 32767 00008
T 32766 00015
T 32765 00021
T 32764 00028
T 32763 00037
T 32762 00044
T 32761 00050
T 32760 00054
T 32759 00059
T 32758 00062
T 32757 00066
T 32756 00070
T 32755 00074
T 32754 00078
T 32753 00081
T 32752 00085
T 32751 00089
T 32750 00092
T 32749 00096
T 32748 00100
T 32747 00103
T 32746 00106
T 32745 00110
T 32744 00113
T 32743 00116
T 32742 00120
T 32741 00123
T 32740 00126
T 32739 00129
T 32738 00132
T 32737 00135
T 32736 00139
T 32735 00142
T 32734 00145
T 32733 00148
T 32732 00152
T 32731 00155
T 32730 00158
T 32729 00161
T 32728 00164
T 32727 00168
T 32726 00171
T 32725 00174
T 32724 00177
T 32723 00181
T 32722 00184
T 32721 00187
T 32720 00190
T 32719 00193
T 32718 00196
T 32717 00200
T 32716 00203
T 32715 00206
T 32714 00209
T 32713 00212
T 32712 00215
T 32711 00219
T 32710 00222
T 32709 00225
T 32708 00228
T 32707 00231
T 32706 00234
T 32705 00237
T 32704 00240
T 32703 00244
T 32702 00247
T 32701 00250
T 32700 00253
T 32699 00256
T 32698 00259
T 32697 00263
T 32696 00266
T 32695 00269
T 32694 00272
T 32693 00275
T 32692 00278
T 32691 00282
T 32690 00285
T 32689 00288
T 32688 00291
T 32687 00294
T 32686 00297
T 32685 00301
T 32684 00304
T 32683 00307
T 32682 00310
T 32681 00314
T 32680 00317
T 32679 00320
T 32678 00323
T 32677 00326
T 32676 00329
T 32675 00333
T 32674 00336
T 32673 00339
T 32672 00342
T 32671 00345
T 32670 00348
T 32669 00351
T 32668 00355
T 32667 00358
T 32666 00361
T 32665 00364
T 32664 00367
T 32663 00371
T 32662 00374
T 32661 00377
T 32660 00380
T 32659 00383
T 32658 00387
T 32657 00390
T 32656 00393
T 32655 00396
T 32654 00399
T 32653 00403
T 32652 00406
T 32651 00409
T 32650 00412
T 32649 00415
T 32648 00419
T 32647 00422
T 32646 00425
T 32645 00428
T 32644 00431
T 32643 00434
T 32642 00438
T 32641 00441
T 32640 00444
T 32639 00447
T 32638 00450
T 32637 00453
T 32636 00457
T 32635 00460
T 32634 00463
T 32633 00466
T 32632 00469
T 32631 00472
T 32630 00475
T 32629 00478
T 32628 00482
T 32627 00485
T 32626 00488
T 32625 00491
T 32624 00494
T 32623 00497
T 32622 00501
T 32621 00504
T 32620 00507
T 32619 00510
T 32618 00513
T 32617 00516
T 32616 00520
T 32615 00523
T 32614 00526
T 32613 00529
T 32612 00532
T 32611 00535
T 32610 00539
T 32609 00542
T 32608 00545
T 32607 00548
T 32606 00551
T 32605 00554
T 32604 00558
T 32603 00561
T 32602 00564
T 32601 00567
T 32600 00570
T 32599 00573
T 32598 00577
T 32597 00580
T 32596 00583
T 32595 00586
T 32594 00589
T 32593 00592
T 32592 00596
T 32591 00599
T 32590 00602
T 32589 00605
T 32588 00608
T 32587 00611
T 32586 00615
T 32585 00618
T 32584 00621
T 32583 00624
T 32582 00627
T 32581 00631
T 32580 00634
T 32579 00637
T 32578 00640
T 32577 00643
T 32576 00647
T 32575 00650
T 32574 00653
T 32573 00656
T 32572 00659
T 32571 00663
T 32570 00666
T 32569 00669
T 32568 00672
T 32567 00676
T 32566 00679
T 32565 00682
T 32564 00685
T 32563 00688
T 32562 00692
T 32561 00695
T 32560 00698
T 32559 00701
T 32558 00704
T 32557 00707
T 32556 00711
T 32555 00714
T 32554 00717
T 32553 00720
T 32552 00723
T 32551 00726
T 32550 00730
T 32549 00733
T 32548 00736
T 32547 00739
T 32546 00742
T 32545 00746
T 32544 00749
T 32543 00752
T 32542 00755
T 32541 00759
T 32540 00762
T 32539 00765
T 32538 00768
T 32537 00771
T 32536 00774
T 32535 00778
T 32534 00781
T 32533 00784
T 32532 00787
T 32531 00791
