Axis Count Time
T 32769 00006
T 32770 00012
T 32771 00018
T 32772 00023
T 32773 00029
T 32774 00036
T 32775 00044
T 32776 00050
T 32777 00054
T 32778 00059
T 32779 00063
T 32780 00066
T 32781 00070
T 32782 00073
T 32783 00077
T 32784 00080
T 32785 00084
T 32786 00087
T 32787 00091
T 32788 00094
T 32789 00098
T 32790 00101
T 32791 00104
T 32792 00108
T 32793 00111
T 32794 00114
T 32795 00117
T 32796 00121
T 32797 00124
T 32798 00127
T 32799 00130
T 32800 00133
T 32801 00136
T 32802 00139
T 32803 00142
T 32804 00145
T 32805 00148
T 32806 00151
T 32807 00154
T 32808 00157
T 32809 00160
T 32810 00163
T 32811 00166
T 32812 00169
T 32813 00172
T 32814 00175
T 32815 00178
T 32816 00181
T 32817 00184
T 32818 00188
T 32819 00191
T 32820 00194
T 32821 00197
T 32822 00200
T 32823 00203
T 32824 00206
T 32825 00209
T 32826 00212
T 32827 00215
T 32828 00218
T 32829 00221
T 32830 00224
T 32831 00228
T 32832 00231
T 32833 00234
T 32834 00237
T 32835 00240
T 32836 00243
T 32837 00246
T 32838 00249
T 32839 00252
T 32840 00255
T 32841 00258
T 32842 00261
T 32843 00264
T 32844 00267
T 32845 00270
T 32846 00273
T 32847 00276
T 32848 00279
T 32849 00282
T 32850 00285
T 32851 00288
T 32852 00291
T 32853 00295
T 32854 00298
T 32855 00301
T 32856 00304
T 32857 00307
T 32858 00310
T 32859 00313
T 32860 00316
T 32861 00319
T 32862 00322
T 32863 00325
T 32864 00328
T 32865 00331
T 32866 00334
T 32867 00337
T 32868 00340
T 32869 00343
T 32870 00346
T 32871 00350
T 32872 00353
T 32873 00356
T 32874 00359
T 32875 00362
T 32876 00365
T 32877 00368
T 32878 00371
T 32879 00374
T 32880 00377
T 32881 00380
T 32882 00383
T 32883 00386
T 32884 00389
T 32885 00392
T 32886 00395
T 32887 00398
T 32888 00401
T 32889 00405
T 32890 00408
T 32891 00411
T 32892 00414
T 32893 00417
T 32894 00420
T 32895 00423
T 32896 00426
T 32897 00429
T 32898 00432
T 32899 00435
T 32900 00438
T 32901 00441
T 32902 00444
T 32903 00447
T 32904 00450
T 32905 00453
T 32906 00456
T 32907 00460
T 32908 00463
T 32909 00466
T 32910 00469
T 32911 00472
T 32912 00475
T 32913 00478
T 32914 00481
T 32915 00484
T 32916 00487
T 32917 00490
T 32918 00494
T 32919 00497
T 32920 00500
T 32921 00503
T 32922 00506
T 32923 00509
T 32924 00512
T 32925 00515
T 32926 00518
T 32927 00521
T 32928 00524
T 32929 00528
T 32930 00531
T 32931 00534
T 32932 00537
T 32933 00540
T 32934 00543
T 32935 00546
T 32936 00549
T 32937 00552
T 32938 00556
T 32939 00559
T 32940 00562
T 32941 00565
T 32942 00568
T 32943 00571
T 32944 00574
T 32945 00577
T 32946 00581
T 32947 00584
T 32948 00587
T 32949 00590
T 32950 00593
T 32951 00596
T 32952 00599
T 32953 00602
T 32954 00606
T 32955 00609
T 32956 00612
T 32957 00615
T 32958 00618
T 32959 00621
T 32960 00624
T 32961 00627
T 32962 00630
T 32963 00634
T 32964 00637
T 32965 00640
T 32966 00643
T 32967 00646
T 32968 00649
T 32969 00652
T 32970 00655
T 32971 00658
T 32972 00661
T 32973 00664
T 32974 00668
T 32975 00671
T 32976 00674
T 32977 00677
T 32978 00680
T 32979 00683
T 32980 00686
T 32981 00689
T 32982 00693
T 32983 00696
T 32984 00699
T 32985 00702
T 32986 00705
T 32987 00708
T 32988 00711
T 32989 00714
T 32990 00717
T 32991 00720
T 32992 00723
T 32993 00727
T 32994 00730
T 32995 00733
T 32996 00736
T 32997 00739
T 32998 00742
T 32999 00745
T 33000 00748
T 33001 00751
T 33002 00755
T 33003 00758
T 33004 00761
T 33005 00764
T 33006 00767
T 33007 00770
T 33008 00773
T 33009 00776
T 33010 00779
T 33011 00783
T 33012 00786
T 33013 00789
T 33014 00792
T 33015 00795
T 33016 00798
T 33017 00801
T 33018 00805
T 33019 00808
T 33020 00811
T 33021 00814
T 33022 00817
T 33023 00820
T 33024 00823
T 33025 00827
T 33026 00830
T 33027 00833
T 33028 00836
T 33029 00839
T 33030 00842
T 33031 00846
T 33032 00849
T 33033 00852
T 33034 00855
T 33035 00858
T 33036 00861
T 33037 00864
T 33038 00868
T 33039 00871
T 33040 00874
T 33041 00877
T 33042 00880
T 33043 00883
T 33044 00886
T 33045 00890
T 33046 00893
T 33047 00896
T 33048 00899
T 33049 00902
T 33050 00905
T 33051 00909
T 33052 00912
T 33053 00915
T 33054 00918
T 33055 00921
T 33056 00924
T 33057 00927
T 33058 00931
T 33059 00934
T 33060 00937
T 33061 00940
T 33062 00943
T 33063 00946
T 33064 00949
T 33065 00953
T 33066 00956
T 33067 00959
T 33068 00962
T 33069 00965
T 33070 00968
T 33071 00972
T 33072 00975
T 33073 00978
T 33074 00981
T 33075 00984
T 33076 00987
T 33077 00990
T 33078 00993
T 33079 00997
T 33080 01000
T 33081 01003
T 33082 01006
T 33083 01009
T 33084 01012
T 33085 01015
T 33086 01019
T 33087 01022
T 33088 01025
T 33089 01028
T 33090 01031
T 33091 01034
T 33092 01037
T 33093 01041
T 33094 01044
T 33095 01047
T 33096 01050
T 33097 01053
T 33098 01056
T 33099 01060
T 33100 01063
T 33101 01066
T 33102 01069
T 33103 01072
T 33104 01075
T 33105 01079
T 33106 01082
T 33107 01085
T 33108 01088
T 33109 01091
T 33110 01094
T 33111 01097
T 33112 01101
T 33113 01104
T 33114 01107
T 33115 01110
T 33116 01113
T 33117 01116
T 33118 01120
T 33119 01123
T 33120 01126
T 33121 01129
T 33122 01132
T 33123 01136
T 33124 01139
T 33125 01142
T 33126 01145
T 33127 01148
T 33128 01151
T 33129 01155
T 33130 01158
T 33131 01161
T 33132 01164
T 33133 01167
T 33134 01170
T 33135 01173
T 33136 01177
T 33137 01180
T 33138 01183
T 33139 01186
T 33140 01189
T 33141 01192
T 33142 01196
T 33143 01199
T 33144 01202
T 33145 01205
T 33146 01208
T 33147 01211
T 33148 01214
T 33149 01218
T 33150 01221
T 33151 01224
T 33152 01227
T 33153 01230
T 33154 01233
T 33155 01236
T 33156 01239
T 33157 01243
T 33158 01246
T 33159 01249
T 33160 01252
T 33161 01255
T 33162 01258
T 33163 01261
T 33164 01264
T 33165 01268
T 33166 01271
T 33167 01274
T 33168 01277
T 33169 01280
T 33170 01283
T 33171 01286
T 33172 01289
T 33173 01292
T 33174 01295
T 33175 01299
T 33176 01302
T 33177 01305
T 33178 01308
T 33179 01311
T 33180 01314
T 33181 01317
T 33182 01320
T 33183 01323
T 33184 01326
T 33185 01330
T 33186 01333
T 33187 01336
T 33188 01339
T 33189 01342
T 33190 01345
T 33191 01348
T 33192 01351
T 33193 01354
T 33194 01357
T 33195 01360
T 33196 01363
T 33197 01366
T 33198 01369
T 33199 01372
T 33200 01376
T 33201 01379
T 33202 01382
T 33203 01385
T 33204 01388
T 33205 01391
T 33206 01394
T 33207 01397
T 33208 01400
T 33209 01403
T 33210 01406
T 33211 01409
T 33212 01412
T 33213 01416
T 33214 01419
T 33215 01422
T 33216 01425
T 33217 01428
T 33218 01431
T 33219 01434
T 33220 01437
T 33221 01440
T 33222 01443
T 33223 01446
T 33224 01449
T 33225 01452
T 33226 01455
T 33227 01458
T 33228 01461
T 33229 01464
T 33230 01467
T 33231 01470
T 33232 01474
T 33233 01477
T 33234 01480
T 33235 01483
T 33236 01486
T 33237 01489
T 33238 01492
T 33239 01495
T 33240 01498
T 33241 01501
T 33242 01504
T 33243 01507
T 33244 01510
T 33245 01513
T 33246 01516
T 33247 01519
T 33248 01522
T 33249 01525
T 33250 01528
T 33251 01531
T 33252 01534
T 33253 01537
T 33254 01540
T 33255 01543
T 33256 01546
T 33257 01549
T 33258 01552
T 33259 01555
T 33260 01558
T 33261 01561
T 33262 01564
T 33263 01567
T 33264 01570
T 33265 01573
T 33266 01576
T 33267 01579
T 33268 01582
T 33269 01585
T 33270 01588
T 33271 01591
T 33272 01594
T 33273 01598
T 33274 01601
T 33275 01604
T 33276 01607
T 33277 01610
T 33278 01613
T 33279 01616
T 33280 01619
T 33281 01622
T 33282 01625
T 33283 01628
T 33284 01631
T 33285 01634
T 33286 01637
T 33287 01640
T 33288 01643
T 33289 01646
T 33290 01649
T 33291 01652
T 33292 01655
T 33293 01658
T 33294 01661
T 33295 01664
T 33296 01667
T 33297 01670
T 33298 01673
T 33299 01676
T 33300 01679
T 33301 01682
T 33302 01685
T 33303 01688
T 33304 01692
T 33305 01695
T 33306 01698
T 33307 01701
T 33308 01704
T 33309 01707
T 33310 01710
T 33311 01713
T 33312 01716
T 33313 01719
T 33314 01722
T 33315 01725
T 33316 01728
T 33317 01731
T 33318 01734
T 33319 01737
T 33320 01740
T 33321 01743
T 33322 01746
T 33323 01749
T 33324 01752
T 33325 01755
T 33326 01758
T 33327 01761
T 33328 01764
T 33329 01768
T 33330 01771
T 33331 01774
T 33332 01777
T 33333 01780
T 33334 01783
T 33335 01786
T 33336 01789
T 33337 01792
T 33338 01795
T 33339 01798
T 33340 01801
T 33341 01804
T 33342 01807
T 33343 01810
T 33344 01813
T 33345 01816
T 33346 01819
T 33347 01822
T 33348 01825
T 33349 01828
T 33350 01831
T 33351 01835
T 33352 01838
T 33353 01841
T 33354 01844
T 33355 01847
T 33356 01850
T 33357 01853
T 33358 01856
T 33359 01859
T 33360 01862
T 33361 01865
T 33362 01868
T 33363 01871
T 33364 01874
T 33365 01877
T 33366 01881
T 33367 01884
T 33368 01887
T 33369 01890
T 33370 01893
T 33371 01896
T 33372 01899
T 33373 01902
T 33374 01905
T 33375 01908
T 33376 01911
T 33377 01914
T 33378 01918
T 33379 01921
T 33380 01924
T 33381 01927
T 33382 01930
T 33383 01933
T 33384 01936
T 33385 01939
T 33386 01942
T 33387 01946
T 33388 01949
T 33389 01952
T 33390 01955
T 33391 01958
T 33392 01961
T 33393 01964
T 33394 01967
T 33395 01970
T 33396 01973
T 33397 01977
T 33398 01980
T 33399 01983
T 33400 01986
T 33401 01989
T 33402 01992
T 33403 01995
T 33404 01998
T 33405 02002
T 33406 02005
T 33407 02008
T 33408 02011
T 33409 02014
T 33410 02017
T 33411 02020
T 33412 02023
T 33413 02026
T 33414 02029
T 33415 02032
T 33416 02036
T 33417 02039
T 33418 02042
T 33419 02045
T 33420 02048
T 33421 02051
T 33422 02054
T 33423 02057
T 33424 02060
T 33425 02063
T 33426 02066
T 33427 02070
T 33428 02073
T 33429 02076
T 33430 02079
T 33431 02082
T 33432 02085
T 33433 02088
T 33434 02091
T 33435 02094
T 33436 02097
T 33437 02101
T 33438 02104
T 33439 02107
T 33440 02110
T 33441 02113
T 33442 02116
T 33443 02119
T 33444 02122
T 33445 02125
T 33446 02128
T 33447 02131
T 33448 02134
T 33449 02138
T 33450 02141
T 33451 02144
T 33452 02147
T 33453 02150
T 33454 02153
T 33455 02156
T 33456 02159
T 33457 02162
T 33458 02166
T 33459 02169
T 33460 02172
T 33461 02175
T 33462 02178
T 33463 02181
T 33464 02184
T 33465 02187
T 33466 02190
T 33467 02194
T 33468 02197
T 33469 02200
T 33470 02203
T 33471 02206
T 33472 02209
T 33473 02212
T 33474 02215
T 33475 02219
T 33476 02222
T 33477 02225
T 33478 02228
T 33479 02231
T 33480 02234
T 33481 02237
T 33482 02241
T 33483 02244
T 33484 02247
T 33485 02250
T 33486 02253
T 33487 02256
T 33488 02259
T 33489 02263
T 33490 02266
T 33491 02269
T 33492 02272
T 33493 02275
T 33494 02278
T 33495 02281
T 33496 02285
T 33497 02288
T 33498 02291
T 33499 02294
T 33500 02297
T 33501 02300
T 33502 02304
T 33503 02307
T 33504 02310
T 33505 02313
T 33506 02316
T 33507 02319
T 33508 02322
T 33509 02326
T 33510 02329
T 33511 02332
T 33512 02335
T 33513 02338
T 33514 02341
T 33515 02344
T 33516 02348
T 33517 02351
T 33518 02354
T 33519 02357
T 33520 02360
T 33521 02363
T 33522 02366
T 33523 02369
T 33524 02373
T 33525 02376
T 33526 02379
T 33527 02382
T 33528 02385
T 33529 02388
T 33530 02391
T 33531 02394
T 33532 02398
T 33533 02401
T 33534 02404
T 33535 02407
T 33536 02410
T 33537 02413
T 33538 02416
T 33539 02419
T 33540 02423
T 33541 02426
T 33542 02429
T 33543 02432
T 33544 02435
T 33545 02438
T 33546 02442
T 33547 02445
T 33548 02448
T 33549 02451
T 33550 02454
T 33551 02457
T 33552 02460
T 33553 02464
T 33554 02467
T 33555 02470
T 33556 02473
T 33557 02476
T 33558 02479
T 33559 02482
T 33560 02486
T 33561 02489
T 33562 02492
T 33563 02495
T 33564 02498
T 33565 02501
T 33566 02505
T 33567 02508
T 33568 02511
T 33569 02514
T 33570 02517
T 33571 02520
T 33572 02524
T 33573 02527
T 33574 02530
T 33575 02533
T 33576 02536
T 33577 02539
T 33578 02543
T 33579 02546
T 33580 02549
T 33581 02552
T 33582 02555
T 33583 02558
T 33584 02561
T 33585 02565
T 33586 02568
T 33587 02571
T 33588 02574
T 33589 02577
T 33590 02580
T 33591 02584
T 33592 02587
T 33593 02590
T 33594 02593
T 33595 02596
T 33596 02599
T 33597 02602
T 33598 02606
T 33599 02609
T 33600 02612
T 33601 02615
T 33602 02618
T 33603 02621
T 33604 02624
T 33605 02627
T 33606 02631
T 33607 02634
T 33608 02637
T 33609 02640
T 33610 02643
T 33611 02646
T 33612 02649
T 33613 02652
T 33614 02655
T 33615 02659
T 33616 02662
T 33617 02665
T 33618 02668
T 33619 02671
T 33620 02674
T 33621 02677
T 33622 02680
T 33623 02683
T 33624 02687
T 33625 02690
T 33626 02693
T 33627 02696
T 33628 02699
T 33629 02702
T 33630 02705
T 33631 02708
T 33632 02711
T 33633 02714
T 33634 02717
T 33635 02721
T 33636 02724
T 33637 02727
T 33638 02730
T 33639 02733
T 33640 02736
T 33641 02739
T 33642 02742
T 33643 02745
T 33644 02748
T 33645 02751
T 33646 02754
T 33647 02757
T 33648 02760
T 33649 02763
T 33650 02766
T 33651 02770
T 33652 02773
T 33653 02776
T 33654 02779
T 33655 02782
T 33656 02785
T 33657 02788
T 33658 02791
T 33659 02794
T 33660 02797
T 33661 02800
T 33662 02803
T 33663 02806
T 33664 02809
T 33665 02812
T 33666 02815
T 33667 02818
T 33668 02822
T 33669 02825
T 33670 02828
T 33671 02831
T 33672 02834
T 33673 02837
T 33674 02840
T 33675 02843
T 33676 02846
T 33677 02849
T 33678 02852
T 33679 02855
T 33680 02858
T 33681 02861
T 33682 02864
T 33683 02867
T 33684 02870
T 33685 02873
T 33686 02876
T 33687 02879
T 33688 02882
T 33689 02885
T 33690 02888
T 33691 02891
T 33692 02894
T 33693 02897
T 33694 02900
T 33695 02903
T 33696 02906
T 33697 02909
T 33698 02912
T 33699 02916
T 33700 02919
T 33701 02922
T 33702 02925
T 33703 02928
T 33704 02931
T 33705 02934
T 33706 02937
T 33707 02940
T 33708 02943
T 33709 02946
T 33710 02949
T 33711 02952
T 33712 02955
T 33713 02958
T 33714 02961
T 33715 02964
T 33716 02967
T 33717 02970
T 33718 02973
T 33719 02976
T 33720 02979
T 33721 02982
T 33722 02985
T 33723 02988
T 33724 02991
T 33725 02994
T 33726 02997
T 33727 03000
T 33728 03003
T 33729 03006
T 33730 03009
T 33731 03012
T 33732 03015
T 33733 03018
T 33734 03021
T 33735 03024
T 33736 03027
T 33737 03030
T 33738 03033
T 33739 03036
T 33740 03039
T 33741 03042
T 33742 03045
T 33743 03048
T 33744 03051
T 33745 03054
T 33746 03057
T 33747 03060
T 33748 03063
T 33749 03066
T 33750 03069
T 33751 03072
T 33752 03076
T 33753 03079
T 33754 03082
T 33755 03085
T 33756 03088
T 33757 03091
T 33758 03094
T 33759 03097
T 33760 03100
T 33761 03103
T 33762 03106
T 33763 03109
T 33764 03112
T 33765 03115
T 33766 03118
T 33767 03121
T 33768 03124
T 33769 03127
T 33770 03130
T 33771 03133
T 33772 03136
T 33773 03139
T 33774 03142
T 33775 03145
T 33776 03148
T 33777 03151
T 33778 03154
T 33779 03157
T 33780 03160
T 33781 03163
T 33782 03166
T 33783 03170
T 33784 03173
T 33785 03176
T 33786 03179
T 33787 03182
T 33788 03185
T 33789 03188
T 33790 03191
T 33791 03194
T 33792 03197
T 33793 03200
T 33794 03203
T 33795 03206
T 33796 03209
T 33797 03212
T 33798 03215
T 33799 03218
T 33800 03221
T 33801 03224
T 33802 03227
T 33803 03230
T 33804 03233
T 33805 03236
T 33806 03239
T 33807 03242
T 33808 03246
T 33809 03249
T 33810 03252
T 33811 03255
T 33812 03258
T 33813 03261
T 33814 03264
T 33815 03267
T 33816 03270
T 33817 03273
T 33818 03276
T 33819 03279
T 33820 03282
T 33821 03286
T 33822 03289
T 33823 03292
T 33824 03295
T 33825 03298
T 33826 03301
T 33827 03304
T 33828 03307
T 33829 03310
T 33830 03313
T 33831 03316
T 33832 03320
T 33833 03323
T 33834 03326
T 33835 03329
T 33836 03332
T 33837 03335
T 33838 03338
T 33839 03341
T 33840 03344
T 33841 03347
T 33842 03351
T 33843 03354
T 33844 03357
T 33845 03360
T 33846 03363
T 33847 03366
T 33848 03369
T 33849 03372
T 33850 03375
T 33851 03379
T 33852 03382
T 33853 03385
T 33854 03388
T 33855 03391
T 33856 03394
T 33857 03397
T 33858 03400
T 33859 03403
T 33860 03406
T 33861 03410
T 33862 03413
T 33863 03416
T 33864 03419
T 33865 03422
T 33866 03425
T 33867 03428
T 33868 03431
T 33869 03434
T 33870 03437
T 33871 03440
T 33872 03443
T 33873 03446
T 33874 03449
T 33875 03453
T 33876 03456
T 33877 03459
T 33878 03462
T 33879 03465
T 33880 03468
T 33881 03471
T 33882 03474
T 33883 03477
T 33884 03480
T 33885 03484
T 33886 03487
T 33887 03490
T 33888 03493
T 33889 03496
T 33890 03499
T 33891 03502
T 33892 03505
T 33893 03508
T 33894 03511
T 33895 03514
T 33896 03517
T 33897 03521
T 33898 03524
T 33899 03527
T 33900 03530
T 33901 03533
T 33902 03536
T 33903 03539
T 33904 03542
T 33905 03545
T 33906 03548
T 33907 03551
T 33908 03555
T 33909 03558
T 33910 03561
T 33911 03564
T 33912 03567
T 33913 03570
T 33914 03573
T 33915 03576
T 33916 03579
T 33917 03583
T 33918 03586
T 33919 03589
T 33920 03592
T 33921 03595
T 33922 03598
T 33923 03601
T 33924 03605
T 33925 03608
T 33926 03611
T 33927 03614
T 33928 03617
T 33929 03620
T 33930 03623
T 33931 03626
T 33932 03630
T 33933 03633
T 33934 03636
T 33935 03639
T 33936 03642
T 33937 03645
T 33938 03648
T 33939 03652
T 33940 03655
T 33941 03658
T 33942 03661
T 33943 03664
T 33944 03667
T 33945 03670
T 33946 03673
T 33947 03677
T 33948 03680
T 33949 03683
T 33950 03686
T 33951 03689
T 33952 03692
T 33953 03695
T 33954 03699
T 33955 03702
T 33956 03705
T 33957 03708
T 33958 03711
T 33959 03714
T 33960 03717
T 33961 03721
T 33962 03724
T 33963 03727
T 33964 03730
T 33965 03733
T 33966 03736
T 33967 03739
T 33968 03743
T 33969 03746
T 33970 03749
T 33971 03752
T 33972 03755
T 33973 03758
T 33974 03761
T 33975 03765
T 33976 03768
T 33977 03771
T 33978 03774
T 33979 03777
T 33980 03780
T 33981 03783
T 33982 03786
T 33983 03789
T 33984 03793
T 33985 03796
T 33986 03799
T 33987 03802
T 33988 03805
T 33989 03808
T 33990 03811
T 33991 03815
T 33992 03818
T 33993 03821
T 33994 03824
T 33995 03827
T 33996 03830
T 33997 03833
T 33998 03837
T 33999 03840
T 34000 03843
T 34001 03846
T 34002 03849
T 34003 03852
T 34004 03855
T 34005 03859
T 34006 03862
T 34007 03865
T 34008 03868
T 34009 03871
T 34010 03874
T 34011 03877
T 34012 03881
T 34013 03884
T 34014 03887
T 34015 03890
T 34016 03893
T 34017 03896
T 34018 03900
T 34019 03903
T 34020 03906
T 34021 03909
T 34022 03912
T 34023 03915
T 34024 03919
T 34025 03922
T 34026 03925
T 34027 03928
T 34028 03931
T 34029 03934
T 34030 03937
T 34031 03941
T 34032 03944
T 34033 03947
T 34034 03950
T 34035 03953
T 34036 03956
T 34037 03960
T 34038 03963
T 34039 03966
T 34040 03969
T 34041 03972
T 34042 03975
T 34043 03978
T 34044 03982
T 34045 03985
T 34046 03988
T 34047 03991
T 34048 03994
T 34049 03997
T 34050 04000
T 34051 04003
T 34052 04007
T 34053 04010
T 34054 04013
T 34055 04016
T 34056 04019
T 34057 04022
T 34058 04025
T 34059 04028
T 34060 04032
T 34061 04035
T 34062 04038
T 34063 04041
T 34064 04044
T 34065 04047
T 34066 04050
T 34067 04053
T 34068 04056
T 34069 04059
T 34070 04063
T 34071 04066
T 34072 04069
T 34073 04072
T 34074 04075
T 34075 04078
T 34076 04081
T 34077 04084
T 34078 04087
T 34079 04090
T 34080 04094
T 34081 04097
T 34082 04100
T 34083 04103
T 34084 04106
T 34085 04109
T 34086 04112
T 34087 04115
T 34088 04118
T 34089 04121
T 34090 04124
T 34091 04127
T 34092 04130
T 34093 04134
T 34094 04137
T 34095 04140
T 34096 04143
T 34097 04146
T 34098 04149
T 34099 04152
T 34100 04155
T 34101 04158
T 34102 04161
T 34103 04164
T 34104 04167
T 34105 04170
T 34106 04173
T 34107 04176
T 34108 04179
T 34109 04183
T 34110 04186
T 34111 04189
T 34112 04192
T 34113 04195
T 34114 04198
T 34115 04201
T 34116 04204
T 34117 04207
T 34118 04210
T 34119 04213
T 34120 04216
T 34121 04219
T 34122 04222
T 34123 04225
T 34124 04228
T 34125 04231
T 34126 04234
T 34127 04237
T 34128 04241
T 34129 04244
T 34130 04247
T 34131 04250
T 34132 04253
T 34133 04256
T 34134 04259
T 34135 04262
T 34136 04265
T 34137 04268
T 34138 04271
T 34139 04274
T 34140 04277
T 34141 04280
T 34142 04283
T 34143 04286
T 34144 04289
T 34145 04292
T 34146 04295
T 34147 04298
T 34148 04301
T 34149 04304
T 34150 04307
T 34151 04310
T 34152 04313
T 34153 04316
T 34154 04319
T 34155 04322
T 34156 04325
T 34157 04328
T 34158 04331
T 34159 04334
T 34160 04337
T 34161 04340
T 34162 04343
T 34163 04346
T 34164 04349
T 34165 04352
T 34166 04355
T 34167 04358
T 34168 04361
T 34169 04364
T 34170 04367
T 34171 04370
T 34172 04373
T 34173 04376
T 34174 04379
T 34175 04382
T 34176 04385
T 34177 04388
T 34178 04392
T 34179 04395
T 34180 04398
T 34181 04401
T 34182 04404
T 34183 04407
T 34184 04410
T 34185 04413
T 34186 04416
T 34187 04419
T 34188 04422
T 34189 04425
T 34190 04428
T 34191 04431
T 34192 04434
T 34193 04437
T 34194 04440
T 34195 04443
T 34196 04446
T 34197 04449
T 34198 04452
T 34199 04455
T 34200 04458
T 34201 04461
T 34202 04464
T 34203 04467
T 34204 04470
T 34205 04473
T 34206 04476
T 34207 04479
T 34208 04482
T 34209 04485
T 34210 04488
T 34211 04491
T 34212 04494
T 34213 04497
T 34214 04500
T 34215 04504
T 34216 04507
T 34217 04510
T 34218 04513
T 34219 04516
T 34220 04519
T 34221 04522
T 34222 04525
T 34223 04528
T 34224 04531
T 34225 04534
T 34226 04537
T 34227 04540
T 34228 04543
T 34229 04546
T 34230 04549
T 34231 04552
T 34232 04555
T 34233 04558
T 34234 04561
T 34235 04564
T 34236 04567
T 34237 04570
T 34238 04573
T 34239 04576
T 34240 04579
T 34241 04582
T 34242 04585
T 34243 04588
T 34244 04592
T 34245 04595
T 34246 04598
T 34247 04601
T 34248 04604
T 34249 04607
T 34250 04610
