Axis Count Time
T 32769 00008
T 32770 00014
T 32771 00020
T 32772 00027
T 32773 00034
T 32774 00041
T 32775 00047
T 32776 00052
T 32777 00056
T 32778 00060
T 32779 00064
T 32780 00067
T 32781 00071
T 32782 00074
T 32783 00078
T 32784 00081
T 32785 00085
T 32786 00088
T 32787 00092
T 32788 00095
T 32789 00098
T 32790 00102
T 32791 00105
T 32792 00108
T 32793 00112
T 32794 00115
T 32795 00118
T 32796 00121
T 32797 00124
T 32798 00127
T 32799 00130
T 32800 00133
T 32801 00136
T 32802 00139
T 32803 00142
T 32804 00145
T 32805 00148
T 32806 00151
T 32807 00154
T 32808 00157
T 32809 00161
T 32810 00164
T 32811 00167
T 32812 00170
T 32813 00173
T 32814 00176
T 32815 00179
T 32816 00182
T 32817 00185
T 32818 00188
T 32819 00191
T 32820 00194
T 32821 00197
T 32822 00200
T 32823 00203
T 32824 00207
T 32825 00210
T 32826 00213
T 32827 00216
T 32828 00219
T 32829 00222
T 32830 00225
T 32831 00228
T 32832 00231
T 32833 00234
T 32834 00237
T 32835 00240
T 32836 00243
T 32837 00246
T 32838 00249
T 32839 00252
T 32840 00255
T 32841 00258
T 32842 00261
T 32843 00264
T 32844 00267
T 32845 00270
T 32846 00273
T 32847 00276
T 32848 00279
T 32849 00283
T 32850 00286
T 32851 00289
T 32852 00292
T 32853 00295
T 32854 00298
T 32855 00301
T 32856 00304
T 32857 00307
T 32858 00310
T 32859 00313
T 32860 00316
T 32861 00319
T 32862 00322
T 32863 00325
T 32864 00328
T 32865 00331
T 32866 00334
T 32867 00337
T 32868 00340
T 32869 00344
T 32870 00347
T 32871 00350
T 32872 00353
T 32873 00356
T 32874 00359
T 32875 00362
T 32876 00365
T 32877 00368
T 32878 00371
T 32879 00374
T 32880 00377
T 32881 00380
T 32882 00383
T 32883 00386
T 32884 00389
T 32885 00392
T 32886 00395
T 32887 00398
T 32888 00401
T 32889 00404
T 32890 00408
T 32891 00411
T 32892 00414
T 32893 00417
T 32894 00420
T 32895 00423
T 32896 00426
T 32897 00429
T 32898 00432
T 32899 00435
T 32900 00438
T 32901 00441
T 32902 00444
T 32903 00447
T 32904 00450
T 32905 00453
T 32906 00456
T 32907 00459
T 32908 00462
T 32909 00466
T 32910 00469
T 32911 00472
T 32912 00475
T 32913 00478
T 32914 00481
T 32915 00484
T 32916 00487
T 32917 00490
T 32918 00493
T 32919 00497
T 32920 00500
T 32921 00503
T 32922 00506
T 32923 00509
T 32924 00512
T 32925 00515
T 32926 00518
T 32927 00521
T 32928 00524
T 32929 00527
T 32930 00530
T 32931 00534
T 32932 00537
T 32933 00540
T 32934 00543
T 32935 00546
T 32936 00549
